EventID,StartTime,EndTime,ResourceID,VenueA,VenueB,Cost
259,9202,9316,63,211,182,180
260,6929,6972,148,308,160,100
261,1697,1874,260,109,80,178
262,7900,7987,56,180,433,152
263,6022,6081,143,294,116,119
264,9190,9362,14,312,476,178
265,4381,4418,93,140,360,89
266,5567,5686,4,93,446,46
267,9278,9410,36,73,380,172
268,502,555,272,111,193,117
269,7432,7549,81,190,160,194
270,5314,5489,44,453,27,49
271,2579,2621,42,140,227,179
272,6947,7101,227,213,140,65
273,8394,8453,177,221,57,82
274,9717,9871,270,342,158,21
275,3612,3743,29,4,105,87
276,3460,3525,131,149,168,40
277,126,283,221,90,67,107
278,8725,8813,257,287,427,181
279,5802,5850,204,442,380,20
280,7147,7181,236,472,40,90
281,9433,9572,294,208,364,173
282,6843,6947,59,208,11,93
283,2815,2962,186,46,224,37
284,3986,4127,206,269,41,111
285,5083,5199,114,171,399,53
286,1251,1411,59,272,262,59
287,5724,5843,76,121,53,47
288,4193,4273,89,309,79,177
289,1234,1309,253,238,387,154
290,9494,9638,290,330,326,169
291,5295,5405,78,226,35,130
292,7245,7352,141,303,29,100
293,8312,8360,159,237,232,19
294,932,1056,147,40,331,33
295,10076,10079,197,237,298,151
296,672,817,293,334,97,92
297,9912,10063,257,78,491,25
298,7381,7437,176,366,44,139
299,2827,2867,127,363,225,122
300,8586,8749,82,187,191,82
301,6347,6481,174,348,307,23
302,5482,5528,169,49,286,183
303,6333,6435,130,371,437,178
304,9874,9942,171,42,299,179
305,2317,2436,159,496,336,188
306,6421,6484,44,159,287,106
307,5381,5443,270,48,331,181
308,6937,7097,186,10,186,89
309,2953,3037,175,486,393,134
310,3145,3232,71,80,40,85
311,1657,1816,277,428,379,144
312,618,734,68,306,193,49
313,2658,2734,85,370,225,21
314,6731,6854,122,497,228,166
315,4668,4812,120,274,123,89
316,7684,7763,189,348,485,156
317,7218,7366,145,399,196,138
318,8641,8778,83,419,103,164
319,2267,2361,27,329,247,105
320,9085,9141,265,436,64,82
321,1374,1445,140,231,464,141
322,2414,2555,47,485,467,66
323,7391,7510,14,213,28,111
324,8224,8349,121,198,42,105
325,3678,3715,164,477,51,192
326,5493,5560,71,20,147,130
327,2273,2423,230,316,3,30
328,311,406,111,428,77,150
329,9975,10079,217,57,398,83
330,3893,4000,63,25,123,117
331,7489,7535,57,429,464,137
332,9776,9943,9,324,264,157
333,3963,4029,150,220,1,167
334,5780,5871,293,214,96,180
335,1402,1566,185,35,489,144
336,8914,9073,260,284,11,109
337,7702,7743,199,192,130,14
338,5850,5897,177,124,376,178
339,1698,1876,171,69,23,100
340,8945,9061,90,426,399,185
341,7612,7764,94,416,70,26
342,7498,7537,151,104,23,61
343,686,796,159,264,204,149
344,7756,7850,19,386,332,58
345,4687,4808,25,444,336,94
346,4476,4537,189,224,456,112
347,7204,7332,174,499,96,137
348,8151,8275,266,137,411,31
349,6955,7005,221,309,422,56
350,8937,9042,165,53,41,93
351,4843,4951,229,309,368,119
352,2730,2873,180,229,22,196
353,5776,5917,141,328,406,24
354,1229,1362,187,263,411,183
355,2621,2658,74,435,312,183
356,7179,7217,65,35,121,175
357,6001,6123,197,487,291,18
358,9913,9982,231,486,190,105
359,7273,7322,294,71,272,103
360,6521,6631,143,128,492,39
361,424,501,256,266,199,153
362,1929,2026,134,361,229,64
363,10024,10079,252,103,63,44
364,1213,1358,89,461,366,123
365,1438,1549,178,364,34,150
366,8882,8986,154,436,81,192
367,2852,2974,261,115,63,61
368,2275,2365,253,14,185,151
369,9376,9500,240,412,283,43
370,10026,10078,34,159,204,193
371,7842,8006,211,394,210,157
372,1208,1270,163,329,38,125
373,7632,7794,177,66,450,151
374,9630,9706,67,222,258,24
375,2034,2196,79,156,85,51
376,5286,5373,178,486,482,142
377,4653,4703,129,101,326,151
378,4496,4558,156,315,274,33
379,8234,8307,298,79,88,178
380,9914,10030,289,22,423,17
381,1330,1371,296,136,334,63
382,9373,9509,16,255,456,170
383,8938,9042,155,248,126,185
384,6653,6759,233,38,353,25
385,2589,2731,213,248,238,62
386,5573,5639,161,442,368,91
387,5658,5790,67,390,190,141
388,9202,9259,164,124,239,41
389,4382,4527,127,73,50,22
390,4754,4882,215,128,493,50
391,5364,5541,161,98,391,50
392,8163,8324,240,256,451,88
393,8148,8183,47,484,202,139
394,7491,7582,111,299,181,22
395,828,930,254,306,452,177
396,7710,7813,275,5,434,37
397,7060,7124,136,373,188,113
398,5995,6036,206,27,292,153
399,3189,3311,284,148,38,108
400,8261,8406,282,144,423,169
401,10011,10071,66,500,50,110
402,6114,6230,286,481,188,46
403,3261,3421,206,257,21,21
404,637,702,171,412,243,142
405,7487,7555,264,72,168,166
406,5218,5289,202,316,379,86
407,9727,9843,260,425,261,146
408,8025,8199,154,244,418,14
409,6035,6149,57,214,299,88
410,436,587,136,496,336,158
411,9463,9551,27,299,246,53
412,8589,8716,76,421,349,72
413,517,693,57,98,10,122
414,5139,5276,78,212,354,62
415,6723,6881,242,447,435,198
416,1020,1085,266,107,288,93
417,7837,8001,193,161,490,54
418,7531,7697,176,280,182,183
419,4331,4484,99,491,127,81
420,9143,9249,116,483,499,86
421,4735,4818,251,163,246,99
422,9183,9283,148,63,294,183
423,8899,9026,203,420,177,47
424,4758,4798,148,490,366,30
425,5674,5817,132,383,246,64
426,3310,3477,139,478,288,188
427,4450,4515,56,316,380,160
428,3920,4012,26,343,464,145
429,3697,3786,27,52,212,94
430,7739,7794,71,3,494,150
431,2587,2721,244,245,334,61
432,4706,4818,147,331,31,32
433,9406,9495,274,379,371,19
434,2868,3004,91,479,471,19
435,6504,6660,96,480,384,84
436,613,645,153,291,309,37
437,5489,5591,233,329,279,144
438,8092,8156,259,240,140,59
439,1845,1959,84,375,235,175
440,4215,4292,8,378,173,85
441,9302,9381,90,313,439,173
442,6643,6782,264,168,45,112
443,1562,1639,72,245,166,73
444,111,207,197,121,229,78
445,5400,5507,299,371,294,12
446,4285,4407,121,32,342,40
447,7625,7733,82,208,352,138
448,5095,5155,152,189,315,66
449,3590,3654,245,79,233,165
450,6121,6257,282,468,242,147
451,3578,3671,42,270,229,145
452,5927,5976,289,58,32,150
453,8281,8362,294,275,77,52
454,5375,5538,227,60,349,62
455,9554,9709,47,461,262,124
456,911,1057,68,263,213,126
457,9239,9283,287,237,345,88
458,356,487,131,419,2,200
459,3570,3748,38,24,217,98
460,1044,1212,31,479,458,27
461,7734,7772,147,210,93,44
462,6887,7012,196,230,446,106
463,6154,6204,277,69,335,99
464,1943,2018,276,202,271,42
465,3648,3678,12,153,238,182
466,8920,9058,273,195,422,68
467,4055,4202,178,80,142,58
468,1848,1886,215,315,393,14
469,3943,4025,35,52,305,18
470,7314,7356,126,380,23,112
471,7191,7280,277,112,387,24
472,2295,2453,149,120,418,197
473,9438,9549,296,307,396,182
474,5253,5343,155,449,74,179
475,8540,8626,212,154,141,25
476,9121,9195,219,285,254,22
477,5642,5769,269,164,357,116
478,6688,6756,154,193,95,147
479,7758,7849,116,154,440,191
480,2365,2513,30,288,212,116
481,9130,9295,69,199,125,75
482,3331,3445,41,473,231,104
483,1514,1681,98,27,138,106
484,9911,9951,38,97,412,160
485,9156,9241,246,107,446,95
486,4967,5000,109,480,98,199
487,1922,2074,125,357,310,190
488,3350,3481,123,283,165,82
489,6236,6385,274,333,184,88
490,4285,4407,263,452,255,129
491,1615,1765,164,469,105,104
492,5126,5261,24,289,443,66
493,2390,2424,134,284,479,159
494,9488,9624,152,79,101,94
495,3768,3895,292,427,126,137
496,9021,9137,132,391,421,135
497,8037,8184,87,376,408,100
498,2773,2838,280,251,95,148
499,962,1126,18,430,434,29
500,794,825,212,71,432,171
501,3791,3838,78,5,112,139
502,7471,7596,31,317,327,180
503,7916,8070,9,4,273,151
504,6739,6772,9,272,370,80
505,8777,8880,9,258,417,188
506,7054,7129,55,471,50,144
507,2439,2530,99,318,270,74
508,5807,5905,204,41,192,113
509,7520,7694,125,357,116,86
510,1320,1358,48,208,195,106
511,9055,9206,29,327,5,189
512,2807,2858,256,433,223,175
513,5427,5601,49,459,271,20
514,3764,3848,291,244,139,21
515,1218,1319,279,289,337,18
516,2938,3048,9,493,107,160
517,2362,2493,40,154,84,154
518,3939,4114,200,347,460,148
519,5435,5563,72,405,353,195
520,1284,1442,178,28,51,121
521,3803,3852,175,310,394,167
522,9758,9889,168,16,325,79
523,7381,7536,117,183,284,106
524,7075,7152,300,339,195,31
525,4839,4932,38,43,138,49
526,6225,6294,200,163,185,37
527,1499,1530,158,228,185,79
528,1674,1737,45,96,221,124
529,9125,9297,263,209,53,16
530,1468,1588,284,48,306,163
531,5315,5443,7,150,212,109
532,1387,1560,125,293,267,53
533,6237,6310,72,138,155,78
534,8079,8146,33,86,223,80
535,6899,7005,248,401,40,102
536,4123,4216,254,305,316,60
537,7501,7558,70,156,4,111
538,5443,5570,169,226,172,120
539,9738,9802,154,165,309,187
540,3290,3442,161,91,494,111
541,5228,5332,252,496,295,72
542,5339,5465,144,419,403,110
543,5980,6039,289,103,304,149
544,2947,3117,14,488,373,128
545,3434,3576,150,426,355,27
546,6703,6860,72,325,156,71
547,4139,4208,217,405,194,28
548,7357,7509,299,206,274,139
549,6853,7022,19,405,496,102
550,8796,8847,56,394,128,178
551,5816,5888,23,289,331,183
552,6547,6661,221,55,6,35
553,4239,4325,262,383,266,152
554,9511,9688,114,229,192,110
555,7586,7766,257,78,177,16
556,7909,7965,152,213,472,31
557,1901,1967,179,160,176,126
558,3389,3552,248,179,244,34
559,7178,7323,164,35,154,21
560,1885,1920,176,332,56,183
561,2692,2784,265,90,283,50
562,5422,5595,219,491,237,69
563,6636,6713,96,328,337,120
564,6481,6518,102,231,304,119
565,6370,6401,110,106,143,190
566,1025,1202,53,410,447,147
567,3063,3186,167,101,235,39
568,4298,4453,271,495,328,90
569,9780,9909,201,301,59,99
570,5766,5913,89,417,345,190
571,4873,4924,69,161,61,71
572,5003,5062,94,192,356,46
573,8369,8498,215,306,71,157
574,6286,6424,96,250,326,147
575,2838,3010,86,251,148,45
576,3065,3175,231,318,28,101
577,157,311,70,100,418,108
578,9200,9359,254,210,351,135
579,6809,6952,251,86,43,154
580,505,591,150,17,141,67
581,8808,8911,87,400,235,154
582,8115,8285,262,58,294,39
583,4389,4558,188,278,422,20
584,7231,7400,112,218,53,198
585,4055,4161,17,231,135,99
586,1425,1567,61,398,416,70
587,3438,3618,180,441,364,166
588,7015,7087,72,402,106,62
589,972,1147,180,273,144,162
590,8827,8900,166,361,150,84
591,9383,9481,264,461,348,34
592,2221,2356,31,142,444,177
593,2078,2141,128,75,365,92
594,4055,4185,251,73,296,171
595,4402,4538,193,232,39,172
596,1525,1658,264,384,143,187
597,6046,6192,250,168,298,10
598,1526,1673,184,436,33,146
599,6516,6601,220,423,109,136
600,4399,4511,146,173,281,157
601,2139,2313,249,404,176,184
602,793,834,51,321,402,127
603,266,327,81,226,234,10
604,7009,7090,68,452,333,87
605,2604,2704,48,336,185,74
606,1350,1475,85,27,203,170
607,5005,5094,220,336,47,190
608,1559,1589,110,245,40,43
609,9726,9813,266,349,228,12
610,132,249,62,441,217,187
611,2165,2317,37,118,197,32
612,1678,1734,161,189,452,86
613,2246,2373,69,329,347,46
614,1120,1285,289,5,313,176
615,2688,2830,180,370,110,170
616,2480,2615,227,441,112,32
617,1646,1711,64,302,374,108
618,5759,5898,162,406,72,73
619,4537,4588,128,284,308,163
620,9954,10056,14,435,434,178
621,4942,5024,266,311,261,58
622,6418,6523,28,402,460,71
623,8108,8236,58,124,256,173
624,9730,9778,271,456,7,102
625,5185,5248,199,441,430,155
626,6895,7018,280,350,89,130
627,1195,1229,35,8,135,65
628,652,697,204,260,147,170
629,8209,8345,217,360,206,31
630,8791,8958,79,143,43,89
631,1294,1454,105,499,414,49
632,8788,8901,201,301,325,176
633,1083,1192,224,374,489,71
634,948,1040,45,474,223,39
635,7428,7472,159,342,380,178
636,2877,2937,7,363,71,189
637,185,256,255,488,178,143
638,8474,8570,86,191,65,78
639,1934,1971,172,414,220,79
640,8582,8628,135,365,500,157
641,1262,1419,234,262,185,24
642,8185,8360,86,189,81,75
643,1685,1861,60,117,380,140
644,42,83,7,126,24,130
645,5963,6091,77,92,477,19
646,9058,9195,115,165,128,116
647,5241,5340,40,293,191,40
648,8225,8268,92,115,412,142
649,752,884,36,450,239,82
650,5090,5203,45,284,234,12
651,6044,6125,150,289,402,87
652,3974,4122,189,303,498,136
653,3201,3370,126,78,4,114
654,391,480,278,178,326,187
655,157,272,1,389,337,106
656,5038,5094,106,272,122,117
657,8061,8106,73,365,144,33
658,719,808,267,212,359,105
659,7511,7562,298,49,259,44
660,6461,6510,291,32,223,179
661,2141,2231,150,134,436,90
662,6438,6551,163,232,140,69
663,1223,1304,70,400,395,159
664,1785,1854,55,85,231,129
665,5145,5279,62,275,184,63
666,7404,7512,238,136,437,40
667,1481,1551,156,424,361,188
668,9884,9924,111,428,439,93
669,2430,2483,128,496,183,111
670,8412,8454,154,134,420,54
671,509,642,232,285,384,150
672,4093,4147,237,53,412,45
673,1989,2022,32,426,400,66
674,2141,2221,206,191,352,171
675,1376,1555,133,470,417,29
676,357,403,102,463,331,123
677,2110,2163,170,63,22,128
678,829,902,294,222,421,195
679,6471,6628,16,196,350,119
680,2831,2951,110,466,96,80
681,4585,4729,77,18,315,168
682,4026,4131,256,211,452,150
683,7848,7893,45,144,197,45
684,6868,6949,270,128,323,149
685,319,446,184,246,279,134
686,5636,5810,258,165,199,79
687,2946,2982,164,306,113,17
688,4602,4646,242,272,184,159
689,3813,3883,52,127,337,71
690,4366,4532,29,392,486,66
691,9432,9561,182,479,430,54
692,2885,2975,163,413,378,188
693,5878,5915,181,486,291,154
694,2328,2502,97,429,415,136
695,8882,8991,90,252,20,33
696,920,1009,113,11,270,132
697,11,125,104,413,67,97
698,2907,3019,31,12,76,160
699,2320,2378,270,441,187,28
700,6120,6251,52,173,155,92
701,2235,2305,224,406,328,134
702,5198,5272,288,356,456,167
703,5846,5933,90,194,158,197
704,4825,4887,91,374,1,189
705,9385,9515,291,17,94,164
706,5213,5299,290,54,480,137
707,2304,2418,40,122,178,91
708,2750,2802,172,229,6,77
709,3435,3528,35,180,132,37
710,20,62,198,225,376,117
711,2725,2860,253,452,194,99
712,8946,9072,52,425,246,157
713,3695,3766,232,38,410,18
714,4831,4866,164,134,488,36
715,1215,1332,88,455,193,51
716,1228,1398,48,174,305,167
717,7909,7946,221,483,335,52
718,9950,10079,81,28,52,94
719,3367,3445,210,357,284,194
720,8849,8946,145,153,122,34
721,813,943,293,282,431,135
722,2516,2559,185,2,219,32
723,4825,4977,103,50,14,62
724,2798,2902,42,243,433,39
725,5052,5183,242,251,459,179
726,4341,4394,279,199,95,104
727,6249,6373,96,229,23,77
728,7204,7353,135,116,429,78
729,9244,9289,78,386,357,180
730,1584,1635,177,414,278,115
731,9662,9750,284,32,431,109
732,8561,8698,275,352,444,131
733,9383,9473,244,154,41,111
734,568,726,293,462,265,156
735,2415,2475,230,89,486,52
736,3471,3550,65,22,217,30
737,7133,7214,76,428,305,76
738,5238,5285,45,199,285,111
739,9044,9157,142,267,235,13
740,9626,9789,215,58,213,48
741,2428,2603,299,389,494,35
742,1730,1904,52,403,147,147
743,5633,5768,136,197,336,134
744,9372,9523,20,89,142,113
745,2356,2488,20,203,456,94
746,3892,3934,244,472,138,105
747,331,447,156,160,144,135
748,1609,1697,69,154,499,200
749,7259,7371,138,374,214,164
750,1462,1540,227,109,468,114
751,7937,8099,192,421,29,141
752,2604,2650,160,364,260,113
753,2222,2386,292,15,89,59
754,3288,3332,128,17,234,22
755,5904,5984,141,189,422,128
756,8275,8406,64,349,16,71
757,6102,6257,229,91,492,131
758,9615,9786,180,177,84,76
759,1480,1582,15,198,26,51
760,9375,9459,114,332,116,183
761,3387,3485,210,263,11,184
762,145,296,68,332,89,163
763,138,225,130,312,413,88
764,4511,4649,193,437,179,127
765,4128,4213,239,155,347,143
766,6506,6685,53,4,262,179
767,6131,6304,145,153,351,37
768,7892,7938,173,142,328,93
769,4536,4632,153,97,77,142
770,3937,3981,207,339,164,184
771,2292,2328,255,152,133,117
772,6628,6757,19,299,363,156
773,3111,3228,114,352,274,173
774,7794,7915,260,154,433,53
775,9146,9222,151,50,242,42
776,4237,4410,94,485,349,95
777,1463,1549,182,115,382,88
778,6889,7003,191,134,300,85
779,7598,7658,241,28,444,172
780,9561,9739,37,242,456,59
781,8199,8259,196,272,153,115
782,885,953,71,103,176,114
783,9329,9476,74,162,442,193
784,2954,3004,250,171,324,55
785,5134,5178,3,232,141,63
786,2762,2939,82,251,403,32
787,2120,2261,220,207,220,132
788,6280,6311,20,274,103,197
789,6112,6145,165,388,427,145
790,3122,3156,3,321,376,73
791,3707,3825,160,67,53,108
792,8246,8426,157,86,34,21
793,4885,4989,234,373,267,162
794,8587,8703,223,455,352,44
795,5615,5770,184,385,97,52
796,6609,6643,117,115,373,43
797,3460,3495,259,87,64,103
798,612,738,131,395,274,169
799,796,838,56,335,429,15
800,790,849,214,228,195,41
801,8966,9060,243,360,79,62
802,152,259,216,339,52,179
803,8524,8623,71,215,426,36
804,8381,8441,145,59,402,37
805,8154,8234,103,399,135,143
806,3304,3425,210,152,83,20
807,8980,9137,107,353,478,133
808,5416,5506,2,7,344,32
809,1809,1985,253,77,487,33
810,8383,8432,52,464,132,174
811,3787,3933,152,136,238,22
812,1635,1709,21,437,149,102
813,5123,5262,60,49,436,21
814,158,223,88,169,184,122
815,4395,4448,191,418,176,56
816,1865,1997,205,493,234,79
817,6319,6471,216,333,454,52
818,1852,1915,31,483,433,50
819,1699,1835,248,411,292,183
820,7178,7254,195,399,184,166
821,472,535,248,472,250,38
822,6738,6880,24,33,134,177
823,5148,5181,269,393,381,157
824,9257,9344,174,266,268,186
825,1560,1700,128,247,178,179
826,6305,6373,286,457,314,23
827,190,260,259,435,241,136
828,2709,2758,252,165,124,94
829,4557,4599,260,115,282,174
830,6203,6336,121,41,236,123
831,9388,9532,46,439,256,124
832,5178,5238,255,382,335,14
833,1681,1814,212,19,286,150
834,2,55,156,456,261,153
835,3389,3535,175,187,423,23
836,3652,3798,170,287,393,168
837,9829,9980,187,367,232,39
838,1596,1682,2,175,182,172
839,4783,4953,268,192,360,37
840,750,822,253,72,421,193
841,6704,6761,131,313,101,58
842,1978,2108,111,235,423,58
843,5536,5593,213,24,475,172
844,9647,9708,231,235,338,160
845,8260,8324,256,3,272,198
846,795,966,222,430,300,133
847,8328,8403,297,89,375,42
848,1696,1825,165,259,452,108
849,6859,6952,141,204,494,97
850,4819,4964,69,71,212,164
851,8393,8499,281,441,161,192
852,9069,9154,103,108,320,192
853,4760,4878,68,364,333,55
854,8255,8423,166,364,60,100
855,9212,9364,299,293,483,180
856,6839,7005,147,450,434,118
857,209,372,55,13,196,47
858,869,913,103,137,385,51
859,4695,4789,75,430,32,186
860,4835,4917,278,17,184,125
861,1679,1852,115,381,332,153
862,6371,6461,262,402,408,188
863,4712,4754,196,199,214,185
864,5122,5293,28,7,381,74
865,3327,3470,116,467,325,190
866,6025,6205,280,379,309,60
867,3170,3275,230,91,350,29
868,3063,3137,264,62,194,20
869,7020,7121,285,136,67,51
870,9568,9663,3,170,239,191
871,2536,2576,79,476,166,162
872,833,940,252,405,294,150
873,5866,5914,163,270,113,57
874,8529,8576,259,82,213,149
875,8798,8931,48,179,114,64
876,5437,5551,185,151,112,168
877,8691,8842,288,422,386,176
878,144,203,178,229,124,174
879,10054,10079,21,350,454,92
880,6248,6307,198,132,277,195
