AthleteID,Speed,Endurance,Strength,Score,PatternData
103,20,42,60,172,DDDBBCCDCADACCCACBBC
104,7,61,91,211,DBABDBAACBADBDABDDBB
105,26,44,83,220,CBCDCBDBDBACACBBCDDD
106,17,26,50,135,CDAAADABACBBCDDBDABB
107,20,41,49,154,BCDABCCDAACCBADCBCCC
108,10,87,43,171,BBCABCDBBDCCCCDBACCC
109,17,23,53,136,CABDCACBCACCBADADCDD
110,11,91,24,149,BABCDACDDAABDBCCACCB
111,21,52,79,212,BACCABDCCDBBABADBDCB
112,25,95,43,209,BBDDCCBCDDDBAADBBADA
113,20,73,72,221,ADDDBADAADABBDCDABDD
114,16,23,73,164,ACDCACDAADBADAABADCD
115,28,78,48,206,CABBCBDDBACCBDCACAAA
116,5,59,22,102,BDBBAAABDDDACBDAACDB
117,9,93,100,261,DDDDBAAACABDABDDDACB
118,7,85,83,223,ADAACACBDABDBDDABDAD
119,25,52,77,217,CDCCCBCADBCBCBADCDAA
120,13,96,62,215,BDACCBDBCCCDABCDCCAA
121,5,91,81,222,CCABDDABAAAABCBBAABD
122,19,40,71,184,ABBCABBDBAAAACDCBBDC
123,29,84,69,245,DCCBADBBBDCDDABACBBC
124,27,74,34,179,CDCBBCABBADBABCBDDBC
125,30,35,77,210,AABABCCBCAAADBCABAAB
126,6,70,48,154,DCDBCBCDADDDCBCDDADB
127,15,97,48,199,DBDDCCACCADBDDCADCCB
128,18,52,91,224,BCDDDAABCDCDACBBADCA
129,20,34,79,192,CBBABCBADCDDBCACACDB
130,22,75,46,188,DCDBDBAADACBDDBCCBCA
131,29,93,20,181,ABACCBCABCABDCACBCDB
132,30,63,55,205,BCDCAAAABDBBACBDCDCC
133,19,46,93,223,DBDBCBDABBCADBDCABBB
134,18,89,78,242,BDDCBCADABADBDBCADAB
135,14,53,22,114,AADBCBDCCADCCACACCDA
136,27,60,86,243,DADCACDBCBBDACBCBDBD
137,5,35,67,145,DBBCADDACDCCCCABACBC
138,29,63,99,269,DBCDCBCBDBCCDDBDAADC
139,9,47,87,195,DCADDCCADBDBDCDAACCB
140,30,77,45,204,DCCBCCCCCCCABCACDBCD
141,5,34,89,177,BADCBBCCACADDDDCBCCC
142,12,78,86,231,DACCBACDDAABAACDBCAC
143,16,22,56,138,ABBAACADDBDDDDADAABC
144,5,98,30,153,ABDAABACCCCDDBACDDDD
145,19,98,83,260,DCCBDABAADCDDCADCCDC
146,24,57,62,198,DBBABCDACBCCBCADBAAD
147,7,70,75,196,ABAACABCABCDBBACAABC
148,13,46,26,111,ABDAAAABDADACAABDBDD
149,24,72,100,270,CDCAABDBDBBBBCCBDBBD
150,15,32,89,195,ACACBCDABBDCDADBACBA
151,22,64,86,237,DBABCCBCDCCAABBACDDD
152,20,69,78,226,ADCAADBACDABDBADCACC
153,16,26,54,139,DACCAADDCACABCDACDCC
154,15,44,55,156,AABBDAACCCDABAACDBAD
155,21,42,24,120,BABDDACACBDDBAACACCC
156,8,71,83,211,BBBADDABDABCBDABAADA
157,26,68,57,205,BCDCDCBDADCCCDBBDBBA
158,26,94,100,296,BDCCADBBDBBBDBABADBC
159,30,28,22,121,CAAABBBBCBCCBCACADBD
160,23,84,70,235,ACABDAABBBBCBBDDBCDA
161,18,25,70,166,AACDBBDDBBCDBBBDACCD
162,27,29,92,221,BBBCCCBABCABBBCAAAAB
163,17,25,33,108,DBDABCDCDBDDBABDBADA
164,10,39,61,150,ACAACCAADBAABBCDBCCB
165,25,62,64,208,CCDDABDCCCDCABDDDCDB
166,18,40,66,175,ADACDCAADDACDCBADCCC
167,18,52,26,127,DDDDBADDAADACCAAABBD
168,16,62,30,139,BDDBCDCCDDABBDDCDBAA
169,20,70,26,149,DCACDDBCCBCACDBDDDDA
170,15,86,70,221,AABADADBCACBCDCDBDCC
171,12,70,29,137,BDABDBCDADDDCDCACACD
172,23,30,85,203,BBDADBDDCDDCBDDDDDCC
173,20,23,62,156,BCBDBAADCDDABBBCAACC
174,24,91,54,220,DDCBDCCCABACDCBBCACA
175,29,59,61,208,ADCACDDDBDCDCACCAACC
176,9,38,34,107,BCBDDCADDDCCADDBDDAC
177,24,56,61,195,CDCBACADCCBDBCACBBAB
178,5,59,70,174,ADABACBDACBBACAABCDB
179,22,47,27,131,DCBBCCCABDADCDCBDCBB
180,23,79,84,251,BABDDBDCDCADCCCBCBBB
181,24,99,82,270,BDDAABDACDACCBAADBCA
182,28,90,32,194,CADBBCACACADAADCACBC
183,11,62,61,175,DDCBCCDAACBCADDABDCA
184,13,94,24,156,DCBADDBDDBDADBACBBDB
185,28,93,29,192,BBCDDDADACBCACBDDDDA
186,29,59,57,202,CBBDDBAAABDBABBCACAC
187,19,20,99,206,BACCDDCDDDBDCCBADCBD
188,10,55,45,142,BDABCACDBCDBABABDDDB
189,6,87,64,195,CDDAAAADDDBCDCBBCBAD
190,27,78,42,195,BACDACCCCBCBDDDBAAAC
191,19,88,32,174,CDADBADCBBCDDBCBCBCC
192,15,44,72,182,CCABBABABBCADBDDAACD
193,21,90,42,195,DAABBADACCDDADABCACD
194,5,84,24,130,ABBBBAAADBCACDCBACDA
195,17,67,22,134,AACBAABACDCADBDBDCDD
196,19,35,82,196,BAAAADCCBCCACBBABCBA
197,27,50,96,248,BBACDDBADADABCDCDABB
198,29,32,68,192,DAABCCCCCDBCCCCADBBD
199,20,69,86,238,DCABDDBABACBDDAABBDA
200,13,82,37,163,DCAADCCAACBCBABBDCAC
201,27,78,92,270,BBBAAABBCCACCCBDDDCA
202,9,29,58,134,BDCABCBBAAACABCADACC
203,9,36,54,135,AABDDDCACBABAABCBBDC
204,20,37,95,219,DABBADCBDACBADACABCC
205,21,84,76,240,BCCBAABBCDDCABCCABAD
206,6,94,57,191,BABDCCCADDBCBACCBBBC
207,23,65,66,210,CBACBCBCADCBCDDBBBCC
208,28,61,48,189,BCBDACCADBDAADDCDACA
209,30,82,47,212,BBCDBCBBDDCAABCBABCB
210,30,80,75,252,CDCCBCCBCDADCCACACDA
211,13,64,46,159,ADABADCBDBAADDBCCBDB
212,13,32,74,169,CADBAABDBDCAABDDCAAC
213,9,40,77,173,AAAACCCBCBAACBADBCAA
214,22,54,49,171,CCAABAABCCDDBCDACBDB
215,11,63,41,146,ADCBABADCBACCDBABAAC
216,16,87,58,206,ACDCAACCABCADABABDDB
217,5,64,38,131,CDDCCBCBCCCAADCBBDCB
218,19,96,23,168,DDBADAABAADAABCDBDAA
219,26,99,69,254,CDCABCBCDDBDABADCDBD
220,22,70,44,180,ACCADCCBABDBBCCACDDD
221,25,95,26,184,CCBBAAAABBBDCAAABDDD
222,8,65,91,217,BDADBBBBBABCBCDABADC
223,5,20,68,132,DBABCABCDCCDACABDCBD
224,20,47,30,132,AADCCDBABDBABBDDACAB
225,27,85,65,236,DDBACDABACDAADCAACDB
226,13,26,55,134,BDBBBCDCDABBABCACACD
227,12,91,56,199,CBACDABDCCADDCDCDAAC
228,29,98,94,297,BCCCBABDBDCBCBABAACB
229,24,33,55,163,ADBCCCCCDCACDBAAAAAD
230,13,48,20,104,CBABDBDACBBBDBACBBCA
231,5,80,91,226,AACCDAABBDDDCBDCBBBA
232,27,41,32,143,CCAABCACBCBDDBACDCCA
233,16,81,50,188,DADBBACCCDCCBABBDBCA
234,27,65,91,255,CADCCBABDACADAACBCDA
235,29,26,63,178,BABCAACDACADBBDCDDDD
236,26,79,54,212,DCCDBABBCABCCBDDABCA
237,8,31,27,87,BACCCBCBBDADBCDDBCBA
238,7,57,88,203,CBBDDABDDCCDBDDBCBDA
239,14,56,37,139,ADDBDBDCADAACDABBCCC
240,9,37,90,190,AADAADCDCDBDCDDABDAD
241,12,68,97,237,ABBCBCDDDAABBAADDBAD
242,12,61,28,127,DCABACBBACAAACCCBACD
243,9,84,83,226,DCCCDDACCABBADACACCB
244,20,86,81,247,BDBCBDDBBBACDBADDBCD
245,25,36,90,221,BCABDDACABBBADCABCDB
246,15,70,56,184,BBACABABCBDDACADBABC
247,13,32,62,151,BCCCAAABDACBCABACACA
248,17,96,99,278,CDBBDBADACADBCBBACAA
249,7,64,21,109,CBDDCBCCBCCBDCABDDDD
250,8,73,97,234,ADCBBADBAADDDCCABDCC
251,23,50,51,172,DCDAAACCBACABDABAACD
252,13,33,69,162,BADBAAACDDBAAACDDACB
253,21,77,86,248,BABCAACADABDBDABDACD
254,12,25,26,88,DACBCACADDDADBCDBCDA
255,20,40,47,150,ACACDCCBDBBCDCAADDDA
256,13,22,33,97,CDABAAADCDBDACBBCAAC
257,19,34,33,121,AABABACCDCCDDCBADDCD
258,23,53,92,237,CCBCAACCDBACDCBBCACA
259,14,55,53,162,BABBBABBBDDCACBCABCA
260,28,75,52,209,BCDBDAAAADCCADCACACC
261,5,39,51,125,DADCCADADCDBDDCDAABC
262,20,22,72,170,DDDBDABBCBDABDDDDADB
263,30,81,35,193,BADCCBDDCDACDABBDBBD
264,23,25,72,179,DBDDBBDBBDADABAADBAD
265,28,59,55,197,BBDBDDABDDAACADAACBB
266,30,30,42,153,CDBCBCBDDDADACCAABBB
267,12,20,82,167,BDDCCDAADABBCDBCBBCD
268,12,78,82,225,BCBABDBDBBDDABBDACAA
269,18,86,56,206,BABDDDBABBCCCCAABAAA
270,5,95,22,138,ACAAAADBDBADCACADCCA
271,29,92,98,297,BDDABCBDADDCBACABCDB
272,14,90,23,152,CBDACCCADDBCDAABABAC
273,10,88,21,139,ACBDADDBCACDBAAABCCC
274,5,86,50,171,DBADBCBADBDDACABCDAA
275,24,85,33,182,ADDBBDBDACCADACBCBBA
276,29,81,46,208,DDBDACDDACAACABDDDCB
277,14,33,83,185,AADADCADBDAADBCADDCA
278,22,74,96,262,DBDDACCDCDCBABDCBCBA
279,13,69,45,162,CAACBBCBBBBBCDDBDDCB
280,17,100,53,213,AABBDCBCCCDBBDCAACCB
281,30,37,45,164,BBBBCDBBCCAADCCBBDCC
282,6,42,51,130,BABADDBBCCACBCBBADDC
283,5,37,67,147,CDBDDCBDAADCBBCADCCA
284,11,29,50,126,BBADDBABCBACBCCCDABB
285,17,20,68,156,CDDBBAABBBBAAACAAABD
286,14,67,31,141,BCCADBABAACABDDACBBD
287,15,89,82,242,CBDADBBCBBADCBABACAB
288,17,99,48,205,CDDBCDBCABBCBACCBDAC
289,15,50,77,195,ACABCBCCBDACBDDCBCDC
290,11,99,40,181,ACBBCABBDBCDADCDBDBD
291,29,20,95,220,DDDADBCBAACCABBDDACC
292,7,51,97,210,ABCACBCDBADDCBBACBBA
293,12,67,54,172,DBDCBCBCAACAAACDDADA
294,15,89,96,263,AACDCABBBDBCDAAABBAA
295,8,48,81,185,DDBBABCDDBDBADADAAAB
296,9,83,69,204,BBBBACCAABAAAACACDAD
297,22,61,47,175,AADBCDCCDCBCCCDBCADC
298,10,42,95,204,ACDBADDBCDDDCDDABDAB
299,22,82,27,166,CCCABCADBADAAADABBBC
300,22,83,99,275,CDDCDBCBDABABCBCCACB
301,11,35,80,177,BCADDDDAADDCADAADDCB
302,14,57,55,167,DBDAADABABBDBADDBDCB
303,29,70,53,207,BDCBCCBDBBADDCBDACAA
304,9,90,65,205,CBBDDDBDACCBCDDCADDB
305,18,95,30,176,CDADDBCACDABDCDDCBBD
306,19,92,86,259,ABBDCAAABACAAAADABAB
307,24,36,45,151,BDCABBCADCBCACBBDCAD
308,10,55,26,114,ADDACBAAAABCDCADAAAB
309,12,40,40,124,CABAACAADCADDAABCACB
310,6,70,83,206,CDDDBBBABABBDABACDAA
311,8,59,60,165,DABBAACAAADDDCBCABAC
312,23,28,78,191,CCCDACAAABBDBBBDABAC
313,14,21,90,184,ABCBBADADDDBDBAADADC
314,8,33,42,112,DCADCABDCADDDDBDBDAB
315,19,100,25,175,DABAABDBACCDDBCDCADB
316,20,58,95,240,CCDBCBCCBACDACBCCBAD
317,5,56,73,175,ADBDBCCDBBBADBCCCBAA
318,13,56,41,143,ADDCABBDBDDADCBACADD
319,27,52,35,158,CCDBDDCDDCCCACBDBBAC
320,22,42,72,194,DDBBACDDBDDBCBDADBBD
321,9,50,48,140,BDBDCADBBBCCCABCDDAB
322,8,52,92,206,DCBDCDCCCADDABBDADCA
323,21,54,22,129,BCDDCDADCACBBBCDAAAB
324,9,92,31,156,BDDDACBABBBDBBACABDC
325,16,80,84,238,DAAACADADADABCDDCBAD
326,7,46,58,147,DDAABDBDDDCCCBCBDCCA
327,9,31,62,142,DACCBBDBBACADDACBCDA
328,17,21,28,97,BBCADAAABDCADADDDACD
329,26,32,28,126,AADDCDBDBCBDACDBADCB
330,12,52,71,182,CDADBDDADBABDBDBABCC
331,26,77,55,211,CBBCCABBDBBCDDAAACDD
332,7,83,27,137,CDBADCDABBDBCCDCDBDB
333,30,27,87,217,ABACDBDAABABDDCCADAC
334,27,96,20,180,CDCACCDAACBBCCDBCCCC
335,8,64,23,114,CCAACDAADBADDABCDACD
336,14,42,36,124,DCBACDDDDBAACCDCBCDD
337,6,69,36,135,DADDBCDDDDBABBBDABAA
338,26,82,87,264,BCBAACDDBAAAABBBDDCA
339,18,37,98,220,CAABCCBBBCAAAAACABAD
340,15,74,26,143,CDACADDCABACACDDACCC
341,7,45,46,128,BBABCCBACBBACBCADBBD
342,11,71,80,213,ABBBCDCBDCABBDABACAA
343,18,98,88,266,ADBADCADCDDCDDDBADCD
344,17,27,21,92,ABDBCBCDDDADBCDDDCCD
345,24,24,36,126,CBCCCCBDADADBCABADDB
346,9,33,90,186,AADBBAAABCAABDDBACBB
347,12,50,87,204,CBADBABBBABBDADCDCCA
348,25,64,61,205,BCBDCCBCDCCADCCDCACA
349,10,99,97,264,CCBBBABDCAADDBDCACAC
350,22,97,76,255,DBDAABCDABCBCDCDADCC
351,28,53,98,256,BBCBDBDCABBBDCABBDCD
352,10,89,26,148,CADADCBBCBADBDBDAABB
353,25,36,73,195,BCBBDBBBBDDABBDADBCC
354,27,91,26,184,BAACBAADBDCAADDAADDB
355,30,28,84,214,AAAACAAADDCCDCBCCDDD
356,5,42,91,188,CCCDBABAACBCDBDDADAB
357,21,21,42,126,BCACDBBCBCCAABABDBDC
358,26,92,43,208,CDCDCDDADDDDDDACACCB
359,19,83,72,229,DBDCCBBBABDADBDABADA
360,23,53,21,130,BBBADDCCACAADDACACCB
361,12,98,76,236,AABCBBCDCDBCBCDBADAD
362,5,43,81,174,DCCBACCCDDBACDAADBBC
363,29,23,30,126,ACBDBDAABACABCADBDDC
364,24,97,50,220,ADCBBACBDDCBABCAAADB
365,29,57,49,188,CCDDCDCABCAACBDAABAA
366,13,99,39,183,CCDDCABCDBDDDABADACA
367,26,63,60,205,CDBAACDACCBBDDDCCDBA
368,12,37,25,98,BAADACADCACBBACCBBAB
369,21,87,61,220,CDBACAADBDBDABBBDBCA
370,9,82,66,199,BCCDCACCBBACAACCACAA
371,24,60,24,144,BDBDDADAABBAAADCDDBB
372,30,51,34,162,BCBACCBDCDCDCBBDDCCB
373,27,57,54,192,BBBACCBDCDBBABCCBCBB
374,30,46,82,229,AACCBADACBABCDDAABCB
375,8,88,41,165,BDABADDACCBCBDDCCAAC
376,22,20,97,209,DCCACBDADABCAABABDCB
377,21,85,33,176,DBBBBCBBBDABBDCAAABC
378,7,61,86,204,ADCBABDBDCCDBDCCADAB
379,8,22,47,108,ADDDADCDBACDDDDACCDB
380,21,90,55,214,DBCADBCDCCACBDBCBDAB
381,19,38,83,200,CBCADCCDADDDBCDDBBCC
382,9,97,70,220,CAADBACABCDDCDCABDCA
383,12,98,81,243,CADABDABAACAACACDACD
384,24,62,49,183,ADBDDCCACBDCDDADCBDC
385,24,51,49,172,ACBACAACDDADCACDCBBB
386,5,46,48,128,BCDDBACADCDACCCDBABB
387,7,94,100,258,CDCDABCCBABBADCCBDDA
388,11,48,58,157,BADCADBDADADCDDDAACC
389,8,51,94,208,CBCCDCAADDBDDDABAACB
390,11,95,89,250,BDBCCBDBDACAABBDCADD
391,25,78,67,228,DADABCCACCABDBDDADCB
392,17,91,99,273,BCADDDCDCBBABACABACC
393,27,97,27,191,ABBDDBBABBCBABBBCCCC
394,29,63,86,250,BABCAABACCDABBDBBDCC
395,5,87,35,149,CDBACDAADABBDDCBBCAB
396,20,74,79,232,DBDBDCDBCABAADADABDD
397,30,60,85,247,BABBAABBBCABDDBBCACC
398,20,75,33,164,CABAADDDDDDACDDCCBCD
399,9,42,58,147,BDBCBBBAADBDBCDACDDA
400,6,88,32,148,CCCABACBACBACAAABACA
401,27,43,84,223,ACCDCCDCADACBDACCBDD
402,5,23,49,106,DBBAAABCBBBBADCCDDCA
403,16,21,55,135,CBCCBBCCBAABBCCBACBC
404,10,25,43,109,ADDCBDCCABBCABDAABDA
405,17,55,33,138,DCACDBCACACBBBDDBDDB
406,18,24,73,169,BDBBBBDCAAACBBBCDCDA
407,20,53,42,156,CDDABCDBAAACBDBBDCDB
408,9,69,94,228,DDBBDCCDDBDDCCCCBCBC
409,5,32,56,126,DCDCDBBACDDCDADBBDAC
410,8,49,96,209,AAABACBAABCCDACCDCBC
411,17,39,37,128,CDADABABABBCDAACBABD
412,9,93,77,226,ACCADDAAABADADABDDCB
413,20,88,66,227,DADBBACABBDBCADADCBA
414,15,36,100,216,CDDDADDDBDACDADCDCCA
415,12,31,44,121,BACACDBCBBDDAABADBBC
416,15,89,96,263,CBBABCBDBCCABCBBBCDA
417,12,52,43,140,BCCCACADBBBBDDDCBDAB
418,21,84,78,243,BAAAAAABBDCAABBCACCD
419,8,71,91,223,CDCADBBABCDBBAAAACCB
420,19,68,71,212,BDBCDBCBCDABAAADCBAA
421,18,23,32,107,DDDCDBABBBDCCADCADCB
422,25,48,68,200,DDBCADBBCCBCCCBABBDC
423,16,39,71,177,DDCBBBACBBCCCAADBCAB
424,27,91,57,230,CCCCAACDCDDCBCBCBACA
425,24,56,65,201,DBCBBCABCBCDDCABCACC
426,12,52,80,196,ABDDCDCDADBDBABDBDDA
427,14,39,91,203,BDABDCCBDCBDCBADCCDB
428,8,50,53,145,CBABDCADABBDACACBCDC
429,8,79,91,231,BBBDBACBBADABBCBCACB
430,22,80,43,188,CBDDCDBCCAAAADADABAD
431,12,90,47,184,DDBADBBDBDACABDDCDDC
432,24,93,56,225,CBACBABACBAACBDDDDCC
433,23,100,52,224,BBCCBBCCCBAADADAADAD
434,10,79,41,160,BBDABABDCBAADCDADBAA
435,26,61,84,239,CCBDDABAACBCDCABCBAC
436,24,30,46,147,AABABABAADAADABCCBCD
437,16,63,37,150,ADBCDBCDBAAACDDCDADD
438,11,73,93,234,ABCCACADCBCCCDABBACC
439,16,58,95,232,BBBBCBACAACBDCBBCBCB
440,26,57,62,202,BBDCCABBBCDADAADDBAB
441,9,70,57,173,ADDCCDACDDCDCDDDCBCC
442,14,71,71,205,CBBDCAABBBAACABDDABA
443,19,80,46,187,CDBAABCAABBBBCBBBBBC
444,24,25,74,184,BABCDCDABACBDABCBADD
445,7,26,88,172,CADACAADDCABBBBAADDA
446,25,99,51,225,CDDDCDDBACACBDADDCBB
447,26,33,86,214,CDDBBADAABABACCDBABD
448,26,77,73,238,BBCDCDBDBCDABBDBABBA
449,19,55,23,127,ABDBCDCCDDABACDBDACA
450,8,52,29,111,AABAABDBABCDDCBDCBDA
451,12,36,74,171,ADACCAACBBDDBACBABBA
452,15,51,82,204,ABDDBABACDBACABCBAAA
453,30,59,60,209,BDDCBCBABCBAADCCCABD
454,12,48,94,213,DBCCAAAACCADDBACBCCA
455,6,99,58,198,DCBBCACBBDAADCDAACCC
456,6,22,39,92,AAABCAADCAADADBCBDCD
457,29,75,45,200,BAADDDCCDDDBDDDAAACD
458,9,100,47,188,ADACBCBCBDADBABABCDA
459,13,83,65,206,DABDDCACDDABACCBCBDA
460,29,85,67,243,BCCDADDDACDBCCDDDDCB
461,24,70,47,188,BCBCBCDABBBCCAADCBCB
462,24,93,80,261,ADDABBDAACCDCBBACCBA
463,23,75,91,257,DABADCDCDABDAAADADDB
464,8,69,44,151,AADADAAADDCDDCAABABC
465,16,69,25,138,DDADBAADCDCDACBDADAB
466,21,90,54,213,DAABDDACDCCCCACAACAD
467,23,46,63,186,CDDBDACBCDCACABCBACA
468,25,56,65,203,BADDDACDBACDBDDBAADA
469,6,52,45,131,CADDCDACBDDBADBCBBCD
470,27,99,30,198,DCDBBDDDAABCAAACBDAD
471,14,33,61,152,BADCABBDACDAAADBCDBA
472,12,66,59,178,CABBCBABBDDDDBADBBBB
473,6,23,97,180,DCDDBBBCCCDDCDDDAAAA
474,13,90,34,167,BBDBCDBBCCACCACDBCAC
475,16,51,83,207,DDADCDABADBBDAABDDDD
476,12,54,96,222,BACDCCCDADDBCDCADADA
477,13,41,65,164,DCBACCACBDBCBDABCABD
478,20,79,49,192,ACBDDDCACAADCAABAAAD
479,13,36,21,93,CDBACDBCBDACACABDABD
480,22,74,43,182,CADDBDABBDABADCBDCAB
481,15,90,92,258,DCAAABBCCDAADADBABDA
482,28,91,100,297,ABADBCDABDDAABDDCCBD
483,29,20,91,214,DBDCDCBBDBDBADACBCBB
484,18,40,32,124,CCDCBDDBDBDCDBCBDCAD
485,23,36,38,139,CDCCDDADDBDADBACDACB
486,12,88,42,175,ADBABBADBCADBCAAADCB
487,13,88,100,264,DABAABCCCBADDABDBCAB
488,22,72,87,246,CAAADBDCABBAACCDABCA
489,28,77,57,218,BDBAADAAACCAACCBADBC
490,16,33,57,150,BBCCAADCDCCBADABBDCC
491,15,79,21,140,CBBBDDBBDDCABDDDADDC
492,18,68,60,194,ADACBCDDCACCABADDAAB
493,21,71,38,170,ACDAABDABBCDBBCBACDB
494,19,42,87,210,DDDBBDBDCBCAABACBACA
495,22,66,34,161,DBABACADAAAAADBACCBA
496,18,96,90,267,CABCADBAABDCCAAACABA
497,22,39,26,122,CDBCBDDDDDCCBBCDCDCD
498,9,52,36,124,DBAACBCDDACDAACCBACB
499,5,64,62,167,AABDACCAABDAADCBABAD
500,19,39,52,155,CBDDBDBCDBBBAAADBDDA
501,17,32,50,141,BCABBADCCBCADAADAABB
502,12,68,25,129,ACDACBADCBBACCCCBCAC
