VisitorID,Zone,Time,Density,NodeU,NodeV,Weight,TaskPriority
233,39,105,127,75,8,1,47
234,41,521,71,75,47,17,8
235,85,253,334,103,47,19,18
236,194,1070,186,93,102,14,48
237,94,729,137,88,83,8,56
238,14,1040,349,101,100,3,4
239,128,846,307,100,118,8,57
240,185,930,160,56,55,18,56
241,53,39,412,65,116,17,42
242,96,15,460,116,18,6,8
243,57,771,344,86,60,20,88
244,2,767,18,89,115,11,81
245,157,71,127,101,2,4,46
246,192,266,24,111,23,19,9
247,72,222,500,43,100,19,21
248,33,990,342,84,24,7,58
249,70,1285,110,118,55,16,27
250,51,622,320,83,90,7,35
251,88,378,413,21,96,3,42
252,90,468,325,66,106,7,91
253,81,846,352,102,74,8,14
254,42,119,390,57,44,20,17
255,134,381,390,53,38,18,41
256,189,677,375,98,31,15,93
257,104,316,10,78,90,16,15
258,86,1343,430,10,113,2,22
259,161,1220,278,68,120,3,90
260,125,744,273,31,104,8,27
261,69,975,440,66,114,1,60
262,116,622,36,52,82,19,67
263,44,1350,226,106,75,12,12
264,105,1168,241,118,32,18,53
265,71,1024,409,12,119,15,84
266,114,578,262,40,26,11,63
267,82,198,476,68,91,17,9
268,146,812,340,93,11,17,5
269,103,1167,169,68,22,17,96
270,6,1201,268,119,44,1,7
271,183,1208,48,66,96,17,90
272,106,1004,277,110,54,12,79
273,61,713,239,82,55,7,58
274,198,345,296,46,83,20,43
275,39,945,145,16,81,17,80
276,40,715,324,88,66,7,32
277,70,731,179,16,53,7,59
278,56,1073,492,62,75,19,79
279,16,1240,115,49,75,7,29
280,174,1168,60,17,93,13,13
281,86,964,444,100,75,16,7
282,72,1391,363,117,62,10,60
283,59,1012,491,54,65,9,52
284,189,24,313,97,29,2,23
285,174,33,72,119,81,19,28
286,180,211,327,119,97,18,73
287,131,441,45,70,120,18,24
288,33,256,208,21,83,14,86
289,93,566,403,77,107,3,4
290,31,1022,311,104,42,13,66
291,137,885,434,114,63,12,57
292,148,654,99,68,49,12,28
293,5,1142,340,120,85,4,52
294,190,989,413,89,75,6,33
295,167,1397,375,59,102,10,50
296,193,1393,448,72,23,8,73
297,191,928,244,105,42,7,85
298,141,545,474,37,39,3,59
299,159,534,210,101,88,5,19
300,137,1363,386,37,59,4,58
301,191,366,246,4,99,1,94
302,61,585,387,61,87,5,12
303,41,771,434,69,87,20,69
304,57,856,289,70,34,7,31
305,98,1313,226,2,100,1,33
306,113,789,316,78,81,11,41
307,35,45,231,85,29,20,93
308,150,1387,34,11,81,20,50
309,16,644,224,8,38,17,53
310,181,125,323,23,82,4,90
311,75,804,396,89,35,7,68
312,102,861,216,90,23,10,1
313,60,452,121,85,114,8,28
314,52,1356,300,100,3,20,100
315,6,1129,441,20,94,10,33
316,125,688,280,109,24,14,58
317,93,941,348,14,21,1,16
318,153,774,101,2,107,2,26
319,29,677,140,28,53,20,42
320,197,203,361,107,71,15,6
321,197,1014,197,75,12,19,34
322,22,953,299,88,33,16,2
323,122,152,438,64,30,4,36
324,154,243,203,64,107,13,51
325,34,201,306,50,31,19,85
326,197,134,471,32,19,6,66
327,64,575,161,10,18,16,51
328,173,736,209,119,65,8,99
329,47,1019,76,44,100,15,14
330,84,639,105,112,49,14,49
331,101,1231,453,27,13,15,56
332,165,979,35,7,73,4,70
333,158,1244,293,44,43,8,75
334,33,1083,337,53,36,9,49
335,191,81,207,98,9,2,92
336,46,1191,342,92,89,8,68
337,71,1390,215,85,39,15,44
338,185,1119,209,85,14,15,85
339,143,137,271,46,24,4,20
340,84,1191,146,108,91,6,78
341,165,182,462,120,69,15,18
342,25,79,226,71,15,16,76
343,87,1122,458,87,40,14,95
344,21,1395,264,26,110,12,6
345,199,484,275,17,32,18,54
346,146,382,186,11,77,10,83
347,143,1263,389,100,78,3,55
348,112,711,447,64,62,1,6
349,164,1426,344,16,83,12,98
350,185,649,91,6,89,16,84
351,157,913,70,81,79,19,50
352,9,619,368,88,67,13,54
353,48,1102,465,79,25,1,98
354,57,415,107,31,2,12,7
355,143,1373,499,36,107,7,18
356,118,960,107,99,118,4,29
357,46,1229,373,111,47,9,28
358,78,764,100,33,39,4,82
359,175,884,483,66,36,12,84
360,13,32,73,46,43,15,6
361,133,636,194,43,110,15,64
362,176,547,422,39,60,12,52
363,50,286,41,117,66,14,12
364,170,623,72,76,97,6,35
365,37,302,168,57,26,16,47
366,184,153,283,120,65,11,35
367,132,23,185,24,88,3,68
368,47,953,302,29,97,17,47
369,134,982,469,21,61,3,64
370,67,539,294,19,12,20,14
371,38,431,33,112,94,19,58
372,159,935,288,85,119,13,57
373,108,735,10,14,88,17,31
374,172,961,407,26,22,17,100
375,44,1054,96,53,94,18,100
376,167,1335,286,4,38,7,37
377,61,215,324,38,118,16,75
378,87,344,367,42,79,17,86
379,42,1142,261,27,97,2,70
380,192,1223,388,118,107,7,19
381,148,166,262,120,98,8,74
382,176,753,455,33,74,12,26
383,176,958,174,97,93,19,49
384,72,783,111,97,116,4,36
385,63,63,324,90,59,6,54
386,4,1256,86,68,109,18,12
387,19,763,83,58,26,2,100
388,77,494,95,98,95,1,36
389,109,100,192,94,12,19,75
390,23,529,72,32,47,1,36
391,97,536,149,74,87,11,100
392,53,984,341,68,1,16,83
393,131,220,313,99,96,1,30
394,126,723,119,15,83,20,78
395,198,1438,385,11,2,19,56
396,99,705,244,28,39,8,94
397,153,1306,77,37,4,3,12
398,59,100,338,105,114,9,70
399,104,1302,135,93,104,11,9
400,177,1360,208,62,81,8,72
401,185,1081,417,112,106,1,75
402,92,86,106,74,85,3,70
403,161,1245,293,103,100,12,93
404,179,236,77,21,56,15,55
405,28,275,255,42,27,15,76
406,128,487,480,108,23,19,21
407,100,1340,260,24,66,20,100
408,30,1001,169,93,74,4,71
409,31,525,363,14,5,2,49
410,144,1141,490,72,28,19,42
411,48,292,221,84,35,6,60
412,81,1015,212,117,14,2,37
413,194,842,468,5,100,11,69
414,42,1053,388,85,30,12,82
415,183,1206,254,11,75,2,59
416,120,697,171,24,96,3,5
417,30,324,111,4,93,8,5
418,48,542,12,70,94,12,57
419,94,1172,28,84,66,3,20
420,67,132,164,32,113,9,54
421,167,617,419,118,59,1,84
422,191,461,284,87,55,16,15
423,140,1319,234,92,44,17,43
424,151,600,250,63,71,16,92
425,94,871,354,80,16,18,3
426,63,1099,157,32,74,16,9
427,96,310,358,5,72,18,87
428,193,228,484,103,44,2,15
429,198,909,371,14,112,16,72
430,65,956,282,45,43,15,60
431,146,1284,269,14,5,16,59
432,77,98,316,90,35,16,39
433,59,1419,106,100,34,14,30
434,180,1229,95,103,34,14,49
435,9,64,47,37,1,18,26
436,87,21,253,9,21,11,88
437,93,197,364,95,98,8,97
438,135,474,115,15,75,19,50
439,95,1186,343,63,67,7,90
440,179,871,415,99,32,1,36
441,52,1366,451,100,19,13,78
442,116,317,367,51,75,17,46
443,143,456,271,72,109,18,83
444,50,556,403,102,6,13,87
445,102,251,470,26,100,4,62
446,124,480,122,101,11,8,72
447,20,39,465,52,62,17,68
448,52,379,38,50,21,17,98
449,138,1345,163,38,102,5,88
450,59,380,480,15,18,6,70
451,150,1415,462,51,102,13,47
452,193,734,403,52,75,11,40
453,93,189,149,16,112,9,57
454,83,964,462,47,71,18,38
455,74,857,135,46,16,13,94
456,138,1078,77,108,101,8,25
457,152,626,474,89,115,10,18
458,29,1294,115,93,80,20,25
459,11,1256,301,36,49,7,54
460,63,976,181,93,119,8,31
461,11,790,207,63,87,18,36
462,185,576,175,96,27,17,77
463,123,795,75,18,61,5,29
464,46,532,425,50,78,12,15
465,67,418,310,50,2,10,54
466,158,821,442,105,77,7,85
467,131,217,208,28,19,14,91
468,197,1432,449,21,23,14,28
469,24,1014,408,4,74,10,2
470,15,1272,271,7,17,17,93
471,48,1031,450,120,73,20,62
472,80,159,417,19,50,18,91
473,129,1220,226,113,34,11,73
474,8,108,45,85,96,6,27
475,64,1043,396,71,17,20,59
476,34,910,477,113,63,10,25
477,200,1423,190,59,16,6,19
478,58,163,37,57,115,3,19
479,54,1246,22,75,18,6,44
480,118,517,67,62,86,12,2
481,164,158,139,111,66,1,28
482,133,263,453,21,58,8,95
483,54,851,61,117,25,17,29
484,74,1009,393,56,107,19,95
485,25,420,173,68,88,7,60
486,1,980,235,66,62,1,32
487,23,1419,106,22,15,10,43
488,130,1233,446,34,22,9,50
489,66,932,274,101,55,1,5
490,41,1089,142,120,32,20,40
491,3,1239,208,19,92,15,60
492,191,1078,239,90,47,16,26
493,68,15,115,9,18,6,37
494,83,946,255,94,60,8,53
495,160,319,43,108,78,13,51
496,61,63,460,117,116,10,90
497,125,1400,24,33,45,13,93
498,9,828,179,76,41,7,60
499,146,1102,49,44,35,17,2
500,169,107,167,17,98,12,42
501,193,537,395,65,37,4,88
502,110,1209,164,29,32,8,98
503,162,895,77,104,71,18,20
504,198,106,242,74,83,13,17
505,23,727,210,73,53,13,82
506,49,325,88,23,119,12,45
507,43,210,277,41,76,15,45
508,154,60,413,52,33,17,9
509,180,1382,294,21,5,18,9
510,123,159,355,72,62,17,87
511,104,780,419,12,106,19,73
512,127,594,392,2,59,16,76
513,62,1195,396,50,64,10,55
514,54,1171,29,40,67,7,2
515,14,1380,123,120,77,2,93
516,103,595,306,33,75,14,51
517,182,442,411,51,93,18,89
518,53,1042,56,98,24,9,67
519,194,558,482,95,111,18,40
520,161,909,329,55,11,19,66
521,197,1315,281,15,46,12,95
522,103,1176,177,61,34,12,41
523,20,827,387,100,45,9,79
524,138,964,145,21,29,17,46
525,197,1212,316,83,74,18,34
526,97,1214,115,82,89,9,20
527,74,708,398,97,108,12,58
528,41,869,78,54,1,10,2
529,111,617,342,12,35,8,76
530,83,490,252,35,99,19,7
531,73,541,267,112,120,8,72
532,151,878,123,28,82,14,56
533,120,1418,189,97,18,1,84
534,146,1390,492,117,72,3,62
535,84,52,352,103,86,15,98
536,74,1301,123,42,3,11,14
537,42,183,180,10,104,2,77
538,57,1021,309,11,100,19,23
539,83,229,277,54,20,15,27
540,77,1027,157,10,46,20,80
541,21,665,64,89,46,13,43
542,54,462,213,42,84,16,23
543,127,1300,300,116,23,2,100
544,24,621,392,34,37,12,59
545,90,1432,209,36,102,14,85
546,86,496,182,100,117,15,24
547,150,1410,131,109,20,10,11
548,147,995,347,117,54,9,1
549,104,81,108,109,81,20,17
550,84,1172,196,81,108,16,85
551,193,937,481,17,72,9,66
552,68,626,100,86,50,2,39
553,56,519,22,9,59,9,63
554,25,287,337,57,66,17,33
555,1,180,77,105,109,12,91
556,109,1084,249,12,120,10,3
557,189,946,277,45,14,6,14
558,50,49,460,100,7,12,67
559,169,1259,89,84,46,2,20
560,183,874,117,75,18,18,15
561,118,115,77,95,90,20,6
562,182,216,300,11,20,3,79
563,24,13,388,85,91,3,83
564,93,130,119,117,38,6,99
565,79,487,255,83,17,10,51
566,65,971,352,11,12,7,60
567,63,199,449,44,31,20,5
568,130,1169,36,114,35,10,68
569,116,842,407,18,84,20,44
570,53,1232,139,16,53,16,33
571,40,1356,442,18,10,19,93
572,50,43,152,67,53,8,18
573,62,388,83,91,30,19,17
574,125,1260,465,104,2,12,95
575,106,937,324,41,19,12,71
576,137,1280,289,72,18,13,56
577,137,1341,434,46,87,10,39
578,128,431,224,83,117,18,7
579,34,1380,162,6,111,15,35
580,51,1045,335,59,96,11,48
581,37,1075,210,101,67,15,63
582,110,345,35,91,40,18,49
583,61,278,125,34,15,4,7
584,30,203,145,1,43,13,75
585,107,289,497,94,107,8,100
586,158,1094,373,96,120,6,3
587,66,866,316,35,27,13,100
588,71,42,459,34,10,17,26
589,62,351,345,21,15,8,82
590,23,234,290,12,48,15,81
591,87,1096,227,1,19,17,51
592,17,581,101,70,102,9,14
593,79,1046,48,20,113,9,98
594,37,722,24,36,58,13,21
595,113,1299,140,104,88,8,22
596,47,288,79,93,16,18,76
597,148,978,110,22,108,1,54
598,174,910,367,50,91,16,71
599,52,535,239,13,63,12,7
600,5,667,171,76,55,3,78
601,23,77,162,117,27,20,8
602,80,541,66,106,117,3,94
603,84,479,176,119,31,7,61
604,127,682,222,57,41,2,72
605,110,39,411,80,27,5,58
606,163,738,446,77,45,7,39
607,177,1387,256,45,82,11,12
608,33,1360,68,6,34,2,27
609,161,574,108,66,40,15,71
610,104,841,190,64,51,4,90
611,54,1171,200,4,75,11,61
612,120,975,331,95,2,20,43
613,114,5,85,88,52,1,74
614,98,254,498,6,37,8,85
615,96,1285,441,47,114,14,3
616,110,1301,477,5,34,1,56
617,40,74,45,19,41,13,84
618,181,739,42,85,11,20,46
619,187,810,236,106,95,11,1
620,117,1414,100,24,39,20,44
621,43,1393,164,106,8,18,64
622,141,989,33,6,48,7,3
623,26,1017,173,102,92,19,18
624,170,582,473,74,30,7,89
625,30,786,368,53,103,12,97
626,24,243,464,40,92,3,21
627,138,1168,199,99,18,18,87
628,125,194,294,98,94,12,58
629,17,420,453,13,3,8,92
630,153,796,488,64,32,6,9
631,161,1099,488,62,34,17,87
632,33,795,389,16,3,19,13
633,148,679,500,63,109,17,70
634,14,356,35,52,104,2,50
635,32,747,254,8,10,16,56
636,9,63,297,114,118,3,33
637,110,956,468,1,41,15,40
638,8,1363,337,92,109,11,14
639,161,446,426,46,57,11,63
640,134,244,183,41,5,7,12
641,41,1187,129,112,102,8,8
642,23,170,341,1,107,2,43
643,110,809,493,40,64,3,30
644,97,233,236,88,3,8,75
645,88,519,106,116,63,13,14
646,108,449,381,87,57,1,85
647,92,172,402,2,83,18,41
648,12,745,257,4,84,11,48
649,78,649,465,47,45,7,63
650,88,82,406,89,81,2,3
651,166,1026,273,6,94,13,96
652,80,10,267,86,44,18,14
653,155,1221,130,82,118,2,88
654,71,1045,334,66,21,5,19
655,154,488,291,108,46,16,99
656,191,350,205,114,26,19,64
657,124,821,169,81,77,5,71
658,146,1297,32,2,79,20,11
659,130,653,63,66,72,1,66
660,15,675,248,65,117,16,82
661,8,1167,115,43,28,18,68
662,156,1022,118,4,41,17,96
663,110,314,102,9,37,19,11
664,161,803,366,91,96,9,80
665,64,931,131,4,91,13,35
666,123,178,313,30,4,16,71
667,89,191,387,44,111,14,94
668,116,1013,19,12,108,10,96
669,148,1408,402,99,39,2,37
670,1,30,43,30,35,17,81
671,22,1198,306,45,32,12,40
672,150,1120,497,71,68,16,60
673,19,815,173,36,23,6,13
674,47,1240,131,116,25,5,88
675,30,244,470,20,77,20,93
676,49,1415,49,69,72,9,47
677,165,869,214,18,117,5,8
678,156,1276,268,86,103,7,72
679,103,209,494,2,37,9,64
680,65,910,365,20,120,14,69
681,112,816,311,31,92,15,43
682,36,629,220,47,41,9,7
683,148,721,96,76,44,3,36
684,128,1094,359,35,19,14,86
685,85,88,267,18,91,3,87
686,170,209,85,71,65,18,65
687,162,409,272,113,103,14,48
688,57,1257,263,8,77,5,15
689,185,1236,206,76,95,2,84
690,71,1298,351,3,117,13,58
691,76,1369,232,108,8,20,46
692,1,149,100,104,23,13,97
693,146,1027,491,118,79,12,39
694,189,587,343,120,82,16,14
695,75,266,115,106,107,12,40
696,102,1350,407,84,101,4,14
697,53,341,99,18,113,9,88
698,155,586,315,61,31,18,35
699,71,482,29,67,98,4,11
700,38,575,139,107,32,7,80
701,192,1149,497,74,46,20,83
702,63,452,126,100,37,13,32
703,199,367,131,97,103,7,44
704,167,650,183,5,29,8,93
705,169,1047,220,24,58,2,92
706,195,234,81,77,109,13,44
707,163,1012,324,66,16,7,19
708,196,1128,181,24,91,20,60
709,180,752,78,20,22,5,74
710,87,951,327,31,79,6,3
711,117,1129,395,34,88,13,49
712,64,1277,48,89,60,16,19
713,83,504,500,31,80,7,90
714,82,436,422,106,103,4,96
715,73,344,67,101,10,9,79
716,192,1361,144,26,69,7,90
717,152,1260,161,40,18,16,42
718,54,1246,296,37,3,11,56
719,183,1435,71,33,102,6,87
720,150,1119,71,10,102,18,78
721,32,95,242,96,28,13,97
722,73,274,476,26,31,2,42
723,196,1436,312,20,38,6,24
724,146,668,98,92,86,10,89
725,99,1365,81,71,38,5,42
726,104,739,432,35,5,1,83
727,172,442,199,120,109,6,83
728,170,1329,437,16,17,12,96
729,65,51,321,37,25,2,14
730,82,1045,414,58,59,8,79
731,176,179,344,41,112,18,70
732,175,81,164,51,67,7,100
733,58,988,422,6,68,11,17
734,68,1118,54,120,46,2,68
735,19,711,132,115,94,2,15
736,79,1076,192,11,24,8,73
737,48,329,314,89,23,1,88
738,95,392,402,113,13,12,12
739,156,745,130,114,69,15,9
740,179,569,406,118,115,15,9
741,2,709,70,35,58,8,64
742,94,375,303,2,14,16,39
743,87,1205,99,49,21,14,63
744,68,765,268,99,67,1,25
745,191,221,20,79,57,19,25
746,155,657,248,12,72,1,14
747,136,328,383,29,95,6,55
748,91,731,283,104,101,7,46
749,9,1233,168,51,34,4,66
750,91,674,323,51,34,20,60
751,170,88,419,37,69,6,56
752,35,811,110,94,109,3,1
753,106,773,500,65,85,17,65
754,20,1012,297,66,112,4,55
755,56,499,425,38,118,9,100
756,73,1334,380,65,106,11,24
757,120,1372,468,115,31,7,17
758,191,1276,151,78,26,16,4
759,39,1072,348,75,58,20,94
760,71,116,296,102,66,17,88
761,77,612,313,59,31,14,62
762,145,849,320,22,16,7,79
763,33,148,137,95,117,16,16
764,4,476,121,6,62,10,57
765,183,485,158,50,35,8,20
766,92,1273,292,18,108,4,59
767,23,37,37,68,32,4,85
768,181,665,49,102,9,15,13
769,169,37,58,94,6,10,30
770,89,708,283,64,2,16,14
771,39,1014,400,11,26,14,20
772,194,1122,57,67,112,7,36
773,193,697,51,87,89,13,4
774,127,54,399,29,53,13,85
775,117,500,489,93,55,17,42
776,167,199,180,96,118,5,41
777,56,1034,42,91,80,12,66
778,127,585,197,81,26,6,43
779,133,169,437,17,111,16,100
780,163,607,379,64,61,10,62
781,68,843,344,19,52,15,2
782,66,278,455,90,11,11,13
783,136,915,350,26,15,17,100
784,163,988,115,68,57,15,28
785,105,1196,207,100,80,14,3
786,15,174,19,14,39,19,76
787,19,1271,354,68,67,10,84
788,198,1320,55,32,48,4,49
789,166,1298,182,93,65,9,40
790,35,924,21,20,14,1,3
791,61,1374,431,33,13,2,70
792,137,199,136,17,119,13,83
793,79,777,181,50,119,9,55
794,3,493,27,27,106,6,21
795,171,91,30,30,42,1,95
796,9,133,145,99,106,3,79
797,12,559,313,60,48,8,23
798,71,756,199,101,74,17,2
799,143,34,222,45,92,12,41
800,70,107,232,95,55,14,43
801,154,1308,13,47,79,13,27
802,116,154,100,107,117,7,53
803,45,172,105,64,75,9,59
804,168,1136,238,117,2,10,26
805,85,1018,324,36,77,9,27
806,125,1233,463,88,75,19,46
807,12,1152,61,69,1,16,22
808,67,1096,259,101,96,19,52
809,174,1071,52,22,88,4,8
810,9,9,378,72,25,13,89
811,54,778,129,47,108,15,15
812,18,1058,261,101,16,14,5
813,23,1294,406,11,109,14,31
814,86,1062,486,56,74,4,71
815,138,1326,174,6,75,15,18
816,200,139,142,42,69,12,4
817,34,229,10,105,64,7,87
818,178,1015,476,67,42,15,26
819,71,1341,422,47,105,15,18
820,7,229,379,18,32,6,66
821,106,610,345,83,22,3,60
822,140,1356,193,93,100,12,41
823,103,829,114,2,63,17,49
824,50,895,366,20,90,16,66
825,46,990,226,75,53,7,5
826,181,1189,396,44,18,2,50
827,144,341,350,49,68,5,86
828,182,1154,441,30,16,12,14
829,136,1077,130,1,9,8,37
830,142,634,469,36,62,4,76
831,167,771,68,100,80,18,50
832,141,742,260,119,19,2,62
833,137,1373,467,20,72,14,100
834,11,1373,68,64,41,18,37
835,59,1409,170,28,10,12,27
836,162,1216,30,114,95,4,37
837,46,258,149,3,108,12,64
838,2,1305,451,94,37,2,44
839,127,1420,130,101,118,13,95
840,145,513,303,10,105,16,56
841,150,430,314,17,91,10,61
842,124,901,462,84,50,4,7
843,95,68,131,44,96,17,88
844,183,1254,218,61,106,15,94
845,35,543,23,65,11,1,91
846,40,718,344,37,44,11,15
847,153,268,63,102,98,2,79
848,185,675,42,1,45,4,96
849,192,978,120,4,2,10,69
850,7,239,220,52,110,1,49
851,71,685,127,98,3,9,51
852,67,65,89,56,115,10,92
