NodeID,Zone,Conn,Dist,Users,BW
395,W,9372,25,376,61
396,E,9146,24,115,95
397,E,2999,88,231,29
398,E,6089,34,77,82
399,C,7736,25,261,7
400,S,6704,73,448,11
401,W,5134,82,52,58
402,E,9441,98,452,98
403,N,7035,52,69,69
404,S,5279,97,165,89
405,E,8246,76,471,6
406,E,8524,77,300,46
407,S,6609,3,422,17
408,S,2768,16,498,82
409,E,9730,7,277,49
410,N,2508,27,188,80
411,C,1718,66,151,78
412,S,3304,46,304,27
413,W,1458,15,88,93
414,N,7483,38,101,23
415,N,5123,55,389,83
416,S,4395,94,240,44
417,S,7479,35,107,17
418,N,1699,54,362,49
419,E,2140,62,73,9
420,E,8598,99,317,89
421,C,4072,62,479,72
422,C,2571,65,434,63
423,E,824,65,379,49
424,W,7277,74,211,16
425,W,6609,53,335,71
426,N,4990,66,472,7
427,S,9829,61,51,44
428,E,4783,71,302,18
429,W,3072,16,416,44
430,N,9647,16,118,64
431,N,7091,75,138,94
432,S,9931,42,190,51
433,E,2185,18,481,90
434,C,9069,81,157,80
435,E,2173,91,439,46
436,C,6839,87,104,4
437,W,3275,35,399,33
438,S,4835,27,365,87
439,C,9195,50,451,90
440,E,6251,50,56,96
441,E,7259,29,447,93
442,S,1220,24,111,49
443,N,2131,21,413,20
444,N,833,100,87,91
445,E,8529,9,256,12
446,E,5437,43,435,80
447,C,144,15,399,42
448,W,6322,33,313,66
449,W,3154,42,323,1
450,N,3492,88,474,90
451,W,2519,4,87,7
452,S,9420,30,280,81
453,W,1938,69,378,93
454,C,745,90,233,65
455,N,9937,12,252,85
456,N,2234,96,202,87
457,E,9094,19,71,1
458,C,1394,40,158,53
459,C,4140,25,142,86
460,C,8992,60,100,26
461,C,2100,86,212,63
462,W,9571,20,136,1
463,E,7145,36,499,62
464,W,7978,71,139,83
465,C,2293,69,425,81
466,N,8309,81,466,75
467,C,600,71,291,84
468,S,9660,94,306,66
469,N,3913,79,141,73
470,C,7921,46,162,98
471,W,3834,6,282,6
472,N,8542,82,328,73
473,S,9628,84,314,33
474,W,6649,46,359,1
475,C,3768,10,130,47
476,C,3773,54,395,62
477,W,6732,3,115,74
478,C,642,74,135,34
479,S,9234,82,499,93
480,E,9937,61,357,19
481,C,8369,34,282,77
482,C,2166,14,153,67
483,C,9920,13,364,77
484,N,1925,12,473,1
485,W,711,90,229,76
486,C,7817,99,195,77
487,C,116,74,385,27
488,E,6980,84,339,47
489,C,3337,53,336,72
490,W,5641,100,450,90
491,S,5544,71,461,12
492,S,1444,9,90,78
493,N,6564,79,377,64
494,W,8489,37,451,77
495,C,2776,87,234,31
496,N,4520,100,350,26
497,C,1477,71,228,45
498,E,7450,52,309,14
499,C,1917,66,178,89
500,W,3985,97,350,4
501,W,3610,87,324,2
502,E,5603,10,161,74
503,E,3115,64,167,26
504,S,1747,16,396,85
505,W,8871,6,344,36
506,W,8374,36,77,68
507,W,8232,45,407,67
508,W,3452,49,145,71
509,E,5621,47,267,27
510,W,6563,36,344,88
511,S,3863,72,459,95
512,S,6906,64,323,93
513,E,9210,73,253,13
514,S,7807,81,280,96
515,E,9133,33,112,45
516,C,8821,23,394,66
517,W,1284,49,377,44
518,W,1168,11,166,41
519,E,9918,83,432,76
520,C,3012,3,388,33
521,N,1565,9,444,51
522,C,4300,80,385,50
523,E,7260,81,319,22
524,N,5328,61,277,18
525,C,9240,56,326,30
526,N,4256,20,317,98
527,S,136,89,442,56
528,E,8981,48,337,56
529,W,6385,49,90,55
530,S,4454,37,143,18
531,E,7418,35,75,69
532,N,4410,17,57,64
533,S,8165,48,481,97
534,S,1169,70,468,49
535,N,4078,50,285,95
536,N,7746,50,316,16
537,E,5905,7,57,22
538,E,3982,2,347,89
539,W,1466,32,96,88
540,C,983,8,455,14
541,S,9148,83,60,89
542,W,646,63,147,73
543,S,7674,36,129,58
544,E,7439,1,447,80
545,S,8830,50,399,64
546,C,6714,83,317,85
547,N,2926,5,298,25
548,N,6366,85,75,47
549,S,3419,84,234,72
550,W,955,79,425,10
551,E,8511,13,421,30
552,C,4075,73,442,82
553,C,6997,14,331,52
554,C,9829,57,216,48
555,W,5299,78,329,28
556,W,4162,47,421,5
557,E,4945,1,488,41
558,N,4521,71,98,5
559,W,6014,75,181,39
560,N,3562,94,420,42
561,W,9440,13,90,100
562,N,7115,54,495,99
563,S,187,82,213,70
564,C,3617,20,394,94
565,W,9424,65,163,56
566,E,5507,11,254,34
567,N,2136,98,336,26
568,W,9194,79,447,56
569,E,1843,86,147,42
570,E,4994,22,275,6
571,S,1405,15,225,89
572,N,5437,27,434,34
573,C,2315,89,180,22
574,N,4444,7,388,35
575,E,6332,30,298,77
576,C,7503,72,220,63
577,W,5765,46,370,33
578,W,482,72,224,51
579,S,3726,54,128,55
580,E,8883,17,347,70
581,S,8582,18,212,9
582,C,3016,41,441,41
583,W,4485,20,117,24
584,N,4372,78,401,4
585,E,2196,65,301,61
586,S,6694,98,188,53
587,S,3351,9,493,79
588,W,4043,55,418,41
589,W,9728,69,283,6
590,S,643,72,199,57
591,W,4684,60,200,79
592,N,7595,83,142,100
593,C,2216,51,141,59
594,C,7449,12,417,94
595,N,5946,11,331,49
596,N,9265,85,494,19
597,S,5047,40,153,1
598,C,8153,64,161,76
599,W,9850,77,175,71
600,E,3401,7,78,84
601,E,9471,78,75,14
602,W,4659,79,433,75
603,E,4903,42,438,55
604,C,1999,89,261,68
605,S,1790,74,268,78
606,E,5797,17,302,24
607,C,3171,1,62,60
608,N,6793,53,220,45
609,C,3296,89,207,39
610,C,1865,88,420,73
611,C,3178,43,458,5
612,S,8797,43,203,73
613,E,9460,88,126,36
614,N,8753,22,109,97
615,E,518,35,240,58
616,E,1838,48,448,26
617,N,7907,65,224,62
618,C,1609,67,415,67
619,N,9736,12,102,67
620,E,3438,42,196,36
621,C,1927,35,190,15
622,N,1677,27,122,91
623,E,5101,79,75,17
624,N,1735,50,94,55
625,W,9711,81,415,98
626,C,7629,73,466,90
627,W,7625,61,123,79
628,E,5412,42,293,15
629,E,4624,99,115,66
630,N,1752,42,255,76
631,W,2605,62,466,89
632,C,9293,44,478,63
633,N,9094,13,85,77
634,N,6208,42,468,18
635,C,3,97,281,69
636,E,3205,27,417,45
637,N,8362,52,81,48
638,C,9175,46,490,37
639,N,6459,81,245,56
640,C,2278,25,197,86
641,S,257,19,378,54
642,W,6974,80,310,55
643,C,3698,24,305,94
644,S,8948,74,340,62
645,E,1311,19,317,79
646,N,1279,88,323,100
647,N,7687,74,135,5
648,C,9235,34,372,61
649,C,4780,95,114,65
650,N,2171,79,57,95
651,N,2476,85,450,90
652,S,542,44,124,77
653,S,6765,99,157,74
654,E,1900,7,254,61
655,E,8724,30,124,68
656,W,7353,49,376,46
657,W,4466,43,180,84
658,C,3961,94,210,71
659,N,195,53,318,14
660,W,4127,25,62,80
661,N,3552,77,242,85
662,C,1816,90,200,60
663,N,4528,99,449,10
664,E,5450,8,275,9
665,W,6432,23,161,79
666,N,1692,5,86,74
667,E,8154,20,408,43
668,W,8039,62,165,1
669,W,7898,16,255,8
670,N,5571,11,333,6
671,W,6391,14,121,5
672,S,3907,63,305,69
673,W,5558,8,110,28
674,C,8791,20,300,84
675,N,750,32,470,13
676,W,1047,14,304,77
677,C,6983,44,120,42
678,S,5496,9,190,19
679,W,2703,57,70,18
680,N,6162,100,500,63
681,N,1460,91,155,19
682,E,2859,79,371,39
683,E,3144,16,162,60
684,S,2444,88,393,6
685,N,7121,33,103,95
686,N,476,63,353,75
687,E,5336,30,216,30
688,N,3276,49,291,75
689,W,3541,79,119,59
690,S,3313,43,404,73
691,N,7627,59,201,78
692,S,2784,74,300,28
693,C,237,94,272,75
694,S,2440,74,263,6
695,N,8261,5,464,90
696,N,9150,97,404,94
697,W,4846,31,410,59
698,C,7452,60,144,48
699,W,1158,50,435,35
700,C,1326,80,395,47
701,N,669,47,410,9
702,C,5487,31,435,96
703,S,8250,88,240,45
704,W,2010,61,459,87
705,N,1430,11,105,22
706,E,2465,27,117,61
707,E,351,38,61,30
708,C,5616,84,277,59
709,E,5021,22,240,37
710,N,2725,80,196,24
711,S,2514,21,71,41
712,C,3022,27,240,58
713,C,1990,4,213,20
714,N,8313,43,459,73
715,W,7847,6,109,40
716,N,7306,46,217,8
717,C,3639,99,92,69
718,W,8385,51,212,78
719,C,5915,51,239,50
720,E,5047,58,461,57
721,E,6944,94,94,19
722,S,8606,43,352,97
723,W,4478,54,286,91
724,C,3047,49,71,39
725,C,7593,29,455,1
726,S,7742,16,64,16
727,E,9812,96,339,56
728,E,1959,48,347,8
729,S,2219,46,189,47
730,W,798,38,313,25
731,S,2738,70,188,88
732,E,2354,2,194,48
733,W,2671,14,307,29
734,S,8612,69,109,17
735,N,5940,18,138,91
736,E,3643,17,116,11
737,W,1273,3,105,5
738,C,4145,6,204,86
739,N,9859,27,96,19
740,E,2630,65,469,75
741,N,4617,22,485,91
742,W,7203,87,142,46
743,W,6677,15,106,67
744,S,4723,72,247,37
745,W,7273,29,488,9
746,W,209,87,317,85
747,N,9675,14,152,77
748,W,8177,36,293,86
749,C,8379,36,105,16
750,E,2205,4,427,7
751,N,2934,49,439,10
752,C,3308,38,225,70
753,C,7051,16,276,59
754,N,4965,91,270,18
755,E,1792,73,293,72
756,S,8105,76,81,4
757,C,5715,95,269,45
758,E,4001,32,353,11
759,N,2781,3,340,66
760,W,9633,3,249,42
761,C,3373,44,364,39
762,E,1234,69,185,7
763,E,3700,80,189,9
764,C,3436,45,383,39
765,C,8846,41,255,33
766,C,8971,24,371,91
767,C,3489,85,422,81
768,N,2420,31,482,56
769,W,1055,82,186,37
770,S,6649,31,126,25
771,N,7604,63,131,35
772,S,4551,85,78,11
773,E,6668,47,342,95
774,C,9509,100,357,16
775,E,6388,96,139,28
776,E,9658,8,212,70
777,W,4550,19,470,40
778,N,570,95,208,82
779,E,8763,31,180,39
780,N,4872,27,373,41
781,W,1312,100,417,55
782,N,8295,9,423,71
783,E,853,83,152,81
784,E,2585,32,281,62
785,S,5367,37,262,48
786,S,9345,29,61,72
787,C,7576,26,255,80
788,W,6028,22,445,59
789,W,3121,35,116,56
790,S,4636,94,64,38
791,E,4068,48,118,42
792,W,6935,95,80,7
793,E,5804,78,367,49
794,E,2166,72,347,23
795,E,5557,60,212,91
796,C,5132,6,496,36
797,E,4312,79,273,22
798,E,2478,72,167,24
799,N,7653,56,303,6
800,W,7949,59,228,12
801,S,2757,96,348,1
802,C,1258,32,195,88
803,N,1737,42,91,59
804,W,9735,85,218,6
805,C,9325,17,460,83
806,E,1158,71,141,31
807,W,2669,50,202,63
808,W,9887,17,312,26
809,W,4398,73,364,24
810,W,8410,44,319,81
811,C,1297,62,400,39
812,S,781,71,73,66
813,N,7612,85,91,99
814,C,7583,23,73,11
815,W,9620,93,496,24
816,S,9896,34,252,15
817,N,6637,85,461,39
818,N,1833,3,382,31
819,W,8824,25,204,99
820,W,1908,22,298,61
821,N,3298,38,102,81
822,W,9480,77,298,66
823,C,7993,30,211,71
824,N,7755,15,60,21
825,E,7178,30,486,92
826,W,6395,54,403,96
827,N,3268,21,205,31
828,S,5878,34,473,65
829,N,1867,80,337,29
830,W,5820,99,444,72
831,E,8444,78,104,79
832,C,9215,6,235,21
833,E,8165,94,128,83
834,E,3307,57,224,37
835,C,6799,47,120,55
836,W,8456,88,124,99
837,N,1140,11,445,22
838,W,2473,74,373,92
839,C,9070,39,362,19
840,W,8919,80,204,11
841,N,2064,67,332,40
842,C,383,4,421,55
843,C,6110,34,279,39
844,C,3868,96,229,39
845,E,9384,87,316,95
846,S,3154,100,125,92
847,W,1018,55,159,58
848,N,9637,72,375,55
849,W,6830,21,115,63
850,W,8669,16,336,48
851,N,1980,48,110,48
852,E,7961,4,451,76
853,W,4644,28,51,16
854,C,6841,62,450,49
855,W,2175,98,375,59
856,W,5328,12,223,70
857,N,4544,83,493,22
858,N,5060,72,345,97
859,N,7796,65,111,85
860,C,3371,32,214,52
861,C,381,44,490,68
862,E,1627,70,123,24
863,E,6672,87,364,42
864,S,6388,13,215,34
865,W,849,26,350,31
866,W,1885,35,212,60
867,C,6676,82,187,71
868,C,9088,84,340,53
869,W,3333,19,450,32
870,C,9095,58,50,60
871,C,8,8,479,88
872,W,3485,75,338,9
873,E,2288,93,460,41
874,E,7417,35,224,27
875,W,2190,83,361,61
876,N,6769,72,325,4
877,W,6166,77,479,99
878,N,3161,57,163,96
879,N,5862,25,467,79
880,E,8090,47,193,64
881,C,6489,15,302,22
882,C,9879,73,351,17
883,N,3734,67,398,72
884,W,849,42,398,67
885,W,712,93,192,54
886,C,3188,43,500,74
887,N,6943,10,134,43
888,E,456,62,480,33
889,S,5583,7,87,100
890,C,7314,75,93,8
891,N,1065,17,460,57
892,N,1077,14,255,13
893,C,9823,85,457,55
894,C,425,59,102,2
895,C,3172,74,181,46
896,W,3046,32,80,17
897,E,5861,40,208,78
898,E,8481,76,489,7
899,W,3297,9,405,89
900,W,9476,73,218,21
901,N,691,64,377,29
902,S,7876,95,254,24
903,N,491,72,122,38
904,W,5896,6,151,26
905,E,2855,44,140,34
906,N,6208,84,223,27
907,E,6100,85,459,80
908,W,2366,17,322,49
909,E,4006,6,454,20
910,E,4588,17,451,61
911,C,8342,48,214,92
912,E,8106,61,376,75
913,N,7406,31,243,74
914,S,9020,11,201,57
915,C,7622,66,271,53
916,E,6264,4,169,34
917,N,8220,66,110,10
918,E,3221,87,431,99
919,E,2258,97,471,45
920,W,194,61,420,96
921,S,9054,97,210,25
922,W,3433,57,121,74
923,S,8188,85,264,55
924,W,4909,42,128,43
925,C,9958,74,82,69
926,W,9330,58,140,5
927,C,1138,50,199,85
928,C,8495,2,490,53
929,W,8789,54,116,27
930,E,7778,21,307,92
931,W,2337,58,472,52
932,C,9326,63,427,12
933,E,5681,90,141,80
934,W,3005,90,495,21
935,E,1093,90,238,10
936,N,6719,58,156,65
937,N,7567,49,253,5
938,N,2236,42,330,85
939,S,7713,36,479,3
940,C,8759,95,396,35
941,S,564,87,378,85
942,N,858,77,74,99
943,W,6138,31,58,54
944,N,3148,88,72,54
945,C,9208,81,327,51
946,W,5842,42,255,84
947,E,3606,9,260,39
948,C,8784,73,98,77
949,E,2177,43,485,86
950,W,9585,58,350,91
951,N,2032,40,437,32
952,C,8171,38,242,27
953,N,7270,95,212,83
954,N,4726,97,167,94
955,E,885,86,361,49
956,C,99,9,374,19
957,S,8992,27,90,55
958,W,4012,55,177,39
959,E,3299,35,243,22
960,W,7101,98,60,98
961,W,4918,77,244,60
962,E,9929,62,220,18
963,W,68,2,252,96
964,E,9638,10,339,21
965,S,5711,66,426,32
966,S,5921,81,398,19
967,E,2644,2,444,12
968,W,1316,67,134,55
969,E,8735,85,435,94
970,N,5642,19,407,40
971,N,25,13,446,90
972,W,7060,22,145,91
973,S,1806,58,433,24
974,S,6697,57,243,16
975,E,3846,62,186,97
976,N,685,13,455,1
977,W,4355,63,222,48
978,E,5918,86,497,43
979,N,6583,93,358,16
980,C,4072,48,388,25
981,N,5278,3,360,63
982,W,5707,55,360,25
983,S,8267,5,457,12
984,E,7648,22,173,32
985,S,1465,14,246,99
986,E,7803,86,390,18
987,C,5452,29,417,96
988,W,7159,30,109,38
989,N,9702,25,244,74
990,N,3110,50,316,85
991,C,150,69,478,29
992,W,4643,19,402,16
993,E,7836,81,199,91
994,W,2501,92,408,95
995,N,7987,94,330,51
996,E,5706,97,422,37
997,E,8978,51,117,42
998,C,4981,59,199,19
999,S,149,47,397,22
1000,N,2943,7,313,84
1001,E,6619,32,110,31
1002,W,2826,84,373,84
1003,W,1353,16,350,74
1004,C,1549,76,297,83
1005,W,5328,9,334,69
1006,C,9580,69,405,24
1007,N,2015,6,155,84
1008,S,573,11,309,39
1009,E,1,32,450,38
1010,C,5127,67,311,27
1011,N,601,25,488,28
1012,S,5882,36,88,71
1013,E,2675,52,405,19
1014,C,4413,82,133,54
1015,S,6208,4,322,15
1016,C,1457,47,494,29
1017,E,3640,49,450,16
1018,S,9647,63,320,45
1019,C,9952,13,137,41
1020,W,8711,71,182,2
1021,C,2337,49,397,78
1022,W,5799,60,417,30
1023,E,5007,53,89,94
1024,S,940,11,396,66
1025,S,8722,90,257,2
1026,C,119,92,428,85
1027,C,7350,22,479,18
1028,C,8118,49,107,44
1029,S,1931,38,185,28
1030,N,3562,40,232,1
1031,C,1755,1,231,2
1032,N,8668,66,113,63
1033,N,3704,61,269,24
1034,C,7185,85,432,56
1035,N,3251,15,70,18
1036,W,517,21,300,71
1037,W,5322,97,106,14
1038,N,223,99,427,2
1039,W,1353,98,145,32
1040,E,4052,86,408,94
1041,C,9686,81,69,36
1042,S,3270,12,244,53
1043,C,3791,29,81,66
1044,W,4411,47,176,41
1045,N,5269,28,360,13
1046,W,5956,43,392,2
1047,C,5907,95,359,48
1048,S,6292,12,116,81
1049,C,3120,25,204,93
1050,W,2517,6,264,71
1051,E,9180,45,273,9
1052,W,8255,3,190,90
1053,S,996,89,303,88
1054,C,2711,57,360,35
1055,S,3568,76,182,39
1056,S,1951,22,323,31
1057,E,4550,18,471,27
1058,C,9914,48,185,93
1059,S,5318,8,181,3
1060,C,9556,14,468,57
1061,S,6479,20,125,62
1062,N,2885,25,208,21
1063,S,3077,9,268,32
1064,W,1642,93,243,50
1065,N,716,17,187,19
1066,C,1742,70,438,73
1067,W,7846,20,328,89
1068,E,729,14,122,1
1069,S,2414,46,136,15
1070,S,5854,10,72,78
1071,S,9824,24,498,14
1072,E,4348,92,453,1
1073,S,2421,50,345,55
