index,node_type,zone,corridor,facility_name,gps_lat,gps_lon,criticality_level,resource_type,capacity_units,final_stock_units
15,WATER_RESERVOIR,HIGHWAY_CORRIDOR,LAKE_SECTOR,WATER_RESERVOIR_0015,14.87391,76.66155,HIGH,MEDICAL_KIT,847.0,843.27
16,MOBILE_VET_UNIT,RIVER_CORRIDOR,NORTH_RIDGE,MOBILE_VET_UNIT_0016,15.37872,77.33167,LOW,WATER,12076.0,7084.35
17,CLINIC,HILL_RANGE,SOUTH_RIDGE,CLINIC_0017,15.31602,77.47798,MEDIUM,WATER,19455.0,15932.59
18,CLINIC,RIVER_CORRIDOR,LAKE_SECTOR,CLINIC_0018,15.37243,76.92314,MEDIUM,WATER,8940.0,7728.24
19,CLINIC,HIGHWAY_CORRIDOR,HIGHWAY_NORTH,CLINIC_0019,14.9381,77.01758,MEDIUM,MEDICAL_KIT,173.0,138.17
20,WATER_RESERVOIR,HIGHWAY_CORRIDOR,NORTH_RIDGE,WATER_RESERVOIR_0020,15.08844,76.50719,MEDIUM,MEDICAL_KIT,774.0,543.2
21,CLINIC,CORE_FOREST,NORTH_RIDGE,CLINIC_0021,14.738,77.16898,HIGH,VACCINE,1955.0,1909.5
22,FIELD_DEPOT,BUFFER_VILLAGE,HIGHWAY_SOUTH,FIELD_DEPOT_0022,14.59693,76.93105,HIGH,VACCINE,3669.0,3669.0
23,WATER_RESERVOIR,CORE_FOREST,NORTH_RIDGE,WATER_RESERVOIR_0023,15.30059,76.60927,MEDIUM,VACCINE,1769.0,824.29
24,FIELD_DEPOT,BUFFER_VILLAGE,HIGHWAY_NORTH,FIELD_DEPOT_0024,14.74981,77.42327,MEDIUM,WATER,16520.0,14468.38
25,WATER_RESERVOIR,CORE_FOREST,LAKE_SECTOR,WATER_RESERVOIR_0025,15.42637,77.3487,LOW,WATER,7449.0,5256.23
26,FIELD_DEPOT,BUFFER_VILLAGE,HIGHWAY_NORTH,FIELD_DEPOT_0026,14.50216,76.89042,HIGH,WATER,16909.0,14968.08
27,FIELD_DEPOT,BUFFER_VILLAGE,WEST_VALLEY,FIELD_DEPOT_0027,14.55848,77.23574,HIGH,VACCINE,699.0,667.77
28,FIELD_DEPOT,HILL_RANGE,LAKE_SECTOR,FIELD_DEPOT_0028,15.00783,77.35134,HIGH,WATER,4245.0,3172.89
29,CLINIC,RIVER_CORRIDOR,SOUTH_RIDGE,CLINIC_0029,15.09452,77.11938,HIGH,MEDICAL_KIT,479.0,451.01
30,MOBILE_VET_UNIT,HIGHWAY_CORRIDOR,WEST_VALLEY,MOBILE_VET_UNIT_0030,14.73869,76.89579,MEDIUM,MEDICAL_KIT,737.0,605.05
31,FIELD_DEPOT,HIGHWAY_CORRIDOR,SOUTH_RIDGE,FIELD_DEPOT_0031,15.49845,77.4961,MEDIUM,WATER,4400.0,2788.48
32,MOBILE_VET_UNIT,BUFFER_VILLAGE,RIVER_WEST,MOBILE_VET_UNIT_0032,14.86953,76.65775,LOW,WATER,19800.0,14487.22
33,WATER_RESERVOIR,HILL_RANGE,RIVER_EAST,WATER_RESERVOIR_0033,15.37813,76.76447,HIGH,MEDICAL_KIT,961.0,845.77
34,MOBILE_VET_UNIT,HIGHWAY_CORRIDOR,GRASSLAND_BELT,MOBILE_VET_UNIT_0034,14.7036,77.13424,MEDIUM,WATER,10650.0,6951.3
35,MOBILE_VET_UNIT,CORE_FOREST,SOUTH_RIDGE,MOBILE_VET_UNIT_0035,14.77668,76.50355,MEDIUM,MEDICAL_KIT,839.0,416.93
36,MOBILE_VET_UNIT,BUFFER_VILLAGE,HIGHWAY_SOUTH,MOBILE_VET_UNIT_0036,15.06091,76.61187,MEDIUM,MEDICAL_KIT,954.0,768.26
37,CLINIC,HILL_RANGE,NORTH_RIDGE,CLINIC_0037,14.64809,76.62745,MEDIUM,VACCINE,2725.0,1868.42
38,WATER_RESERVOIR,HIGHWAY_CORRIDOR,WEST_VALLEY,WATER_RESERVOIR_0038,14.60279,77.28012,HIGH,MEDICAL_KIT,955.0,939.93
39,CLINIC,BUFFER_VILLAGE,EAST_VALLEY,CLINIC_0039,14.52479,77.23656,LOW,WATER,12885.0,9819.38
40,FIELD_DEPOT,BUFFER_VILLAGE,RIVER_EAST,FIELD_DEPOT_0040,14.6081,77.37217,LOW,WATER,17423.0,9274.06
41,FIELD_DEPOT,HIGHWAY_CORRIDOR,RIVER_EAST,FIELD_DEPOT_0041,15.16003,76.89847,HIGH,WATER,11129.0,10859.13
42,MOBILE_VET_UNIT,HIGHWAY_CORRIDOR,LAKE_SECTOR,MOBILE_VET_UNIT_0042,15.34366,76.83115,MEDIUM,VACCINE,426.0,194.97
43,MOBILE_VET_UNIT,BUFFER_VILLAGE,GRASSLAND_BELT,MOBILE_VET_UNIT_0043,15.09657,76.84569,HIGH,VACCINE,2769.0,2769.0
44,WATER_RESERVOIR,RIVER_CORRIDOR,GRASSLAND_BELT,WATER_RESERVOIR_0044,15.20879,76.50169,MEDIUM,WATER,19643.0,14959.59
45,CLINIC,HIGHWAY_CORRIDOR,HIGHWAY_NORTH,CLINIC_0045,15.42077,77.12316,LOW,WATER,6083.0,5515.75
46,MOBILE_VET_UNIT,HILL_RANGE,RIVER_EAST,MOBILE_VET_UNIT_0046,14.9024,76.79566,MEDIUM,MEDICAL_KIT,180.0,72.78
47,FIELD_DEPOT,BUFFER_VILLAGE,GRASSLAND_BELT,FIELD_DEPOT_0047,15.04794,76.50041,MEDIUM,MEDICAL_KIT,343.0,237.33
48,MOBILE_VET_UNIT,RIVER_CORRIDOR,HIGHWAY_SOUTH,MOBILE_VET_UNIT_0048,15.01117,77.29374,MEDIUM,VACCINE,1590.0,1310.2
49,MOBILE_VET_UNIT,HILL_RANGE,GRASSLAND_BELT,MOBILE_VET_UNIT_0049,15.452,76.73487,HIGH,VACCINE,2742.0,2003.68
50,WATER_RESERVOIR,CORE_FOREST,WEST_VALLEY,WATER_RESERVOIR_0050,15.26849,76.95542,MEDIUM,VACCINE,4915.0,2501.94
51,FIELD_DEPOT,RIVER_CORRIDOR,HIGHWAY_NORTH,FIELD_DEPOT_0051,15.18762,77.39266,HIGH,WATER,5492.0,4805.9
52,FIELD_DEPOT,CORE_FOREST,LAKE_SECTOR,FIELD_DEPOT_0052,14.62136,76.63334,LOW,WATER,17225.0,12639.51
53,MOBILE_VET_UNIT,RIVER_CORRIDOR,GRASSLAND_BELT,MOBILE_VET_UNIT_0053,14.92674,77.40685,LOW,MEDICAL_KIT,506.0,422.94
54,FIELD_DEPOT,RIVER_CORRIDOR,RIVER_EAST,FIELD_DEPOT_0054,14.77731,77.27767,LOW,WATER,17879.0,12333.33
55,MOBILE_VET_UNIT,RIVER_CORRIDOR,SOUTH_RIDGE,MOBILE_VET_UNIT_0055,14.77172,76.81971,MEDIUM,MEDICAL_KIT,603.0,297.06
56,CLINIC,BUFFER_VILLAGE,HIGHWAY_NORTH,CLINIC_0056,14.71395,76.91487,HIGH,MEDICAL_KIT,388.0,380.81
57,CLINIC,RIVER_CORRIDOR,HIGHWAY_NORTH,CLINIC_0057,14.51953,77.38066,LOW,MEDICAL_KIT,639.0,377.13
58,WATER_RESERVOIR,HIGHWAY_CORRIDOR,RIVER_EAST,WATER_RESERVOIR_0058,15.45343,76.91902,LOW,VACCINE,4673.0,3764.99
59,CLINIC,RIVER_CORRIDOR,WEST_VALLEY,CLINIC_0059,14.52902,76.83613,MEDIUM,VACCINE,3512.0,2905.9
60,FIELD_DEPOT,BUFFER_VILLAGE,GRASSLAND_BELT,FIELD_DEPOT_0060,14.89402,77.06439,HIGH,MEDICAL_KIT,77.0,59.4
61,FIELD_DEPOT,BUFFER_VILLAGE,NORTH_RIDGE,FIELD_DEPOT_0061,14.71166,76.82685,MEDIUM,VACCINE,3305.0,2061.31
62,FIELD_DEPOT,HIGHWAY_CORRIDOR,SOUTH_RIDGE,FIELD_DEPOT_0062,15.03942,77.49991,HIGH,VACCINE,3066.0,1947.01
63,WATER_RESERVOIR,CORE_FOREST,WEST_VALLEY,WATER_RESERVOIR_0063,15.12134,76.73854,LOW,WATER,17517.0,14169.94
64,CLINIC,RIVER_CORRIDOR,RIVER_EAST,CLINIC_0064,15.10725,77.24793,HIGH,VACCINE,1138.0,757.35
65,MOBILE_VET_UNIT,CORE_FOREST,GRASSLAND_BELT,MOBILE_VET_UNIT_0065,15.0758,77.40803,LOW,WATER,14298.0,8482.69
66,CLINIC,CORE_FOREST,GRASSLAND_BELT,CLINIC_0066,14.74285,77.19719,LOW,MEDICAL_KIT,358.0,302.81
67,WATER_RESERVOIR,HILL_RANGE,NORTH_RIDGE,WATER_RESERVOIR_0067,15.16152,76.56896,MEDIUM,VACCINE,2995.0,1283.89
68,FIELD_DEPOT,RIVER_CORRIDOR,SOUTH_RIDGE,FIELD_DEPOT_0068,15.13559,77.32871,LOW,VACCINE,1453.0,1052.74
69,MOBILE_VET_UNIT,HILL_RANGE,LAKE_SECTOR,MOBILE_VET_UNIT_0069,15.32573,77.09247,MEDIUM,VACCINE,2840.0,2592.2
70,WATER_RESERVOIR,HIGHWAY_CORRIDOR,HIGHWAY_SOUTH,WATER_RESERVOIR_0070,15.06985,77.16819,LOW,WATER,13023.0,5170.02
71,MOBILE_VET_UNIT,BUFFER_VILLAGE,HIGHWAY_SOUTH,MOBILE_VET_UNIT_0071,14.75835,76.77966,MEDIUM,WATER,11052.0,7492.1
72,CLINIC,CORE_FOREST,WEST_VALLEY,CLINIC_0072,15.05518,76.74032,MEDIUM,MEDICAL_KIT,537.0,384.56
73,FIELD_DEPOT,RIVER_CORRIDOR,NORTH_RIDGE,FIELD_DEPOT_0073,14.9044,76.74331,MEDIUM,WATER,14092.0,8971.39
74,MOBILE_VET_UNIT,RIVER_CORRIDOR,LAKE_SECTOR,MOBILE_VET_UNIT_0074,14.95375,76.80662,MEDIUM,VACCINE,2088.0,1040.19
75,CLINIC,HIGHWAY_CORRIDOR,SOUTH_RIDGE,CLINIC_0075,15.26219,76.68515,MEDIUM,MEDICAL_KIT,271.0,216.59
76,MOBILE_VET_UNIT,HILL_RANGE,LAKE_SECTOR,MOBILE_VET_UNIT_0076,14.60053,76.69412,MEDIUM,MEDICAL_KIT,282.0,178.37
77,MOBILE_VET_UNIT,CORE_FOREST,LAKE_SECTOR,MOBILE_VET_UNIT_0077,15.47429,77.05336,MEDIUM,WATER,6137.0,3843.44
78,FIELD_DEPOT,CORE_FOREST,NORTH_RIDGE,FIELD_DEPOT_0078,14.97871,76.84071,MEDIUM,MEDICAL_KIT,102.0,72.67
79,FIELD_DEPOT,CORE_FOREST,SOUTH_RIDGE,FIELD_DEPOT_0079,15.07702,77.18645,MEDIUM,VACCINE,1442.0,1215.45
80,MOBILE_VET_UNIT,CORE_FOREST,WEST_VALLEY,MOBILE_VET_UNIT_0080,14.91617,77.09613,MEDIUM,WATER,9395.0,7401.82
81,FIELD_DEPOT,RIVER_CORRIDOR,HIGHWAY_SOUTH,FIELD_DEPOT_0081,15.49003,76.80538,LOW,VACCINE,693.0,471.19
82,WATER_RESERVOIR,BUFFER_VILLAGE,WEST_VALLEY,WATER_RESERVOIR_0082,14.65706,76.67381,MEDIUM,VACCINE,814.0,779.02
83,FIELD_DEPOT,RIVER_CORRIDOR,GRASSLAND_BELT,FIELD_DEPOT_0083,14.73148,77.20696,MEDIUM,VACCINE,3919.0,1679.65
84,CLINIC,HIGHWAY_CORRIDOR,GRASSLAND_BELT,CLINIC_0084,14.69782,76.61478,LOW,MEDICAL_KIT,280.0,233.91
85,MOBILE_VET_UNIT,BUFFER_VILLAGE,SOUTH_RIDGE,MOBILE_VET_UNIT_0085,14.80761,77.24896,HIGH,WATER,11457.0,10494.14
86,MOBILE_VET_UNIT,RIVER_CORRIDOR,RIVER_EAST,MOBILE_VET_UNIT_0086,14.93776,77.09804,MEDIUM,MEDICAL_KIT,960.0,652.21
87,MOBILE_VET_UNIT,HILL_RANGE,RIVER_EAST,MOBILE_VET_UNIT_0087,15.46191,77.33596,HIGH,WATER,2679.0,2575.14
88,MOBILE_VET_UNIT,HILL_RANGE,NORTH_RIDGE,MOBILE_VET_UNIT_0088,15.15151,77.41607,MEDIUM,WATER,7947.0,7371.81
89,FIELD_DEPOT,RIVER_CORRIDOR,SOUTH_RIDGE,FIELD_DEPOT_0089,14.83331,77.17013,MEDIUM,VACCINE,1517.0,971.26
90,FIELD_DEPOT,HIGHWAY_CORRIDOR,HIGHWAY_NORTH,FIELD_DEPOT_0090,14.58806,76.7524,HIGH,MEDICAL_KIT,168.0,138.59
91,WATER_RESERVOIR,HILL_RANGE,HIGHWAY_SOUTH,WATER_RESERVOIR_0091,15.01844,77.12263,HIGH,VACCINE,4283.0,4057.34
92,CLINIC,HIGHWAY_CORRIDOR,LAKE_SECTOR,CLINIC_0092,14.93812,77.19825,LOW,WATER,5978.0,1937.3
93,CLINIC,BUFFER_VILLAGE,RIVER_EAST,CLINIC_0093,14.90799,76.7247,HIGH,MEDICAL_KIT,911.0,738.81
94,WATER_RESERVOIR,BUFFER_VILLAGE,HIGHWAY_SOUTH,WATER_RESERVOIR_0094,15.20541,76.91549,MEDIUM,MEDICAL_KIT,544.0,482.46
95,CLINIC,RIVER_CORRIDOR,LAKE_SECTOR,CLINIC_0095,15.42187,77.00824,MEDIUM,WATER,6473.0,4701.85
96,MOBILE_VET_UNIT,RIVER_CORRIDOR,RIVER_WEST,MOBILE_VET_UNIT_0096,14.50257,77.22605,MEDIUM,MEDICAL_KIT,907.0,663.01
97,FIELD_DEPOT,BUFFER_VILLAGE,HIGHWAY_SOUTH,FIELD_DEPOT_0097,14.83244,77.26287,MEDIUM,MEDICAL_KIT,436.0,268.92
98,MOBILE_VET_UNIT,BUFFER_VILLAGE,WEST_VALLEY,MOBILE_VET_UNIT_0098,15.35601,76.91078,MEDIUM,MEDICAL_KIT,375.0,358.86
99,FIELD_DEPOT,RIVER_CORRIDOR,EAST_VALLEY,FIELD_DEPOT_0099,14.62625,77.46535,LOW,VACCINE,2919.0,2417.65
100,FIELD_DEPOT,CORE_FOREST,LAKE_SECTOR,FIELD_DEPOT_0100,14.64416,77.37093,HIGH,VACCINE,1464.0,1464.0
101,MOBILE_VET_UNIT,HIGHWAY_CORRIDOR,GRASSLAND_BELT,MOBILE_VET_UNIT_0101,14.58032,76.82857,MEDIUM,MEDICAL_KIT,740.0,610.05
102,FIELD_DEPOT,HIGHWAY_CORRIDOR,HIGHWAY_SOUTH,FIELD_DEPOT_0102,14.56842,77.13116,HIGH,MEDICAL_KIT,993.0,730.76
103,WATER_RESERVOIR,RIVER_CORRIDOR,SOUTH_RIDGE,WATER_RESERVOIR_0103,14.60051,76.66636,MEDIUM,MEDICAL_KIT,356.0,274.69
104,WATER_RESERVOIR,HIGHWAY_CORRIDOR,NORTH_RIDGE,WATER_RESERVOIR_0104,14.93069,76.7442,MEDIUM,VACCINE,3575.0,2417.79
105,CLINIC,BUFFER_VILLAGE,EAST_VALLEY,CLINIC_0105,14.88254,77.18313,MEDIUM,WATER,18307.0,15157.61
106,CLINIC,BUFFER_VILLAGE,HIGHWAY_SOUTH,CLINIC_0106,14.75533,76.5094,MEDIUM,MEDICAL_KIT,873.0,615.44
107,MOBILE_VET_UNIT,HILL_RANGE,EAST_VALLEY,MOBILE_VET_UNIT_0107,14.84557,77.08757,MEDIUM,WATER,15903.0,12188.95
108,FIELD_DEPOT,HIGHWAY_CORRIDOR,WEST_VALLEY,FIELD_DEPOT_0108,14.60665,76.88136,LOW,VACCINE,3140.0,2347.48
109,MOBILE_VET_UNIT,CORE_FOREST,HIGHWAY_NORTH,MOBILE_VET_UNIT_0109,15.36507,77.27831,HIGH,VACCINE,601.0,478.33
110,MOBILE_VET_UNIT,BUFFER_VILLAGE,GRASSLAND_BELT,MOBILE_VET_UNIT_0110,14.69013,76.75063,HIGH,VACCINE,1320.0,1297.26
111,WATER_RESERVOIR,HIGHWAY_CORRIDOR,HIGHWAY_SOUTH,WATER_RESERVOIR_0111,15.23236,76.59013,MEDIUM,WATER,11670.0,7162.43
112,FIELD_DEPOT,BUFFER_VILLAGE,WEST_VALLEY,FIELD_DEPOT_0112,15.37646,76.86586,LOW,WATER,18442.0,15899.68
113,CLINIC,HIGHWAY_CORRIDOR,HIGHWAY_SOUTH,CLINIC_0113,14.83872,76.61517,MEDIUM,VACCINE,816.0,597.17
114,CLINIC,RIVER_CORRIDOR,LAKE_SECTOR,CLINIC_0114,14.89457,76.76446,HIGH,VACCINE,1212.0,1212.0
115,MOBILE_VET_UNIT,HILL_RANGE,HIGHWAY_NORTH,MOBILE_VET_UNIT_0115,14.60835,76.73382,LOW,MEDICAL_KIT,75.0,51.94
116,MOBILE_VET_UNIT,HILL_RANGE,WEST_VALLEY,MOBILE_VET_UNIT_0116,15.32386,77.40939,HIGH,MEDICAL_KIT,359.0,221.64
117,WATER_RESERVOIR,CORE_FOREST,RIVER_EAST,WATER_RESERVOIR_0117,14.7348,77.03755,HIGH,VACCINE,3383.0,2919.53
118,FIELD_DEPOT,HILL_RANGE,EAST_VALLEY,FIELD_DEPOT_0118,15.33369,77.11565,MEDIUM,VACCINE,2491.0,1042.78
119,MOBILE_VET_UNIT,BUFFER_VILLAGE,HIGHWAY_SOUTH,MOBILE_VET_UNIT_0119,15.35545,76.59935,LOW,VACCINE,3209.0,2095.2
120,MOBILE_VET_UNIT,CORE_FOREST,HIGHWAY_NORTH,MOBILE_VET_UNIT_0120,14.62216,77.34803,HIGH,VACCINE,3925.0,2845.68
121,WATER_RESERVOIR,CORE_FOREST,RIVER_WEST,WATER_RESERVOIR_0121,15.28698,76.70521,LOW,WATER,8788.0,8567.6
122,CLINIC,HIGHWAY_CORRIDOR,EAST_VALLEY,CLINIC_0122,15.35841,76.64469,HIGH,MEDICAL_KIT,183.0,154.45
123,WATER_RESERVOIR,CORE_FOREST,EAST_VALLEY,WATER_RESERVOIR_0123,15.28843,77.08885,MEDIUM,WATER,2517.0,1448.58
124,WATER_RESERVOIR,BUFFER_VILLAGE,HIGHWAY_NORTH,WATER_RESERVOIR_0124,14.56356,76.94828,HIGH,MEDICAL_KIT,420.0,350.21
125,CLINIC,HILL_RANGE,NORTH_RIDGE,CLINIC_0125,15.36698,77.02145,LOW,MEDICAL_KIT,519.0,418.94
126,WATER_RESERVOIR,CORE_FOREST,HIGHWAY_SOUTH,WATER_RESERVOIR_0126,14.60796,77.2124,MEDIUM,VACCINE,3833.0,1981.83
127,WATER_RESERVOIR,HIGHWAY_CORRIDOR,GRASSLAND_BELT,WATER_RESERVOIR_0127,14.77502,77.13308,HIGH,WATER,19968.0,15023.16
128,MOBILE_VET_UNIT,RIVER_CORRIDOR,LAKE_SECTOR,MOBILE_VET_UNIT_0128,15.2931,76.61441,MEDIUM,MEDICAL_KIT,720.0,516.04
129,CLINIC,RIVER_CORRIDOR,HIGHWAY_SOUTH,CLINIC_0129,15.32742,76.89873,MEDIUM,WATER,5115.0,3228.65
130,MOBILE_VET_UNIT,HIGHWAY_CORRIDOR,RIVER_WEST,MOBILE_VET_UNIT_0130,14.97427,76.59122,MEDIUM,WATER,4797.0,2497.15
131,WATER_RESERVOIR,HIGHWAY_CORRIDOR,EAST_VALLEY,WATER_RESERVOIR_0131,15.45662,77.06168,HIGH,MEDICAL_KIT,736.0,608.64
132,FIELD_DEPOT,CORE_FOREST,RIVER_EAST,FIELD_DEPOT_0132,14.6036,77.00741,MEDIUM,MEDICAL_KIT,208.0,208.0
133,CLINIC,CORE_FOREST,RIVER_WEST,CLINIC_0133,15.26261,77.0741,MEDIUM,MEDICAL_KIT,876.0,580.77
134,WATER_RESERVOIR,HILL_RANGE,RIVER_EAST,WATER_RESERVOIR_0134,15.2027,76.80898,HIGH,WATER,13135.0,9493.61
135,CLINIC,HILL_RANGE,HIGHWAY_NORTH,CLINIC_0135,15.13317,76.53066,HIGH,WATER,19382.0,14884.08
136,MOBILE_VET_UNIT,BUFFER_VILLAGE,RIVER_WEST,MOBILE_VET_UNIT_0136,15.27684,77.06759,MEDIUM,VACCINE,895.0,895.0
137,CLINIC,BUFFER_VILLAGE,GRASSLAND_BELT,CLINIC_0137,14.7721,77.16194,MEDIUM,WATER,17914.0,12668.27
138,FIELD_DEPOT,HIGHWAY_CORRIDOR,WEST_VALLEY,FIELD_DEPOT_0138,14.92991,76.78325,HIGH,MEDICAL_KIT,744.0,673.91
139,MOBILE_VET_UNIT,CORE_FOREST,WEST_VALLEY,MOBILE_VET_UNIT_0139,14.55478,76.70442,LOW,VACCINE,1930.0,1649.75
140,MOBILE_VET_UNIT,HIGHWAY_CORRIDOR,RIVER_WEST,MOBILE_VET_UNIT_0140,15.24701,76.67569,HIGH,WATER,14458.0,10165.2
141,MOBILE_VET_UNIT,CORE_FOREST,HIGHWAY_NORTH,MOBILE_VET_UNIT_0141,14.51874,77.42116,HIGH,MEDICAL_KIT,932.0,707.72
142,FIELD_DEPOT,RIVER_CORRIDOR,RIVER_EAST,FIELD_DEPOT_0142,15.4662,76.67187,MEDIUM,WATER,17076.0,13153.15
143,MOBILE_VET_UNIT,CORE_FOREST,HIGHWAY_NORTH,MOBILE_VET_UNIT_0143,15.08887,77.02396,HIGH,WATER,14968.0,13172.43
144,CLINIC,HIGHWAY_CORRIDOR,EAST_VALLEY,CLINIC_0144,14.61403,77.00995,MEDIUM,WATER,13448.0,8604.44
145,CLINIC,BUFFER_VILLAGE,SOUTH_RIDGE,CLINIC_0145,14.6735,76.65287,MEDIUM,WATER,4469.0,2638.64
146,FIELD_DEPOT,RIVER_CORRIDOR,GRASSLAND_BELT,FIELD_DEPOT_0146,15.42415,77.06449,MEDIUM,MEDICAL_KIT,700.0,700.0
147,MOBILE_VET_UNIT,HIGHWAY_CORRIDOR,EAST_VALLEY,MOBILE_VET_UNIT_0147,14.94221,76.80282,HIGH,VACCINE,2450.0,2023.86
148,WATER_RESERVOIR,HIGHWAY_CORRIDOR,HIGHWAY_SOUTH,WATER_RESERVOIR_0148,14.86874,76.78708,HIGH,VACCINE,939.0,939.0
149,FIELD_DEPOT,HILL_RANGE,LAKE_SECTOR,FIELD_DEPOT_0149,14.94973,77.30982,LOW,MEDICAL_KIT,717.0,348.21
150,FIELD_DEPOT,HILL_RANGE,EAST_VALLEY,FIELD_DEPOT_0150,15.31097,77.33738,MEDIUM,WATER,4763.0,3106.78
151,CLINIC,CORE_FOREST,WEST_VALLEY,CLINIC_0151,14.93942,77.02275,MEDIUM,MEDICAL_KIT,212.0,118.57
152,MOBILE_VET_UNIT,RIVER_CORRIDOR,HIGHWAY_NORTH,MOBILE_VET_UNIT_0152,14.55237,77.13089,MEDIUM,VACCINE,2941.0,1452.75
153,WATER_RESERVOIR,HILL_RANGE,HIGHWAY_NORTH,WATER_RESERVOIR_0153,15.35157,77.46441,MEDIUM,VACCINE,1431.0,855.11
154,CLINIC,HIGHWAY_CORRIDOR,RIVER_EAST,CLINIC_0154,14.89196,77.09504,MEDIUM,MEDICAL_KIT,136.0,110.44
155,FIELD_DEPOT,HIGHWAY_CORRIDOR,EAST_VALLEY,FIELD_DEPOT_0155,15.44711,77.49716,MEDIUM,MEDICAL_KIT,984.0,673.6
156,FIELD_DEPOT,HILL_RANGE,RIVER_WEST,FIELD_DEPOT_0156,14.68026,76.71419,MEDIUM,WATER,17934.0,8895.31
157,CLINIC,BUFFER_VILLAGE,SOUTH_RIDGE,CLINIC_0157,14.60114,77.27087,LOW,VACCINE,4513.0,1952.32
158,MOBILE_VET_UNIT,HILL_RANGE,EAST_VALLEY,MOBILE_VET_UNIT_0158,14.66225,77.33135,MEDIUM,MEDICAL_KIT,839.0,694.32
159,CLINIC,RIVER_CORRIDOR,NORTH_RIDGE,CLINIC_0159,15.21959,77.46959,MEDIUM,VACCINE,2534.0,2240.85
160,FIELD_DEPOT,BUFFER_VILLAGE,LAKE_SECTOR,FIELD_DEPOT_0160,15.30862,76.96902,MEDIUM,WATER,8357.0,5617.03
161,FIELD_DEPOT,RIVER_CORRIDOR,RIVER_EAST,FIELD_DEPOT_0161,14.91866,76.66206,MEDIUM,VACCINE,1835.0,1716.06
162,CLINIC,HIGHWAY_CORRIDOR,NORTH_RIDGE,CLINIC_0162,14.87121,77.43429,MEDIUM,MEDICAL_KIT,778.0,689.39
163,WATER_RESERVOIR,HIGHWAY_CORRIDOR,SOUTH_RIDGE,WATER_RESERVOIR_0163,15.40531,76.64735,MEDIUM,WATER,16335.0,6626.86
164,CLINIC,RIVER_CORRIDOR,RIVER_WEST,CLINIC_0164,14.89645,76.87396,MEDIUM,WATER,14653.0,13795.98
165,MOBILE_VET_UNIT,BUFFER_VILLAGE,NORTH_RIDGE,MOBILE_VET_UNIT_0165,15.33918,77.14996,LOW,VACCINE,1396.0,825.68
166,MOBILE_VET_UNIT,RIVER_CORRIDOR,EAST_VALLEY,MOBILE_VET_UNIT_0166,15.11535,77.40586,MEDIUM,MEDICAL_KIT,69.0,15.12
167,CLINIC,HILL_RANGE,GRASSLAND_BELT,CLINIC_0167,15.27617,76.73764,MEDIUM,MEDICAL_KIT,174.0,71.26
168,FIELD_DEPOT,HILL_RANGE,HIGHWAY_SOUTH,FIELD_DEPOT_0168,15.40515,77.09674,HIGH,WATER,2538.0,2453.98
