versionId,scheme,circle,division,range,financialYear,budgetHead,sanctionedAmountRs,spentAmountRs,lastUpdateRole,lastUpdateDate,utilisationRemark
68,GreenIndiaMission,Circle-East,Div-E,Range-3,2022,Plantation,14634000.00,9778950.87,APCCF-Finance,2022-10-17,Normal
69,WildlifeProtection,Circle-North,Div-A,Range-5,2019,Protection,4751000.00,4250722.19,CF,2019-09-07,Normal
70,WildlifeProtection,Circle-West,Div-A,Range-5,2025,Works,4744000.00,4076555.02,AccountsOfficer,2025-12-19,Normal
71,GreenIndiaMission,Circle-North,Div-F,Range-8,2021,Community,11619000.00,9809207.84,DFO,2021-12-10,Normal
72,GreenIndiaMission,Circle-East,Div-E,Range-6,2024,Works,18294000.00,5745091.16,RangeOfficer,2024-07-12,UnderUtilised
73,TeakImprovement,Circle-North,Div-B,Range-4,2020,Plantation,6897000.00,6070271.25,AccountsOfficer,2020-08-06,Normal
74,GreenIndiaMission,Circle-East,Div-E,Range-7,2021,Plantation,20179000.00,19659295.85,CF,2022-03-21,Normal
75,WildlifeProtection,Circle-West,Div-B,Range-6,2023,Equipment,4185000.00,3387467.22,DFO,2023-04-30,Normal
76,TeakImprovement,Circle-East,Div-C,Range-9,2024,Works,14072000.00,4514852.49,RangeOfficer,2024-08-18,UnderUtilised
77,WildlifeProtection,Circle-South,Div-E,Range-4,2019,Salary,6020000.00,5523555.97,CF,2019-12-12,Normal
78,GreenIndiaMission,Circle-South,Div-B,Range-7,2024,Equipment,15429000.00,13538712.70,RangeOfficer,2024-10-15,Normal
79,CAMPA,Circle-South,Div-F,Range-1,2019,Works,16491000.00,14388483.09,DFO,2019-05-09,Normal
80,GreenIndiaMission,Circle-East,Div-A,Range-3,2022,Equipment,10216000.00,8519596.20,AccountsOfficer,2022-10-18,Normal
81,GreenIndiaMission,Circle-North,Div-C,Range-6,2018,Equipment,9820000.00,8778018.44,APCCF-Finance,2018-11-24,Normal
82,GreenIndiaMission,Circle-East,Div-F,Range-5,2023,Works,14831000.00,11695157.09,APCCF-Finance,2023-07-14,Normal
83,GreenIndiaMission,Circle-South,Div-A,Range-5,2020,Salary,10572000.00,3514263.67,APCCF-Finance,2021-03-21,UnderUtilised
84,TeakImprovement,Circle-North,Div-A,Range-1,2020,Plantation,14424000.00,10322287.54,CF,2020-09-13,Normal
85,EcoTourism,Circle-South,Div-E,Range-4,2019,Works,6171000.00,3278529.34,APCCF-Finance,2019-09-15,UnderUtilised
86,TeakImprovement,Circle-West,Div-D,Range-5,2018,Works,9206000.00,4333801.59,AccountsOfficer,2018-07-06,UnderUtilised
87,CAMPA,Circle-West,Div-D,Range-3,2020,Equipment,14461000.00,14985543.97,AccountsOfficer,2020-12-06,OverUtilised
88,CAMPA,Circle-West,Div-B,Range-9,2019,Community,13148000.00,11069652.34,DFO,2019-09-06,Normal
89,EcoTourism,Circle-South,Div-F,Range-1,2019,Protection,1699000.00,1028916.32,RangeOfficer,2019-10-21,Normal
90,FireManagement,Circle-West,Div-F,Range-5,2020,Community,2682000.00,2340713.60,CF,2020-09-02,Normal
91,CAMPA,Circle-South,Div-B,Range-7,2023,Community,7678000.00,4332991.66,RangeOfficer,2023-05-30,UnderUtilised
92,WildlifeProtection,Circle-North,Div-A,Range-4,2021,Protection,4847000.00,2512899.37,CF,2022-03-03,UnderUtilised
93,EcoTourism,Circle-West,Div-C,Range-4,2023,Plantation,5624000.00,4831492.30,RangeOfficer,2023-11-02,Normal
94,TeakImprovement,Circle-East,Div-B,Range-3,2020,Salary,8316000.00,3652005.87,AccountsOfficer,2020-11-03,UnderUtilised
95,EcoTourism,Circle-East,Div-B,Range-9,2022,Salary,2949000.00,2307567.77,DFO,2022-08-29,Normal
96,EcoTourism,Circle-North,Div-B,Range-9,2020,Equipment,1656000.00,1452577.57,RangeOfficer,2021-02-21,Normal
97,TeakImprovement,Circle-West,Div-F,Range-7,2024,Plantation,15022000.00,6536385.53,CF,2024-04-08,UnderUtilised
98,GreenIndiaMission,Circle-East,Div-D,Range-7,2021,Equipment,12494000.00,6191386.99,AccountsOfficer,2021-12-08,UnderUtilised
99,WildlifeProtection,Circle-South,Div-A,Range-6,2022,Plantation,14724000.00,10265722.76,RangeOfficer,2022-04-30,Normal
100,WildlifeProtection,Circle-South,Div-B,Range-3,2019,Plantation,11644000.00,11412276.04,CF,2020-01-23,Normal
101,TeakImprovement,Circle-East,Div-E,Range-9,2019,Salary,8390000.00,7852867.67,AccountsOfficer,2020-01-16,Normal
102,EcoTourism,Circle-South,Div-B,Range-7,2024,Plantation,4857000.00,1609716.87,CF,2024-06-14,UnderUtilised
103,TeakImprovement,Circle-West,Div-F,Range-8,2020,Protection,10002000.00,5875437.48,DFO,2021-03-11,UnderUtilised
104,GreenIndiaMission,Circle-South,Div-F,Range-9,2020,Salary,4416000.00,2440063.57,DFO,2020-10-13,UnderUtilised
105,GreenIndiaMission,Circle-East,Div-E,Range-7,2025,Plantation,9813000.00,8297081.63,AccountsOfficer,2025-04-28,Normal
106,EcoTourism,Circle-East,Div-B,Range-6,2025,Salary,1769000.00,665256.90,AccountsOfficer,2025-10-28,UnderUtilised
107,GreenIndiaMission,Circle-West,Div-D,Range-5,2018,Protection,7135000.00,7004742.21,RangeOfficer,2018-08-14,Normal
108,TeakImprovement,Circle-West,Div-C,Range-5,2024,Works,14756000.00,14651424.01,AccountsOfficer,2024-10-12,Normal
109,WildlifeProtection,Circle-South,Div-C,Range-6,2022,Plantation,11938000.00,3815466.61,DFO,2022-08-19,UnderUtilised
110,CAMPA,Circle-North,Div-D,Range-8,2023,Protection,9555000.00,4496665.67,APCCF-Finance,2023-05-09,UnderUtilised
111,TeakImprovement,Circle-South,Div-E,Range-2,2021,Plantation,15170000.00,10579533.79,RangeOfficer,2021-10-22,Normal
112,FireManagement,Circle-North,Div-E,Range-3,2019,Community,3021000.00,3101196.15,AccountsOfficer,2019-07-07,OverUtilised
113,FireManagement,Circle-South,Div-B,Range-5,2021,Salary,1924000.00,1630845.62,DFO,2021-09-18,Normal
114,EcoTourism,Circle-West,Div-E,Range-4,2019,Protection,2250000.00,832126.72,RangeOfficer,2019-08-16,UnderUtilised
115,CAMPA,Circle-South,Div-D,Range-7,2024,Plantation,11322000.00,11739785.90,APCCF-Finance,2024-04-13,OverUtilised
116,CAMPA,Circle-South,Div-A,Range-8,2024,Plantation,29138000.00,18879628.23,DFO,2025-01-23,Normal
117,WildlifeProtection,Circle-North,Div-C,Range-6,2022,Works,10535000.00,4202933.76,RangeOfficer,2022-06-26,UnderUtilised
118,EcoTourism,Circle-North,Div-C,Range-9,2020,Protection,3216000.00,1507843.96,DFO,2020-05-13,UnderUtilised
119,WildlifeProtection,Circle-West,Div-F,Range-2,2023,Protection,5612000.00,4983178.07,APCCF-Finance,2023-05-07,Normal
120,FireManagement,Circle-East,Div-B,Range-9,2023,Works,2883000.00,2589919.71,AccountsOfficer,2024-01-23,Normal
121,TeakImprovement,Circle-North,Div-E,Range-1,2025,Plantation,19352000.00,6847068.30,CF,2025-08-12,UnderUtilised
122,CAMPA,Circle-South,Div-F,Range-10,2021,Protection,16379000.00,12712183.06,CF,2021-07-13,Normal
123,WildlifeProtection,Circle-West,Div-C,Range-1,2020,Works,9917000.00,5077878.76,APCCF-Finance,2020-08-31,UnderUtilised
124,WildlifeProtection,Circle-West,Div-C,Range-4,2020,Plantation,13833000.00,4491068.39,APCCF-Finance,2020-08-04,UnderUtilised
125,EcoTourism,Circle-East,Div-F,Range-9,2024,Works,4950000.00,2652924.65,CF,2025-01-08,UnderUtilised
126,CAMPA,Circle-North,Div-E,Range-1,2025,Works,17166000.00,10605007.96,RangeOfficer,2025-06-19,Normal
127,EcoTourism,Circle-West,Div-D,Range-4,2020,Community,3459000.00,2380012.04,DFO,2020-09-22,Normal
128,FireManagement,Circle-North,Div-E,Range-9,2024,Plantation,5144000.00,5155685.71,APCCF-Finance,2024-04-10,OverUtilised
129,WildlifeProtection,Circle-South,Div-C,Range-8,2020,Salary,3580000.00,2314409.91,APCCF-Finance,2020-11-13,Normal
130,TeakImprovement,Circle-West,Div-C,Range-8,2021,Equipment,8744000.00,9017309.45,CF,2022-02-08,OverUtilised
131,FireManagement,Circle-North,Div-D,Range-3,2019,Plantation,9305000.00,8426261.40,RangeOfficer,2019-08-28,Normal
132,EcoTourism,Circle-West,Div-D,Range-6,2019,Works,3795000.00,2764020.50,CF,2019-12-23,Normal
133,CAMPA,Circle-East,Div-C,Range-5,2023,Community,11457000.00,4927649.09,DFO,2023-10-16,UnderUtilised
134,WildlifeProtection,Circle-West,Div-A,Range-3,2019,Salary,3054000.00,2508257.25,AccountsOfficer,2019-05-07,Normal
135,EcoTourism,Circle-West,Div-B,Range-10,2021,Salary,2037000.00,1479849.14,AccountsOfficer,2021-10-26,Normal
136,EcoTourism,Circle-North,Div-B,Range-8,2024,Community,1759000.00,1557499.66,DFO,2024-04-30,Normal
137,EcoTourism,Circle-East,Div-B,Range-4,2022,Community,3571000.00,3106128.50,RangeOfficer,2022-05-20,Normal
138,WildlifeProtection,Circle-South,Div-D,Range-6,2024,Salary,5257000.00,2600959.90,RangeOfficer,2025-01-02,UnderUtilised
139,FireManagement,Circle-West,Div-C,Range-1,2024,Works,8522000.00,3382765.90,AccountsOfficer,2025-02-21,UnderUtilised
140,GreenIndiaMission,Circle-West,Div-A,Range-5,2023,Protection,11640000.00,8133597.05,DFO,2024-02-02,Normal
141,CAMPA,Circle-East,Div-B,Range-8,2022,Protection,15852000.00,14907527.54,APCCF-Finance,2022-04-05,Normal
142,TeakImprovement,Circle-East,Div-E,Range-7,2018,Equipment,10313000.00,4195960.89,APCCF-Finance,2018-09-25,UnderUtilised
143,CAMPA,Circle-West,Div-D,Range-2,2020,Plantation,11290000.00,4596655.07,CF,2020-06-06,UnderUtilised
144,FireManagement,Circle-West,Div-E,Range-2,2022,Protection,4088000.00,1716651.58,DFO,2022-10-02,UnderUtilised
145,CAMPA,Circle-West,Div-A,Range-5,2023,Equipment,10063000.00,9464918.97,DFO,2023-07-19,Normal
146,WildlifeProtection,Circle-South,Div-E,Range-9,2025,Plantation,6854000.00,3516324.04,APCCF-Finance,2025-07-02,UnderUtilised
147,FireManagement,Circle-South,Div-D,Range-10,2024,Salary,3324000.00,1686911.93,RangeOfficer,2024-08-16,UnderUtilised
148,TeakImprovement,Circle-West,Div-E,Range-7,2025,Equipment,5692000.00,4392889.07,CF,2025-05-15,Normal
149,FireManagement,Circle-West,Div-C,Range-8,2019,Community,4887000.00,4416637.58,APCCF-Finance,2020-02-12,Normal
150,CAMPA,Circle-East,Div-B,Range-4,2019,Salary,6323000.00,4935858.20,RangeOfficer,2019-09-20,Normal
151,CAMPA,Circle-West,Div-A,Range-9,2023,Community,10194000.00,6940790.57,DFO,2023-07-20,Normal
152,WildlifeProtection,Circle-West,Div-A,Range-6,2025,Works,8094000.00,8456876.47,CF,2025-12-20,OverUtilised
153,EcoTourism,Circle-West,Div-B,Range-8,2020,Plantation,3549000.00,3470163.86,CF,2020-06-11,Normal
154,TeakImprovement,Circle-East,Div-C,Range-3,2024,Community,6649000.00,2142354.76,RangeOfficer,2024-06-02,UnderUtilised
155,TeakImprovement,Circle-West,Div-E,Range-2,2025,Salary,4948000.00,2817031.00,CF,2025-12-13,UnderUtilised
156,EcoTourism,Circle-West,Div-B,Range-2,2023,Salary,2333000.00,1371400.86,DFO,2023-12-28,UnderUtilised
157,TeakImprovement,Circle-North,Div-F,Range-3,2022,Equipment,6650000.00,3647406.88,RangeOfficer,2022-06-14,UnderUtilised
158,GreenIndiaMission,Circle-South,Div-E,Range-5,2023,Equipment,9618000.00,6655392.62,APCCF-Finance,2023-04-15,Normal
159,EcoTourism,Circle-West,Div-D,Range-6,2019,Community,2588000.00,989572.06,APCCF-Finance,2019-09-13,UnderUtilised
160,CAMPA,Circle-West,Div-D,Range-5,2024,Works,10017000.00,4788639.69,DFO,2024-06-04,UnderUtilised
161,CAMPA,Circle-North,Div-D,Range-8,2022,Protection,15065000.00,9091529.10,AccountsOfficer,2023-03-09,Normal
162,TeakImprovement,Circle-South,Div-E,Range-2,2021,Community,9642000.00,8985041.94,RangeOfficer,2021-08-06,Normal
163,FireManagement,Circle-East,Div-B,Range-4,2019,Salary,3493000.00,2151649.62,AccountsOfficer,2019-10-18,Normal
164,CAMPA,Circle-South,Div-C,Range-9,2024,Works,11323000.00,3987352.27,AccountsOfficer,2025-02-14,UnderUtilised
165,TeakImprovement,Circle-North,Div-E,Range-3,2019,Salary,8477000.00,8689397.42,AccountsOfficer,2019-05-17,OverUtilised
166,CAMPA,Circle-West,Div-A,Range-8,2018,Plantation,25257000.00,22349718.44,DFO,2018-07-25,Normal
167,EcoTourism,Circle-South,Div-A,Range-9,2022,Plantation,5842000.00,4060749.11,CF,2022-08-01,Normal
168,CAMPA,Circle-North,Div-E,Range-7,2022,Protection,16118000.00,12175479.74,AccountsOfficer,2023-01-12,Normal
169,TeakImprovement,Circle-East,Div-F,Range-6,2022,Community,6540000.00,5064134.06,RangeOfficer,2023-01-09,Normal
170,FireManagement,Circle-North,Div-B,Range-4,2023,Community,1967000.00,1084509.70,CF,2023-10-25,UnderUtilised
171,WildlifeProtection,Circle-North,Div-A,Range-9,2024,Works,9813000.00,6583477.11,APCCF-Finance,2025-02-11,Normal
172,EcoTourism,Circle-North,Div-B,Range-2,2020,Protection,1505000.00,1460238.24,CF,2020-05-13,Normal
173,GreenIndiaMission,Circle-West,Div-C,Range-10,2024,Community,11116000.00,6792265.17,AccountsOfficer,2024-04-30,Normal
174,CAMPA,Circle-East,Div-E,Range-5,2019,Protection,15294000.00,8532867.71,APCCF-Finance,2019-05-24,UnderUtilised
175,TeakImprovement,Circle-North,Div-B,Range-1,2018,Works,11028000.00,11543072.27,DFO,2018-05-30,OverUtilised
176,WildlifeProtection,Circle-East,Div-F,Range-6,2019,Works,8354000.00,8629456.59,CF,2020-01-10,OverUtilised
177,CAMPA,Circle-East,Div-D,Range-3,2023,Salary,10742000.00,7015569.61,DFO,2024-02-29,Normal
178,FireManagement,Circle-North,Div-B,Range-9,2019,Plantation,3856000.00,1321064.28,CF,2019-05-23,UnderUtilised
179,GreenIndiaMission,Circle-West,Div-B,Range-4,2024,Community,10867000.00,7861482.21,CF,2024-09-15,Normal
180,EcoTourism,Circle-West,Div-C,Range-1,2018,Salary,2166000.00,670386.54,AccountsOfficer,2018-08-28,UnderUtilised
181,FireManagement,Circle-South,Div-D,Range-10,2020,Salary,2722000.00,2299643.72,AccountsOfficer,2020-07-04,Normal
182,WildlifeProtection,Circle-West,Div-C,Range-2,2020,Equipment,7285000.00,4738991.19,RangeOfficer,2020-10-30,Normal
183,GreenIndiaMission,Circle-North,Div-A,Range-2,2021,Plantation,9899000.00,7520572.32,CF,2021-05-01,Normal
184,GreenIndiaMission,Circle-East,Div-D,Range-2,2019,Works,9132000.00,9282277.57,CF,2019-07-02,OverUtilised
185,GreenIndiaMission,Circle-East,Div-A,Range-10,2019,Works,16370000.00,14908515.05,DFO,2020-02-05,Normal
186,TeakImprovement,Circle-North,Div-F,Range-2,2023,Community,7424000.00,5995464.44,DFO,2023-11-04,Normal
187,FireManagement,Circle-East,Div-A,Range-4,2022,Community,1784000.00,1520679.69,CF,2022-05-27,Normal
188,TeakImprovement,Circle-South,Div-C,Range-7,2021,Protection,10940000.00,6240942.09,CF,2021-10-20,UnderUtilised
189,FireManagement,Circle-East,Div-D,Range-6,2020,Community,3044000.00,2831377.64,APCCF-Finance,2021-02-01,Normal
190,CAMPA,Circle-East,Div-C,Range-8,2024,Community,9591000.00,3809765.67,RangeOfficer,2025-01-31,UnderUtilised
191,TeakImprovement,Circle-North,Div-C,Range-4,2019,Protection,10671000.00,8409943.99,CF,2020-03-09,Normal
192,TeakImprovement,Circle-South,Div-D,Range-2,2019,Salary,8332000.00,7919296.86,AccountsOfficer,2019-06-22,Normal
193,TeakImprovement,Circle-South,Div-D,Range-7,2021,Plantation,12050000.00,11563098.53,CF,2022-01-09,Normal
194,GreenIndiaMission,Circle-North,Div-F,Range-6,2024,Plantation,13014000.00,9872399.85,APCCF-Finance,2025-03-19,Normal
195,TeakImprovement,Circle-West,Div-A,Range-2,2023,Works,10865000.00,7834113.96,DFO,2024-02-18,Normal
196,CAMPA,Circle-South,Div-E,Range-5,2020,Protection,11069000.00,10385644.16,RangeOfficer,2020-08-16,Normal
197,CAMPA,Circle-East,Div-B,Range-7,2018,Works,20034000.00,18484391.25,RangeOfficer,2018-08-29,Normal
198,WildlifeProtection,Circle-North,Div-D,Range-8,2018,Community,3364000.00,1133397.63,AccountsOfficer,2019-01-14,UnderUtilised
199,EcoTourism,Circle-North,Div-D,Range-3,2023,Protection,2204000.00,1835058.50,RangeOfficer,2024-01-07,Normal
200,TeakImprovement,Circle-South,Div-B,Range-2,2025,Equipment,11552000.00,7341460.55,AccountsOfficer,2026-01-26,Normal
201,EcoTourism,Circle-East,Div-A,Range-2,2020,Salary,1681000.00,929268.77,RangeOfficer,2020-10-04,UnderUtilised
202,FireManagement,Circle-East,Div-C,Range-3,2024,Equipment,5191000.00,2105050.65,APCCF-Finance,2024-05-15,UnderUtilised
203,EcoTourism,Circle-West,Div-E,Range-3,2020,Plantation,5398000.00,2392855.50,RangeOfficer,2020-05-21,UnderUtilised
204,FireManagement,Circle-East,Div-C,Range-1,2023,Plantation,6092000.00,4507123.13,APCCF-Finance,2023-06-12,Normal
205,WildlifeProtection,Circle-East,Div-D,Range-2,2020,Community,5235000.00,2129957.83,APCCF-Finance,2020-07-04,UnderUtilised
206,CAMPA,Circle-North,Div-D,Range-5,2021,Equipment,7411000.00,6472919.12,AccountsOfficer,2021-12-26,Normal
207,TeakImprovement,Circle-East,Div-B,Range-9,2021,Salary,3281000.00,1904413.42,APCCF-Finance,2022-02-19,UnderUtilised
208,FireManagement,Circle-West,Div-B,Range-4,2020,Equipment,4754000.00,3188379.34,RangeOfficer,2020-07-16,Normal
209,GreenIndiaMission,Circle-West,Div-E,Range-7,2020,Plantation,17120000.00,9763203.46,RangeOfficer,2021-01-22,UnderUtilised
210,TeakImprovement,Circle-South,Div-F,Range-8,2022,Salary,4540000.00,3614136.11,DFO,2023-03-23,Normal
211,CAMPA,Circle-East,Div-E,Range-3,2025,Community,9210000.00,3629726.76,AccountsOfficer,2025-08-16,UnderUtilised
212,WildlifeProtection,Circle-South,Div-C,Range-6,2020,Works,8397000.00,4976986.06,DFO,2020-10-20,UnderUtilised
213,GreenIndiaMission,Circle-North,Div-D,Range-4,2025,Equipment,15140000.00,5681365.18,DFO,2025-08-20,UnderUtilised
214,EcoTourism,Circle-North,Div-F,Range-5,2019,Plantation,4300000.00,3750014.11,APCCF-Finance,2019-09-09,Normal
215,GreenIndiaMission,Circle-North,Div-A,Range-2,2022,Plantation,9641000.00,6354569.24,CF,2022-07-18,Normal
216,EcoTourism,Circle-North,Div-E,Range-1,2021,Works,3850000.00,3315319.43,APCCF-Finance,2021-08-18,Normal
