blockId,zone,blockType,siteQuality,agroZone,soilClass,slopeClass,areaHa,plantingYear,rotationAge,firstThinningYear,secondThinningYear,finalHarvestYear,treesPerHa,avgDBH_cm,avgHeight_m,stocking_m3_per_ha,heartwoodShare_pct,riskIndex,roadDistance_km,marketDistance_km,nextOperationType,nextOperationYear,priorityScore
25,Zone-5,Boundary,Excellent,Medium Rainfall,Laterite,Gentle,13.27,2020,27,2027,2034,2047,625,7.6,6.5,13.11,10.0,64.6,15.05,55.46,FirstThinning,2027,100.0
26,Zone-2,Farmer,Medium,Low Rainfall,Sandy,Gentle,24.61,2014,20,2024,2029,2034,625,23.8,19.7,230.77,20.8,52.0,3.04,56.57,SecondThinning,2029,96.4
27,Zone-1,Block,Medium,Low Rainfall,Laterite,Flat,14.38,1998,23,2006,2013,2021,1111,44.0,30.7,388.49,55.1,61.6,10.15,67.29,FinalHarvestOverdue,2025,100.0
28,Zone-5,Block,Medium,High Rainfall,Laterite,Steep,7.22,2002,25,2011,2018,2027,1111,37.5,23.3,126.17,41.8,48.6,5.51,28.98,FinalHarvest,2027,95.7
29,Zone-5,Estate,Medium,Low Rainfall,Loam,Steep,17.65,2017,21,2024,2032,2038,1111,12.6,10.8,48.04,11.6,65.0,7.85,62.73,SecondThinning,2032,95.6
30,Zone-1,Block,Excellent,Low Rainfall,Clay,Moderate,19.08,2008,33,2016,2023,2041,1600,20.7,17.9,141.39,32.9,60.1,15.98,59.31,FinalHarvest,2041,83.8
31,Zone-4,Farmer,Poor,Medium Rainfall,Sandy,Flat,16.43,1999,21,2007,2011,2020,816,32.6,22.5,241.03,50.3,62.8,7.64,61.4,FinalHarvestOverdue,2025,100.0
32,Zone-4,Boundary,Poor,Medium Rainfall,Sandy,Flat,25.0,2006,19,2013,2018,2025,625,25.5,21.6,275.4,35.0,40.6,3.13,14.47,FinalHarvestOverdue,2025,98.5
33,Zone-1,Farmer,Excellent,High Rainfall,Clay,Moderate,5.03,2014,26,2022,2028,2040,1111,23.8,21.4,51.24,22.8,67.2,7.57,75.61,SecondThinning,2028,100.0
34,Zone-2,Estate,Medium,Low Rainfall,Clay,Flat,20.11,2013,20,2022,2029,2033,1111,24.6,14.6,144.45,25.5,40.4,8.46,41.77,SecondThinning,2029,94.1
35,Zone-4,Boundary,Excellent,High Rainfall,Loam,Steep,5.23,2011,35,2020,2027,2046,625,26.1,18.3,49.96,27.8,53.1,14.65,25.13,SecondThinning,2027,95.6
36,Zone-2,Estate,Good,Medium Rainfall,Loam,Steep,14.68,2016,28,2025,2028,2044,1111,16.8,9.1,44.89,15.1,63.9,6.87,71.02,SecondThinning,2028,99.6
37,Zone-3,Estate,Medium,Low Rainfall,Loam,Steep,12.73,2019,21,2029,2034,2040,1111,16.3,8.6,35.69,10.0,60.8,6.19,48.62,FirstThinning,2029,97.8
38,Zone-4,Boundary,Excellent,High Rainfall,Clay,Moderate,17.87,2003,29,2012,2016,2032,625,27.4,22.3,218.38,40.2,56.1,15.27,18.89,FinalHarvest,2032,93.6
39,Zone-2,Block,Good,High Rainfall,Clay,Flat,20.98,2004,25,2013,2017,2029,1111,25.3,26.4,280.26,39.7,69.2,11.11,57.31,FinalHarvest,2029,100.0
40,Zone-2,Block,Poor,Low Rainfall,Clay,Steep,12.49,2005,19,2012,2019,2024,1111,19.1,14.5,69.18,39.9,57.3,13.76,16.38,FinalHarvestOverdue,2025,100.0
41,Zone-5,Boundary,Poor,Low Rainfall,Sandy,Steep,15.55,2020,22,2028,2036,2042,625,6.9,7.6,16.31,10.0,57.7,8.63,47.65,FirstThinning,2028,97.7
42,Zone-1,Estate,Medium,High Rainfall,Loam,Moderate,16.85,2000,21,2008,2016,2021,1600,28.1,24.9,235.8,51.9,54.1,0.75,26.61,FinalHarvestOverdue,2025,100.0
43,Zone-3,Block,Poor,High Rainfall,Loam,Moderate,19.91,2015,22,2023,2030,2037,1600,14.4,11.9,68.24,24.1,64.8,1.52,17.44,SecondThinning,2030,97.2
44,Zone-3,Boundary,Excellent,Low Rainfall,Laterite,Moderate,17.79,2003,33,2013,2018,2036,625,26.6,20.5,194.02,43.3,49.7,5.08,11.85,FinalHarvest,2036,86.7
45,Zone-5,Estate,Good,High Rainfall,Sandy,Gentle,12.29,2015,29,2024,2028,2044,1111,15.1,11.0,40.83,15.9,50.4,6.73,55.26,SecondThinning,2028,96.5
46,Zone-2,Boundary,Excellent,High Rainfall,Laterite,Moderate,16.9,2007,33,2014,2022,2040,625,18.9,16.0,102.21,32.2,63.2,17.31,66.87,FinalHarvest,2040,85.4
47,Zone-1,Block,Excellent,Low Rainfall,Loam,Moderate,15.94,2010,35,2020,2022,2045,1600,20.7,15.0,98.99,27.9,66.4,9.75,7.17,FinalHarvest,2045,80.3
48,Zone-5,Farmer,Medium,Medium Rainfall,Sandy,Steep,3.24,1998,23,2005,2011,2021,816,43.7,23.5,66.55,56.1,52.5,9.7,40.42,FinalHarvestOverdue,2025,99.3
49,Zone-4,Farmer,Excellent,Low Rainfall,Loam,Flat,7.63,2020,31,2029,2036,2051,816,9.1,5.1,7.08,10.0,57.6,19.98,41.72,FirstThinning,2029,96.1
50,Zone-2,Block,Excellent,Medium Rainfall,Clay,Steep,11.93,2005,28,2013,2021,2033,1111,20.3,20.2,97.84,35.4,62.3,14.13,65.86,FinalHarvest,2033,94.3
51,Zone-4,Farmer,Excellent,Low Rainfall,Loam,Moderate,21.87,2009,26,2019,2021,2035,625,19.4,21.0,178.2,36.7,42.2,15.65,24.88,FinalHarvest,2035,89.0
52,Zone-5,Block,Poor,Medium Rainfall,Laterite,Moderate,16.04,2019,21,2026,2035,2040,1600,11.9,12.1,46.19,10.0,46.8,1.9,78.38,FirstThinning,2026,98.0
53,Zone-1,Block,Medium,High Rainfall,Clay,Flat,2.1,2020,20,2029,2034,2040,1111,7.2,5.0,1.51,10.0,60.5,3.68,18.13,FirstThinning,2029,98.1
54,Zone-5,Block,Medium,Medium Rainfall,Loam,Gentle,12.07,2003,23,2012,2015,2026,1111,43.0,28.1,291.68,40.6,53.3,6.98,49.07,FinalHarvest,2026,98.5
55,Zone-4,Boundary,Excellent,Medium Rainfall,Loam,Steep,21.48,1998,28,2008,2014,2026,625,32.2,23.6,326.46,56.0,40.7,16.62,34.69,FinalHarvest,2026,96.9
56,Zone-1,Estate,Excellent,Medium Rainfall,Loam,Moderate,6.26,2001,34,2010,2014,2035,1600,43.1,27.8,150.01,46.1,53.2,11.63,59.93,FinalHarvest,2035,88.0
57,Zone-1,Boundary,Good,High Rainfall,Laterite,Gentle,5.82,2020,30,2029,2036,2050,625,7.5,5.1,4.45,10.0,67.4,18.89,77.55,FirstThinning,2029,98.5
58,Zone-3,Boundary,Poor,Medium Rainfall,Sandy,Gentle,19.1,2002,21,2011,2014,2023,625,40.8,20.2,314.83,46.4,53.6,13.49,55.43,FinalHarvestOverdue,2025,100.0
59,Zone-5,Block,Good,Low Rainfall,Loam,Steep,1.6,2012,27,2020,2024,2039,1111,27.1,16.4,14.22,25.1,44.2,18.93,27.83,FinalHarvest,2039,85.0
60,Zone-4,Estate,Poor,Low Rainfall,Loam,Steep,11.89,2016,22,2026,2032,2038,1600,17.1,11.9,48.39,21.3,58.5,18.79,25.98,FirstThinning,2026,99.9
61,Zone-3,Farmer,Excellent,Medium Rainfall,Loam,Moderate,3.38,2016,30,2025,2028,2046,816,12.2,13.8,11.38,22.5,64.7,1.92,20.91,SecondThinning,2028,98.9
62,Zone-5,Estate,Poor,Medium Rainfall,Loam,Gentle,19.89,2001,18,2009,2017,2019,1600,41.3,22.8,374.58,50.7,63.7,11.96,25.8,FinalHarvestOverdue,2025,100.0
63,Zone-2,Farmer,Good,Low Rainfall,Sandy,Flat,4.16,2006,25,2015,2018,2031,1111,20.7,15.0,25.83,37.2,43.4,1.36,38.62,FinalHarvest,2031,93.7
64,Zone-3,Estate,Excellent,High Rainfall,Loam,Flat,18.45,2016,33,2025,2031,2049,1600,10.5,10.9,42.23,17.0,60.6,9.86,73.23,SecondThinning,2031,93.9
65,Zone-1,Estate,Good,High Rainfall,Loam,Flat,4.03,2014,30,2023,2029,2044,1111,22.5,18.8,34.09,18.0,61.1,17.07,53.82,SecondThinning,2029,97.2
66,Zone-5,Farmer,Excellent,Medium Rainfall,Loam,Steep,9.13,2009,31,2019,2021,2040,816,22.3,19.3,78.59,30.7,44.6,18.47,10.03,FinalHarvest,2040,82.5
67,Zone-1,Estate,Excellent,Low Rainfall,Clay,Gentle,14.35,2013,33,2022,2025,2046,1111,21.5,19.3,119.09,26.5,66.0,14.45,77.63,FinalHarvest,2046,80.0
68,Zone-5,Boundary,Good,Low Rainfall,Loam,Gentle,16.76,2002,23,2011,2018,2025,625,32.4,29.2,317.13,46.7,64.2,16.92,78.09,FinalHarvestOverdue,2025,100.0
69,Zone-5,Estate,Good,Low Rainfall,Loam,Moderate,17.86,2004,27,2013,2016,2031,1600,42.4,26.8,405.89,41.0,44.3,12.7,7.3,FinalHarvest,2031,93.1
70,Zone-5,Farmer,Excellent,Medium Rainfall,Laterite,Moderate,4.78,2004,30,2011,2016,2034,1111,28.1,27.4,73.61,43.7,48.2,13.27,41.42,FinalHarvest,2034,89.6
71,Zone-4,Block,Good,Low Rainfall,Sandy,Moderate,11.32,2004,29,2013,2016,2033,1600,32.9,27.2,202.6,37.1,49.0,4.3,15.29,FinalHarvest,2033,91.2
72,Zone-3,Boundary,Good,Low Rainfall,Sandy,Steep,18.93,2000,24,2010,2016,2024,625,39.1,26.0,384.88,53.3,64.2,1.53,69.63,FinalHarvestOverdue,2025,100.0
73,Zone-1,Block,Poor,Medium Rainfall,Sandy,Moderate,14.82,2013,21,2023,2027,2034,1600,22.1,21.7,142.14,20.7,68.4,9.26,56.72,SecondThinning,2027,100.0
74,Zone-3,Estate,Excellent,Low Rainfall,Loam,Steep,15.13,2011,26,2021,2025,2037,1111,20.2,20.2,123.47,23.8,59.0,10.66,19.54,FinalHarvest,2037,90.4
75,Zone-3,Boundary,Medium,Low Rainfall,Sandy,Gentle,7.14,2000,24,2008,2012,2024,625,28.5,29.3,119.25,49.9,62.6,15.22,38.67,FinalHarvestOverdue,2025,100.0
76,Zone-5,Boundary,Good,Low Rainfall,Laterite,Flat,12.25,2015,26,2024,2031,2041,625,10.4,11.0,28.03,18.1,53.6,1.23,67.38,SecondThinning,2031,95.3
77,Zone-1,Estate,Excellent,Medium Rainfall,Sandy,Steep,22.82,2013,35,2021,2027,2048,1111,23.0,21.7,227.79,23.5,64.3,16.76,78.68,SecondThinning,2027,97.9
78,Zone-1,Farmer,Poor,Low Rainfall,Laterite,Steep,13.58,2014,19,2023,2028,2033,816,21.9,20.2,120.15,23.8,41.6,12.65,30.1,SecondThinning,2028,95.7
79,Zone-3,Estate,Excellent,Medium Rainfall,Clay,Gentle,9.0,2013,35,2021,2027,2048,1111,27.7,19.6,97.73,22.9,57.9,18.77,28.22,SecondThinning,2027,96.6
80,Zone-4,Boundary,Medium,High Rainfall,Sandy,Steep,13.2,1995,22,2004,2008,2017,625,44.0,24.1,279.95,62.7,45.8,20.0,16.62,FinalHarvestOverdue,2025,98.4
81,Zone-3,Estate,Poor,High Rainfall,Clay,Gentle,15.33,1999,19,2007,2015,2018,1600,39.4,20.5,247.64,50.6,61.6,19.39,50.79,FinalHarvestOverdue,2025,100.0
82,Zone-4,Farmer,Medium,Medium Rainfall,Laterite,Gentle,9.83,2013,23,2023,2027,2036,816,23.0,17.3,78.23,20.6,46.0,12.13,70.48,SecondThinning,2027,96.0
83,Zone-1,Block,Good,High Rainfall,Sandy,Flat,7.84,2019,24,2028,2034,2043,1600,16.6,8.6,22.38,16.1,64.5,17.7,74.79,FirstThinning,2028,100.0
84,Zone-4,Estate,Excellent,High Rainfall,Clay,Gentle,10.27,1997,30,2005,2009,2027,1111,43.6,30.1,269.56,57.5,63.7,2.84,26.52,FinalHarvest,2027,99.7
85,Zone-4,Farmer,Excellent,Medium Rainfall,Sandy,Flat,1.46,2001,27,2011,2013,2028,816,29.8,21.5,18.71,45.4,59.2,12.49,9.71,FinalHarvest,2028,99.0
86,Zone-4,Estate,Medium,High Rainfall,Loam,Moderate,11.3,2014,22,2022,2030,2036,1111,19.9,19.3,86.8,22.2,50.8,19.07,45.81,SecondThinning,2030,94.4
87,Zone-5,Estate,Excellent,Medium Rainfall,Sandy,Steep,24.54,2003,25,2012,2015,2028,1111,29.8,27.9,408.06,40.0,57.5,15.16,15.01,FinalHarvest,2028,99.5
88,Zone-3,Boundary,Medium,High Rainfall,Laterite,Steep,16.16,2020,21,2027,2035,2041,625,5.2,4.8,8.07,12.9,66.6,6.38,28.26,FirstThinning,2027,100.0
89,Zone-4,Block,Good,Low Rainfall,Loam,Moderate,9.57,2019,22,2028,2033,2041,1600,16.4,10.6,33.27,11.0,53.2,19.13,30.43,FirstThinning,2028,99.8
90,Zone-2,Block,Excellent,Medium Rainfall,Clay,Flat,18.45,1997,31,2005,2013,2028,1111,31.4,21.0,243.32,57.6,49.2,12.09,36.96,FinalHarvest,2028,95.4
91,Zone-4,Boundary,Excellent,Low Rainfall,Clay,Steep,7.59,2020,25,2027,2035,2045,625,6.8,7.2,7.43,11.8,68.6,2.94,50.57,FirstThinning,2027,100.0
92,Zone-4,Estate,Medium,Low Rainfall,Loam,Moderate,9.69,2013,20,2021,2028,2033,1111,21.7,20.1,84.53,24.7,55.9,8.02,53.72,SecondThinning,2028,98.2
93,Zone-2,Estate,Poor,High Rainfall,Loam,Steep,13.43,2012,18,2021,2026,2030,1111,20.1,18.9,102.04,27.9,70.0,4.08,15.18,SecondThinning,2026,100.0
94,Zone-1,Block,Medium,High Rainfall,Laterite,Flat,20.45,2005,25,2014,2017,2030,1111,26.9,20.8,228.84,42.1,67.8,12.79,64.53,FinalHarvest,2030,96.6
95,Zone-5,Farmer,Poor,Low Rainfall,Loam,Gentle,19.97,1995,20,2004,2010,2015,625,27.6,30.6,337.32,55.7,51.9,14.37,40.9,FinalHarvestOverdue,2025,100.0
96,Zone-4,Block,Poor,Low Rainfall,Clay,Flat,11.8,2016,22,2025,2029,2038,1600,16.1,8.8,33.44,18.0,66.0,16.64,43.86,SecondThinning,2029,98.4
97,Zone-3,Farmer,Medium,Medium Rainfall,Loam,Moderate,23.74,2011,22,2018,2025,2033,1111,24.4,18.4,213.17,24.3,49.1,10.72,42.69,FinalHarvest,2033,91.0
98,Zone-2,Farmer,Medium,High Rainfall,Clay,Flat,20.81,1995,20,2002,2011,2015,816,38.0,29.2,461.82,59.2,59.2,10.01,52.04,FinalHarvestOverdue,2025,100.0
99,Zone-3,Boundary,Excellent,Low Rainfall,Laterite,Moderate,11.89,2017,25,2025,2032,2042,625,13.3,10.8,34.16,14.4,44.3,17.24,28.95,SecondThinning,2032,92.9
100,Zone-3,Block,Medium,Medium Rainfall,Sandy,Moderate,6.8,1998,22,2008,2011,2020,1600,26.9,23.5,85.97,52.8,58.5,5.04,69.9,FinalHarvestOverdue,2025,100.0
101,Zone-2,Boundary,Good,Low Rainfall,Loam,Steep,24.9,2009,29,2018,2024,2038,625,18.2,21.6,195.77,32.1,69.0,4.38,31.47,FinalHarvest,2038,90.2
102,Zone-1,Boundary,Excellent,High Rainfall,Laterite,Moderate,13.88,1998,31,2006,2012,2029,625,39.6,29.2,320.99,52.7,52.0,11.45,19.6,FinalHarvest,2029,95.0
103,Zone-5,Boundary,Poor,Medium Rainfall,Laterite,Moderate,20.81,2014,22,2021,2027,2036,625,27.8,17.2,199.01,24.9,50.2,18.79,61.62,SecondThinning,2027,97.2
104,Zone-2,Block,Poor,Low Rainfall,Sandy,Gentle,18.13,2020,21,2030,2033,2041,1600,6.6,6.5,15.56,10.0,69.7,14.81,27.44,FirstThinning,2030,98.5
105,Zone-3,Block,Good,Medium Rainfall,Sandy,Moderate,8.95,1998,28,2007,2010,2026,1111,30.3,27.9,151.32,58.7,57.4,4.63,8.85,FinalHarvest,2026,100.0
106,Zone-4,Farmer,Excellent,Low Rainfall,Loam,Flat,14.74,2017,26,2025,2029,2043,816,12.5,8.9,32.8,17.9,52.3,15.52,74.04,SecondThinning,2029,97.1
107,Zone-1,Farmer,Medium,High Rainfall,Clay,Steep,13.61,2005,21,2015,2021,2026,816,23.5,19.4,124.1,43.7,60.4,16.09,24.83,FinalHarvest,2026,100.0
108,Zone-4,Farmer,Medium,Medium Rainfall,Clay,Gentle,23.6,2004,22,2012,2019,2026,816,34.6,26.7,436.04,46.3,61.6,5.83,48.01,FinalHarvest,2026,100.0
109,Zone-5,Block,Excellent,Medium Rainfall,Loam,Moderate,2.01,2017,26,2026,2032,2043,1111,16.0,9.3,5.98,19.3,48.1,11.28,25.37,FirstThinning,2026,99.2
110,Zone-1,Farmer,Medium,Low Rainfall,Loam,Gentle,2.26,2008,22,2018,2020,2030,625,25.7,14.0,16.26,34.5,67.9,8.2,75.13,FinalHarvest,2030,97.8
111,Zone-4,Block,Medium,Medium Rainfall,Clay,Moderate,16.5,2019,20,2027,2035,2039,1600,17.3,9.1,51.95,15.8,45.3,18.4,79.79,FirstThinning,2027,97.1
112,Zone-4,Block,Medium,High Rainfall,Clay,Flat,1.22,2013,24,2020,2027,2037,1111,22.5,19.1,10.49,24.2,66.7,2.77,42.82,SecondThinning,2027,99.7
113,Zone-3,Farmer,Poor,Medium Rainfall,Loam,Steep,16.56,2017,19,2024,2031,2036,816,14.5,12.5,60.03,12.8,65.7,17.95,67.02,SecondThinning,2031,97.5
114,Zone-5,Boundary,Poor,Medium Rainfall,Sandy,Gentle,24.56,2010,20,2018,2022,2030,625,20.6,15.9,160.89,32.5,68.6,6.11,59.22,FinalHarvest,2030,98.7
115,Zone-1,Boundary,Good,High Rainfall,Loam,Flat,17.03,2009,26,2017,2024,2035,625,24.9,21.4,181.49,35.9,63.1,13.84,52.9,FinalHarvest,2035,93.2
116,Zone-3,Boundary,Medium,Low Rainfall,Loam,Steep,4.68,2018,24,2027,2033,2042,625,15.6,13.5,19.71,16.6,64.1,16.53,62.14,FirstThinning,2027,99.2
117,Zone-5,Estate,Excellent,High Rainfall,Clay,Flat,23.01,1998,25,2006,2014,2023,1600,28.3,30.3,394.62,53.4,60.4,14.37,41.66,FinalHarvestOverdue,2025,100.0
118,Zone-5,Block,Poor,Medium Rainfall,Loam,Steep,11.96,1996,22,2006,2010,2018,1600,32.9,29.8,234.52,60.5,57.3,1.0,30.84,FinalHarvestOverdue,2025,100.0
119,Zone-1,Estate,Poor,Medium Rainfall,Sandy,Moderate,10.81,2019,19,2029,2033,2038,1111,13.6,13.5,39.69,10.8,42.4,19.29,70.59,FirstThinning,2029,94.9
120,Zone-2,Boundary,Poor,Low Rainfall,Laterite,Gentle,18.47,2002,18,2009,2016,2020,625,34.3,28.6,362.37,45.2,51.4,4.67,39.55,FinalHarvestOverdue,2025,100.0
121,Zone-2,Boundary,Medium,High Rainfall,Sandy,Flat,20.43,2008,24,2015,2021,2032,625,20.1,14.8,121.55,29.3,57.9,14.1,8.65,FinalHarvest,2032,93.0
122,Zone-1,Block,Excellent,Low Rainfall,Loam,Flat,4.36,2004,28,2013,2020,2032,1111,29.7,30.5,78.99,46.9,55.6,8.33,25.64,FinalHarvest,2032,93.9
123,Zone-5,Farmer,Excellent,High Rainfall,Laterite,Flat,24.33,2015,35,2025,2031,2050,816,15.6,10.4,78.95,18.0,45.5,10.8,23.07,SecondThinning,2031,90.1
124,Zone-2,Boundary,Medium,Medium Rainfall,Sandy,Steep,24.23,2012,24,2020,2027,2036,625,20.4,15.6,154.22,27.5,67.7,16.96,11.93,SecondThinning,2027,99.9
125,Zone-2,Estate,Good,Medium Rainfall,Sandy,Flat,5.52,2019,30,2027,2034,2049,1600,17.0,10.0,18.77,16.6,40.5,18.75,77.16,FirstThinning,2027,95.1
126,Zone-1,Block,Medium,High Rainfall,Loam,Steep,22.96,2012,22,2021,2027,2034,1111,23.3,16.9,180.82,23.6,55.4,10.0,12.4,SecondThinning,2027,98.3
127,Zone-4,Boundary,Medium,Medium Rainfall,Clay,Steep,2.1,2002,25,2010,2014,2027,625,30.2,31.2,39.57,46.8,52.5,3.13,29.74,FinalHarvest,2027,96.5
128,Zone-4,Farmer,Excellent,High Rainfall,Clay,Moderate,19.32,2010,35,2020,2025,2045,1111,25.3,16.8,164.24,26.4,56.4,3.76,71.7,FinalHarvest,2045,78.3
129,Zone-1,Estate,Poor,High Rainfall,Sandy,Flat,10.9,2015,19,2022,2028,2034,1600,11.7,10.7,27.29,15.6,59.1,18.68,73.46,SecondThinning,2028,99.2
130,Zone-4,Estate,Poor,High Rainfall,Laterite,Flat,1.4,2018,20,2027,2030,2038,1111,16.4,13.5,6.2,10.1,42.9,3.06,19.39,FirstThinning,2027,96.6
131,Zone-5,Boundary,Good,Medium Rainfall,Laterite,Flat,9.95,2007,29,2015,2020,2036,625,21.0,20.6,86.09,31.8,69.8,13.03,7.38,FinalHarvest,2036,92.4
132,Zone-4,Block,Excellent,High Rainfall,Laterite,Flat,16.28,2017,27,2024,2032,2044,1111,15.2,10.0,49.49,20.8,69.2,17.91,73.94,SecondThinning,2032,97.0
133,Zone-2,Farmer,Excellent,Medium Rainfall,Sandy,Flat,17.43,2003,33,2010,2016,2036,816,25.3,22.5,198.44,40.4,64.6,16.44,74.67,FinalHarvest,2036,89.7
134,Zone-3,Farmer,Medium,High Rainfall,Laterite,Moderate,10.21,2018,21,2025,2034,2039,625,17.8,8.3,30.17,13.4,65.2,6.88,62.68,SecondThinning,2034,93.6
135,Zone-5,Block,Good,Low Rainfall,Clay,Steep,12.77,2006,30,2016,2021,2036,1600,24.8,19.3,122.24,33.9,58.6,15.98,58.48,FinalHarvest,2036,89.7
136,Zone-1,Boundary,Medium,Medium Rainfall,Loam,Steep,8.6,1998,20,2005,2012,2018,625,33.9,29.1,169.68,50.0,42.6,8.68,46.77,FinalHarvestOverdue,2025,98.5
137,Zone-5,Block,Poor,Low Rainfall,Sandy,Moderate,14.3,2014,22,2023,2029,2036,1600,20.9,17.1,102.21,17.8,67.0,18.11,78.36,SecondThinning,2029,98.6
138,Zone-5,Farmer,Excellent,Low Rainfall,Loam,Moderate,8.23,2010,27,2017,2023,2037,816,20.8,16.4,56.15,32.8,50.8,18.89,59.07,FinalHarvest,2037,88.4
139,Zone-4,Farmer,Excellent,Low Rainfall,Loam,Moderate,1.16,2007,30,2017,2021,2037,816,21.3,20.5,10.13,39.6,69.2,2.81,29.05,FinalHarvest,2037,90.8
