Animal_ID,Species,Risk_Score,Zone,Age_Years,Last_Check,Health_Score
87,Bear,5,Zone-3,10,08-12-2025,77
88,Leopard,1,Zone-4,8,05-12-2025,98
89,Wolf,3,Zone-5,18,24-11-2025,82
90,Tiger,1,Zone-1,16,11-12-2025,51
91,Elephant,6,Zone-2,3,19-11-2025,52
92,Bear,3,Zone-3,17,26-11-2025,69
93,Leopard,6,Zone-4,22,09-12-2025,59
94,Wolf,1,Zone-5,5,20-11-2025,60
95,Tiger,1,Zone-1,3,18-11-2025,81
96,Elephant,6,Zone-2,10,30-11-2025,67
97,Bear,2,Zone-3,13,03-12-2025,83
98,Leopard,8,Zone-4,20,07-12-2025,92
99,Wolf,2,Zone-5,2,14-11-2025,67
100,Tiger,7,Zone-1,14,07-12-2025,79
101,Elephant,6,Zone-2,21,18-11-2025,51
102,Bear,2,Zone-3,12,06-12-2025,75
103,Leopard,10,Zone-4,15,03-12-2025,67
104,Wolf,3,Zone-5,2,04-12-2025,96
105,Tiger,7,Zone-1,2,26-11-2025,84
106,Elephant,6,Zone-2,10,18-11-2025,84
107,Bear,4,Zone-3,7,11-12-2025,86
108,Leopard,6,Zone-4,17,26-11-2025,59
109,Wolf,4,Zone-5,23,24-11-2025,63
110,Tiger,7,Zone-1,18,19-11-2025,91
111,Elephant,1,Zone-2,14,10-12-2025,100
112,Bear,2,Zone-3,9,01-12-2025,78
113,Leopard,10,Zone-4,5,04-12-2025,58
114,Wolf,7,Zone-5,16,09-12-2025,67
115,Tiger,9,Zone-1,11,25-11-2025,95
116,Elephant,2,Zone-2,20,21-11-2025,79
117,Bear,1,Zone-3,4,30-11-2025,52
118,Leopard,2,Zone-4,19,28-11-2025,81
119,Wolf,10,Zone-5,16,20-11-2025,58
120,Tiger,1,Zone-1,20,07-12-2025,72
121,Elephant,2,Zone-2,19,07-12-2025,52
122,Bear,2,Zone-3,18,07-12-2025,85
123,Leopard,6,Zone-4,5,04-12-2025,64
124,Wolf,3,Zone-5,19,27-11-2025,50
125,Tiger,5,Zone-1,19,21-11-2025,62
126,Elephant,8,Zone-2,19,01-12-2025,82
127,Bear,3,Zone-3,19,12-11-2025,56
128,Leopard,6,Zone-4,18,21-11-2025,73
129,Wolf,6,Zone-5,4,09-12-2025,77
130,Tiger,4,Zone-1,20,21-11-2025,78
131,Elephant,2,Zone-2,10,22-11-2025,60
132,Bear,1,Zone-3,15,01-12-2025,79
133,Leopard,5,Zone-4,23,14-11-2025,57
134,Wolf,5,Zone-5,6,02-12-2025,85
135,Tiger,8,Zone-1,8,23-11-2025,76
136,Elephant,3,Zone-2,13,07-12-2025,72
137,Bear,10,Zone-3,3,25-11-2025,84
138,Leopard,4,Zone-4,23,09-12-2025,61
139,Wolf,5,Zone-5,21,23-11-2025,100
140,Tiger,8,Zone-1,24,27-11-2025,65
141,Elephant,7,Zone-2,23,16-11-2025,79
142,Bear,8,Zone-3,6,13-11-2025,98
143,Leopard,5,Zone-4,10,05-12-2025,90
144,Wolf,5,Zone-5,7,21-11-2025,71
145,Tiger,5,Zone-1,20,13-11-2025,79
146,Elephant,9,Zone-2,16,06-12-2025,88
147,Bear,7,Zone-3,12,26-11-2025,57
148,Leopard,6,Zone-4,13,17-11-2025,95
149,Wolf,5,Zone-5,8,13-11-2025,83
150,Tiger,1,Zone-1,6,22-11-2025,86
151,Elephant,1,Zone-2,25,16-11-2025,64
152,Bear,5,Zone-3,18,21-11-2025,51
153,Leopard,5,Zone-4,5,02-12-2025,80
154,Wolf,10,Zone-5,14,10-12-2025,90
155,Tiger,1,Zone-1,24,10-12-2025,86
156,Elephant,5,Zone-2,1,22-11-2025,54
157,Bear,7,Zone-3,23,30-11-2025,80
158,Leopard,4,Zone-4,16,28-11-2025,58
159,Wolf,5,Zone-5,6,29-11-2025,74
160,Tiger,3,Zone-1,5,30-11-2025,66
161,Elephant,10,Zone-2,5,12-11-2025,52
162,Bear,4,Zone-3,14,16-11-2025,88
163,Leopard,4,Zone-4,2,22-11-2025,98
164,Wolf,2,Zone-5,23,03-12-2025,90
165,Tiger,1,Zone-1,4,20-11-2025,71
166,Elephant,3,Zone-2,15,04-12-2025,56
167,Bear,2,Zone-3,25,27-11-2025,61
168,Leopard,3,Zone-4,13,02-12-2025,54
169,Wolf,5,Zone-5,16,14-11-2025,71
170,Tiger,7,Zone-1,19,16-11-2025,50
171,Elephant,1,Zone-2,21,09-12-2025,83
172,Bear,5,Zone-3,5,12-11-2025,89
173,Leopard,4,Zone-4,7,01-12-2025,89
174,Wolf,9,Zone-5,24,03-12-2025,78
175,Tiger,5,Zone-1,6,06-12-2025,86
176,Elephant,9,Zone-2,21,04-12-2025,100
177,Bear,6,Zone-3,20,28-11-2025,93
178,Leopard,7,Zone-4,23,26-11-2025,100
179,Wolf,8,Zone-5,3,30-11-2025,65
180,Tiger,10,Zone-1,1,16-11-2025,60
181,Elephant,3,Zone-2,14,17-11-2025,60
182,Bear,5,Zone-3,15,18-11-2025,99
183,Leopard,4,Zone-4,13,01-12-2025,50
184,Wolf,1,Zone-5,24,05-12-2025,59
185,Tiger,10,Zone-1,19,11-12-2025,86
186,Elephant,1,Zone-2,23,21-11-2025,53
187,Bear,7,Zone-3,10,15-11-2025,79
188,Leopard,7,Zone-4,3,14-11-2025,91
189,Wolf,5,Zone-5,10,07-12-2025,78
190,Tiger,9,Zone-1,16,04-12-2025,97
191,Elephant,6,Zone-2,11,03-12-2025,92
192,Bear,1,Zone-3,23,12-11-2025,68
193,Leopard,3,Zone-4,21,04-12-2025,57
194,Wolf,7,Zone-5,20,26-11-2025,88
195,Tiger,3,Zone-1,24,19-11-2025,97
196,Elephant,1,Zone-2,24,28-11-2025,78
197,Bear,6,Zone-3,9,23-11-2025,64
198,Leopard,10,Zone-4,7,02-12-2025,64
199,Wolf,10,Zone-5,13,23-11-2025,51
200,Tiger,5,Zone-1,11,14-11-2025,63
201,Elephant,10,Zone-2,6,16-11-2025,94
202,Bear,6,Zone-3,6,25-11-2025,80
203,Leopard,9,Zone-4,23,04-12-2025,71
204,Wolf,8,Zone-5,7,04-12-2025,82
205,Tiger,2,Zone-1,8,04-12-2025,51
206,Elephant,8,Zone-2,8,03-12-2025,71
207,Bear,4,Zone-3,21,13-11-2025,93
208,Leopard,4,Zone-4,2,06-12-2025,64
209,Wolf,7,Zone-5,10,08-12-2025,61
210,Tiger,3,Zone-1,10,17-11-2025,80
211,Elephant,5,Zone-2,1,21-11-2025,86
212,Bear,9,Zone-3,12,05-12-2025,95
213,Leopard,8,Zone-4,6,10-12-2025,65
214,Wolf,4,Zone-5,12,10-12-2025,70
215,Tiger,2,Zone-1,13,10-12-2025,58
216,Elephant,4,Zone-2,5,01-12-2025,56
217,Bear,1,Zone-3,16,19-11-2025,55
218,Leopard,6,Zone-4,12,01-12-2025,84
219,Wolf,8,Zone-5,2,16-11-2025,87
220,Tiger,5,Zone-1,21,19-11-2025,53
221,Elephant,5,Zone-2,5,07-12-2025,91
222,Bear,5,Zone-3,11,29-11-2025,69
223,Leopard,2,Zone-4,3,23-11-2025,89
224,Wolf,3,Zone-5,12,15-11-2025,73
225,Tiger,2,Zone-1,5,01-12-2025,64
226,Elephant,9,Zone-2,2,26-11-2025,99
227,Bear,9,Zone-3,3,23-11-2025,55
228,Leopard,4,Zone-4,24,13-11-2025,72
229,Wolf,1,Zone-5,12,19-11-2025,97
230,Tiger,4,Zone-1,24,19-11-2025,69
231,Elephant,10,Zone-2,9,12-11-2025,98
232,Bear,2,Zone-3,20,19-11-2025,80
233,Leopard,2,Zone-4,11,19-11-2025,81
234,Wolf,6,Zone-5,12,26-11-2025,57
235,Tiger,7,Zone-1,14,16-11-2025,64
236,Elephant,3,Zone-2,17,21-11-2025,91
237,Bear,3,Zone-3,9,28-11-2025,65
238,Leopard,1,Zone-4,14,08-12-2025,97
239,Wolf,7,Zone-5,5,14-11-2025,54
240,Tiger,9,Zone-1,22,30-11-2025,95
241,Elephant,7,Zone-2,8,01-12-2025,58
242,Bear,1,Zone-3,25,11-12-2025,79
243,Leopard,7,Zone-4,3,01-12-2025,52
244,Wolf,5,Zone-5,5,10-12-2025,70
245,Tiger,10,Zone-1,18,20-11-2025,74
246,Elephant,9,Zone-2,12,20-11-2025,91
247,Bear,7,Zone-3,20,27-11-2025,79
248,Leopard,2,Zone-4,10,05-12-2025,93
249,Wolf,4,Zone-5,23,28-11-2025,51
250,Tiger,9,Zone-1,2,18-11-2025,98
251,Elephant,10,Zone-2,2,08-12-2025,52
252,Bear,2,Zone-3,10,17-11-2025,98
253,Leopard,7,Zone-4,24,08-12-2025,53
254,Wolf,4,Zone-5,20,07-12-2025,81
255,Tiger,9,Zone-1,17,25-11-2025,85
256,Elephant,2,Zone-2,18,22-11-2025,63
257,Bear,1,Zone-3,9,16-11-2025,75
258,Leopard,2,Zone-4,13,04-12-2025,85
259,Wolf,9,Zone-5,4,28-11-2025,82
260,Tiger,8,Zone-1,23,24-11-2025,96
261,Elephant,6,Zone-2,3,25-11-2025,93
262,Bear,6,Zone-3,14,12-11-2025,88
263,Leopard,1,Zone-4,12,21-11-2025,52
264,Wolf,10,Zone-5,13,01-12-2025,75
265,Tiger,9,Zone-1,18,17-11-2025,60
266,Elephant,7,Zone-2,16,06-12-2025,83
267,Bear,1,Zone-3,1,26-11-2025,59
268,Leopard,8,Zone-4,6,15-11-2025,50
269,Wolf,9,Zone-5,4,20-11-2025,92
270,Tiger,5,Zone-1,15,07-12-2025,90
271,Elephant,4,Zone-2,15,05-12-2025,72
272,Bear,7,Zone-3,10,11-12-2025,79
273,Leopard,9,Zone-4,8,18-11-2025,96
274,Wolf,1,Zone-5,18,04-12-2025,53
275,Tiger,7,Zone-1,20,27-11-2025,83
276,Elephant,10,Zone-2,19,21-11-2025,86
277,Bear,6,Zone-3,4,21-11-2025,66
278,Leopard,6,Zone-4,10,22-11-2025,85
279,Wolf,4,Zone-5,14,27-11-2025,55
280,Tiger,5,Zone-1,13,26-11-2025,66
281,Elephant,10,Zone-2,2,28-11-2025,74
282,Bear,9,Zone-3,17,18-11-2025,76
283,Leopard,8,Zone-4,12,09-12-2025,85
284,Wolf,6,Zone-5,25,26-11-2025,56
285,Tiger,2,Zone-1,14,02-12-2025,72
286,Elephant,7,Zone-2,2,30-11-2025,92
287,Bear,10,Zone-3,12,15-11-2025,75
288,Leopard,4,Zone-4,10,04-12-2025,98
289,Wolf,2,Zone-5,17,10-12-2025,90
290,Tiger,8,Zone-1,7,23-11-2025,59
291,Elephant,1,Zone-2,24,10-12-2025,58
292,Bear,6,Zone-3,17,15-11-2025,72
293,Leopard,7,Zone-4,11,17-11-2025,100
294,Wolf,4,Zone-5,8,17-11-2025,80
295,Tiger,8,Zone-1,16,16-11-2025,65
296,Elephant,1,Zone-2,22,05-12-2025,56
297,Bear,7,Zone-3,16,19-11-2025,85
298,Leopard,8,Zone-4,4,23-11-2025,100
299,Wolf,3,Zone-5,14,08-12-2025,73
300,Tiger,5,Zone-1,18,26-11-2025,93
301,Elephant,3,Zone-2,1,14-11-2025,56
302,Bear,3,Zone-3,9,20-11-2025,53
303,Leopard,3,Zone-4,12,15-11-2025,68
304,Wolf,6,Zone-5,11,11-12-2025,92
305,Tiger,1,Zone-1,11,02-12-2025,87
306,Elephant,1,Zone-2,17,18-11-2025,96
307,Bear,1,Zone-3,22,23-11-2025,87
308,Leopard,9,Zone-4,7,23-11-2025,81
309,Wolf,7,Zone-5,21,27-11-2025,65
310,Tiger,9,Zone-1,17,26-11-2025,58
311,Elephant,5,Zone-2,13,08-12-2025,75
312,Bear,4,Zone-3,1,05-12-2025,100
313,Leopard,5,Zone-4,8,25-11-2025,64
314,Wolf,1,Zone-5,1,11-12-2025,87
315,Tiger,2,Zone-1,10,04-12-2025,70
316,Elephant,3,Zone-2,20,02-12-2025,89
317,Bear,4,Zone-3,1,26-11-2025,94
318,Leopard,5,Zone-4,4,27-11-2025,86
319,Wolf,10,Zone-5,21,28-11-2025,70
320,Tiger,5,Zone-1,14,17-11-2025,74
321,Elephant,3,Zone-2,17,22-11-2025,81
322,Bear,4,Zone-3,12,08-12-2025,83
323,Leopard,10,Zone-4,13,06-12-2025,59
324,Wolf,6,Zone-5,5,27-11-2025,99
325,Tiger,6,Zone-1,21,29-11-2025,53
326,Elephant,1,Zone-2,6,07-12-2025,65
327,Bear,1,Zone-3,5,04-12-2025,68
328,Leopard,1,Zone-4,12,29-11-2025,97
329,Wolf,8,Zone-5,15,14-11-2025,56
330,Tiger,3,Zone-1,12,09-12-2025,92
331,Elephant,6,Zone-2,17,23-11-2025,97
332,Bear,1,Zone-3,9,08-12-2025,83
333,Leopard,3,Zone-4,25,14-11-2025,82
334,Wolf,1,Zone-5,11,09-12-2025,76
335,Tiger,7,Zone-1,14,10-12-2025,95
336,Elephant,9,Zone-2,4,14-11-2025,61
337,Bear,4,Zone-3,19,07-12-2025,81
338,Leopard,9,Zone-4,18,02-12-2025,99
339,Wolf,5,Zone-5,16,21-11-2025,89
340,Tiger,1,Zone-1,19,24-11-2025,74
341,Elephant,4,Zone-2,14,09-12-2025,70
342,Bear,3,Zone-3,16,29-11-2025,89
343,Leopard,6,Zone-4,18,16-11-2025,68
344,Wolf,5,Zone-5,10,07-12-2025,50
345,Tiger,3,Zone-1,6,16-11-2025,66
346,Elephant,9,Zone-2,5,03-12-2025,84
347,Bear,9,Zone-3,13,05-12-2025,96
348,Leopard,2,Zone-4,8,14-11-2025,79
349,Wolf,4,Zone-5,15,09-12-2025,69
350,Tiger,6,Zone-1,2,04-12-2025,54
351,Elephant,2,Zone-2,18,10-12-2025,94
352,Bear,3,Zone-3,13,20-11-2025,74
353,Leopard,10,Zone-4,4,12-11-2025,66
354,Wolf,2,Zone-5,20,17-11-2025,65
355,Tiger,10,Zone-1,14,11-12-2025,74
356,Elephant,2,Zone-2,1,03-12-2025,79
357,Bear,2,Zone-3,17,23-11-2025,97
358,Leopard,2,Zone-4,4,15-11-2025,87
359,Wolf,10,Zone-5,5,18-11-2025,70
360,Tiger,7,Zone-1,22,20-11-2025,88
361,Elephant,3,Zone-2,10,18-11-2025,81
362,Bear,7,Zone-3,18,24-11-2025,92
363,Leopard,4,Zone-4,10,09-12-2025,52
364,Wolf,4,Zone-5,9,09-12-2025,67
365,Tiger,2,Zone-1,7,17-11-2025,54
366,Elephant,9,Zone-2,4,08-12-2025,85
367,Bear,2,Zone-3,10,11-12-2025,71
368,Leopard,2,Zone-4,23,19-11-2025,64
369,Wolf,3,Zone-5,11,21-11-2025,57
370,Tiger,8,Zone-1,19,20-11-2025,50
371,Elephant,5,Zone-2,10,27-11-2025,52
372,Bear,9,Zone-3,12,28-11-2025,50
373,Leopard,10,Zone-4,24,03-12-2025,100
374,Wolf,1,Zone-5,13,27-11-2025,56
375,Tiger,5,Zone-1,22,15-11-2025,82
376,Elephant,8,Zone-2,17,05-12-2025,54
377,Bear,1,Zone-3,7,08-12-2025,66
378,Leopard,6,Zone-4,25,12-11-2025,74
379,Wolf,5,Zone-5,11,26-11-2025,58
380,Tiger,3,Zone-1,15,01-12-2025,92
381,Elephant,8,Zone-2,20,03-12-2025,100
382,Bear,1,Zone-3,15,18-11-2025,67
383,Leopard,1,Zone-4,8,05-12-2025,78
384,Wolf,5,Zone-5,9,22-11-2025,90
385,Tiger,10,Zone-1,20,12-11-2025,83
386,Elephant,8,Zone-2,1,22-11-2025,64
387,Bear,4,Zone-3,20,08-12-2025,95
388,Leopard,4,Zone-4,13,18-11-2025,89
389,Wolf,5,Zone-5,3,06-12-2025,90
390,Tiger,7,Zone-1,10,09-12-2025,50
391,Elephant,7,Zone-2,1,04-12-2025,60
392,Bear,7,Zone-3,25,16-11-2025,78
393,Leopard,6,Zone-4,8,09-12-2025,94
394,Wolf,9,Zone-5,2,30-11-2025,81
395,Tiger,7,Zone-1,8,09-12-2025,93
396,Elephant,1,Zone-2,3,11-12-2025,84
397,Bear,10,Zone-3,13,21-11-2025,71
398,Leopard,5,Zone-4,14,16-11-2025,56
399,Wolf,3,Zone-5,11,04-12-2025,75
400,Tiger,1,Zone-1,13,12-11-2025,68
401,Elephant,1,Zone-2,2,03-12-2025,78
402,Bear,5,Zone-3,17,29-11-2025,79
403,Leopard,10,Zone-4,10,13-11-2025,85
404,Wolf,7,Zone-5,25,21-11-2025,90
405,Tiger,10,Zone-1,17,23-11-2025,67
406,Elephant,9,Zone-2,9,25-11-2025,54
407,Bear,8,Zone-3,1,13-11-2025,91
408,Leopard,4,Zone-4,13,16-11-2025,56
409,Wolf,1,Zone-5,2,12-11-2025,79
410,Tiger,8,Zone-1,1,17-11-2025,54
411,Elephant,8,Zone-2,16,17-11-2025,64
412,Bear,8,Zone-3,11,23-11-2025,69
413,Leopard,10,Zone-4,7,16-11-2025,62
414,Wolf,1,Zone-5,15,25-11-2025,56
415,Tiger,2,Zone-1,3,27-11-2025,56
416,Elephant,10,Zone-2,23,17-11-2025,77
417,Bear,1,Zone-3,2,03-12-2025,89
418,Leopard,1,Zone-4,6,12-11-2025,55
419,Wolf,5,Zone-5,10,02-12-2025,55
420,Tiger,6,Zone-1,11,14-11-2025,87
421,Elephant,7,Zone-2,15,03-12-2025,64
422,Bear,4,Zone-3,8,20-11-2025,92
423,Leopard,9,Zone-4,10,20-11-2025,86
424,Wolf,7,Zone-5,23,12-11-2025,71
425,Tiger,6,Zone-1,6,04-12-2025,86
426,Elephant,2,Zone-2,16,17-11-2025,93
427,Bear,1,Zone-3,7,18-11-2025,64
428,Leopard,6,Zone-4,8,12-11-2025,50
429,Wolf,1,Zone-5,10,22-11-2025,94
430,Tiger,10,Zone-1,19,06-12-2025,74
431,Elephant,7,Zone-2,12,05-12-2025,96
432,Bear,7,Zone-3,23,08-12-2025,97
433,Leopard,10,Zone-4,16,21-11-2025,79
434,Wolf,4,Zone-5,4,27-11-2025,63
435,Tiger,10,Zone-1,10,17-11-2025,77
436,Elephant,3,Zone-2,9,25-11-2025,81
437,Bear,3,Zone-3,7,16-11-2025,97
438,Leopard,9,Zone-4,12,14-11-2025,83
439,Wolf,7,Zone-5,11,20-11-2025,65
440,Tiger,10,Zone-1,5,14-11-2025,80
441,Elephant,7,Zone-2,18,27-11-2025,92
442,Bear,2,Zone-3,9,19-11-2025,55
443,Leopard,4,Zone-4,9,23-11-2025,62
444,Wolf,2,Zone-5,25,26-11-2025,88
445,Tiger,7,Zone-1,15,12-11-2025,52
446,Elephant,7,Zone-2,1,30-11-2025,73
447,Bear,9,Zone-3,21,08-12-2025,80
448,Leopard,4,Zone-4,11,27-11-2025,88
449,Wolf,3,Zone-5,4,13-11-2025,95
450,Tiger,2,Zone-1,13,07-12-2025,71
451,Elephant,1,Zone-2,13,19-11-2025,87
452,Bear,9,Zone-3,20,05-12-2025,73
453,Leopard,5,Zone-4,13,02-12-2025,75
454,Wolf,4,Zone-5,19,24-11-2025,94
455,Tiger,10,Zone-1,15,11-12-2025,56
456,Elephant,5,Zone-2,22,21-11-2025,91
457,Bear,6,Zone-3,12,26-11-2025,50
458,Leopard,4,Zone-4,20,19-11-2025,65
459,Wolf,5,Zone-5,22,07-12-2025,80
460,Tiger,2,Zone-1,24,24-11-2025,75
461,Elephant,7,Zone-2,24,23-11-2025,59
462,Bear,6,Zone-3,11,07-12-2025,88
463,Leopard,1,Zone-4,11,11-12-2025,89
464,Wolf,3,Zone-5,13,10-12-2025,50
465,Tiger,1,Zone-1,22,09-12-2025,100
466,Elephant,2,Zone-2,22,17-11-2025,97
467,Bear,1,Zone-3,3,15-11-2025,70
468,Leopard,7,Zone-4,3,28-11-2025,54
469,Wolf,10,Zone-5,15,05-12-2025,85
470,Tiger,5,Zone-1,9,17-11-2025,97
471,Elephant,10,Zone-2,21,25-11-2025,55
472,Bear,3,Zone-3,3,14-11-2025,64
473,Leopard,1,Zone-4,2,20-11-2025,97
474,Wolf,9,Zone-5,17,07-12-2025,91
475,Tiger,4,Zone-1,17,14-11-2025,69
476,Elephant,7,Zone-2,19,22-11-2025,53
477,Bear,9,Zone-3,13,26-11-2025,58
478,Leopard,4,Zone-4,22,12-11-2025,63
479,Wolf,2,Zone-5,2,03-12-2025,92
480,Tiger,5,Zone-1,17,08-12-2025,81
481,Elephant,8,Zone-2,21,04-12-2025,90
482,Bear,7,Zone-3,12,01-12-2025,96
483,Leopard,7,Zone-4,3,22-11-2025,58
484,Wolf,3,Zone-5,3,17-11-2025,83
485,Tiger,9,Zone-1,5,13-11-2025,58
486,Elephant,1,Zone-2,14,05-12-2025,98
487,Bear,2,Zone-3,17,18-11-2025,75
488,Leopard,5,Zone-4,4,26-11-2025,74
489,Wolf,2,Zone-5,21,21-11-2025,90
490,Tiger,4,Zone-1,1,07-12-2025,62
491,Elephant,7,Zone-2,9,17-11-2025,57
492,Bear,7,Zone-3,20,04-12-2025,77
493,Leopard,9,Zone-4,7,01-12-2025,90
494,Wolf,10,Zone-5,19,09-12-2025,76
495,Tiger,8,Zone-1,14,03-12-2025,50
496,Elephant,4,Zone-2,5,04-12-2025,100
497,Bear,10,Zone-3,22,09-12-2025,95
498,Leopard,10,Zone-4,24,04-12-2025,92
499,Wolf,3,Zone-5,11,07-12-2025,100
500,Tiger,9,Zone-1,5,13-11-2025,90
501,Elephant,7,Zone-2,15,12-11-2025,56
502,Bear,3,Zone-3,13,13-11-2025,88
503,Leopard,4,Zone-4,15,23-11-2025,66
504,Wolf,10,Zone-5,20,23-11-2025,70
505,Tiger,3,Zone-1,6,01-12-2025,61
506,Elephant,10,Zone-2,14,17-11-2025,66
507,Bear,5,Zone-3,10,20-11-2025,83
508,Leopard,5,Zone-4,25,04-12-2025,97
509,Wolf,7,Zone-5,25,19-11-2025,96
510,Tiger,9,Zone-1,14,25-11-2025,57
511,Elephant,2,Zone-2,3,02-12-2025,100
512,Bear,4,Zone-3,8,10-12-2025,77
513,Leopard,5,Zone-4,1,22-11-2025,95
514,Wolf,9,Zone-5,1,01-12-2025,85
515,Tiger,8,Zone-1,16,09-12-2025,71
516,Elephant,6,Zone-2,23,30-11-2025,88
517,Bear,1,Zone-3,25,21-11-2025,74
518,Leopard,3,Zone-4,25,26-11-2025,83
519,Wolf,8,Zone-5,20,10-12-2025,60
520,Tiger,6,Zone-1,19,08-12-2025,94
521,Elephant,3,Zone-2,1,19-11-2025,96
522,Bear,5,Zone-3,13,04-12-2025,79
523,Leopard,3,Zone-4,4,28-11-2025,61
524,Wolf,7,Zone-5,13,18-11-2025,51
525,Tiger,4,Zone-1,5,05-12-2025,70
526,Elephant,9,Zone-2,10,09-12-2025,84
527,Bear,1,Zone-3,6,22-11-2025,70
528,Leopard,6,Zone-4,22,22-11-2025,87
529,Wolf,10,Zone-5,16,27-11-2025,99
530,Tiger,4,Zone-1,24,27-11-2025,100
531,Elephant,10,Zone-2,7,22-11-2025,72
532,Bear,8,Zone-3,19,01-12-2025,98
533,Leopard,6,Zone-4,3,23-11-2025,91
534,Wolf,3,Zone-5,9,18-11-2025,78
535,Tiger,5,Zone-1,22,09-12-2025,54
536,Elephant,2,Zone-2,16,20-11-2025,63
537,Bear,7,Zone-3,15,11-12-2025,63
538,Leopard,9,Zone-4,14,07-12-2025,72
