documentId,referenceCode,department,category,subject,shortTitle,longTitle,year,issueDate,effectiveToOrBlank,status,jurisdiction,pageCount,tagsSemicolonSeparated
18,W-GUI-2012-672,Wildlife,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Wildlife Department Guideline on Digital Monitoring,2012,2015-10-04,2020-09-21,Superseded,Statewide,98,fire;wildlife
19,F-NOT-2020-753,Forest,Notification,Land Allotment,Land Allotment – Notification,Forest Department Notification on Land Allotment,2020,2011-07-08,,Active,Statewide,82,land;marketing;offence;plantation
20,P-NOT-2021-296,Planning,Notification,CAMPA Utilisation,CAMPA Utilisation – Notification,Planning Department Notification on CAMPA Utilisation,2021,2012-10-11,,Active,Circle-West,45,climate;rules
21,W-GUI-2024-240,Wildlife,Guideline,Teak Plantation,Teak Plantation – Guideline,Wildlife Department Guideline on Teak Plantation,2024,2017-02-06,,Active,Circle-East,91,rules;wildlife
22,P-OM-2011-207,Planning,OM,Budget Release,Budget Release – OM,Planning Department OM on Budget Release,2011,2015-06-28,,Active,Circle-South,41,climate;eco;offence;wildlife
23,F-GUI-2017-736,Finance,Guideline,Wildlife Protection,Wildlife Protection – Guideline,Finance Department Guideline on Wildlife Protection,2017,2014-09-15,,Active,Circle-North,61,eco;marketing;patrol;teak
24,F-OM-2010-278,Forest,OM,Fire Management,Fire Management – OM,Forest Department OM on Fire Management,2010,2022-12-25,,Active,Circle-South,51,campa;digital;eco;wildlife
25,F-CIR-2019-183,Forest,Circular,CAMPA Utilisation,CAMPA Utilisation – Circular,Forest Department Circular on CAMPA Utilisation,2019,2013-11-07,,Active,Circle-South,114,climate;community
26,W-CIR-2014-025,Wildlife,Circular,Land Allotment,Land Allotment – Circular,Wildlife Department Circular on Land Allotment,2014,2010-12-14,,Active,Circle-North,53,campa;climate
27,P-OM-2020-202,Planning,OM,Wildlife Protection,Wildlife Protection – OM,Planning Department OM on Wildlife Protection,2020,2012-04-24,,Active,Circle-South,95,patrol;plantation;teak
28,R-CIR-2018-088,Revenue,Circular,Land Allotment,Land Allotment – Circular,Revenue Department Circular on Land Allotment,2018,2025-06-14,2027-06-05,Superseded,Circle-West,69,fire;marketing;offence;patrol
29,P-ORD-2021-701,Planning,Order,Land Allotment,Land Allotment – Order,Planning Department Order on Land Allotment,2021,2015-04-24,,Active,Circle-South,27,digital;marketing;wildlife
30,W-CIR-2015-371,Wildlife,Circular,Budget Release,Budget Release – Circular,Wildlife Department Circular on Budget Release,2015,2015-10-19,,Active,Circle-South,75,community;plantation;teak;wildlife
31,P-GUI-2015-990,Planning,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Planning Department Guideline on Digital Monitoring,2015,2012-07-04,,Active,Circle-South,104,campa;wildlife
32,R-GUI-2019-023,Revenue,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Revenue Department Guideline on Digital Monitoring,2019,2016-12-30,,Active,Circle-West,70,climate;plantation;rules;teak
33,P-CIR-2020-147,Planning,Circular,Wildlife Protection,Wildlife Protection – Circular,Planning Department Circular on Wildlife Protection,2020,2012-12-12,2015-11-24,Superseded,Circle-North,80,offence;teak
34,R-ORD-2018-951,Revenue,Order,Climate Mission,Climate Mission – Order,Revenue Department Order on Climate Mission,2018,2021-07-27,2022-05-31,Superseded,Circle-West,16,eco;offence;wildlife
35,F-CIR-2020-923,Forest,Circular,Land Allotment,Land Allotment – Circular,Forest Department Circular on Land Allotment,2020,2014-07-01,,Active,Circle-South,31,community;marketing;offence;wildlife
36,W-ORD-2015-964,Wildlife,Order,Budget Release,Budget Release – Order,Wildlife Department Order on Budget Release,2015,2010-07-21,,Active,Circle-South,58,community;digital;eco;patrol
37,F-NOT-2012-349,Finance,Notification,Land Allotment,Land Allotment – Notification,Finance Department Notification on Land Allotment,2012,2025-02-02,,Active,Circle-North,4,digital;offence;plantation;wildlife
38,P-CIR-2021-943,Planning,Circular,Fire Management,Fire Management – Circular,Planning Department Circular on Fire Management,2021,2015-04-19,2018-02-16,Superseded,Circle-South,4,climate;digital;plantation;wildlife
39,W-ORD-2023-349,Wildlife,Order,Teak Plantation,Teak Plantation – Order,Wildlife Department Order on Teak Plantation,2023,2019-03-10,,Active,Statewide,17,community;land;patrol
40,P-NOT-2021-454,Planning,Notification,Budget Release,Budget Release – Notification,Planning Department Notification on Budget Release,2021,2017-06-21,,Active,Statewide,89,marketing;rules
41,R-CIR-2019-467,Revenue,Circular,Eco Tourism,Eco Tourism – Circular,Revenue Department Circular on Eco Tourism,2019,2025-08-28,,Active,Circle-West,95,land;rules;teak
42,F-ORD-2017-651,Finance,Order,Community Forestry,Community Forestry – Order,Finance Department Order on Community Forestry,2017,2010-06-13,,Active,Circle-South,39,digital;fire;land
43,R-ORD-2021-795,Revenue,Order,Teak Plantation,Teak Plantation – Order,Revenue Department Order on Teak Plantation,2021,2021-09-10,2023-11-27,Superseded,Statewide,6,patrol;rules
44,W-OM-2014-681,Wildlife,OM,Wildlife Protection,Wildlife Protection – OM,Wildlife Department OM on Wildlife Protection,2014,2010-12-18,,Active,Circle-North,46,rules;wildlife
45,F-NOT-2023-314,Forest,Notification,CAMPA Utilisation,CAMPA Utilisation – Notification,Forest Department Notification on CAMPA Utilisation,2023,2011-01-05,,Active,Circle-South,64,patrol;teak
46,R-NOT-2023-908,Revenue,Notification,Land Allotment,Land Allotment – Notification,Revenue Department Notification on Land Allotment,2023,2010-10-15,2012-08-27,Superseded,Circle-North,104,community;eco
47,W-OM-2019-014,Wildlife,OM,Budget Release,Budget Release – OM,Wildlife Department OM on Budget Release,2019,2011-06-14,,Active,Circle-North,46,land;marketing;rules;wildlife
48,R-NOT-2010-818,Revenue,Notification,Fire Management,Fire Management – Notification,Revenue Department Notification on Fire Management,2010,2021-06-09,2023-08-08,Superseded,Statewide,102,climate;marketing;offence;teak
49,R-ORD-2020-808,Revenue,Order,Eco Tourism,Eco Tourism – Order,Revenue Department Order on Eco Tourism,2020,2020-12-10,,Active,Statewide,69,eco;marketing;offence;rules
50,F-CIR-2023-802,Forest,Circular,Budget Release,Budget Release – Circular,Forest Department Circular on Budget Release,2023,2017-05-11,,Active,Circle-South,91,budget;eco;patrol
51,W-CIR-2018-598,Wildlife,Circular,Community Forestry,Community Forestry – Circular,Wildlife Department Circular on Community Forestry,2018,2014-06-28,,Active,Statewide,113,climate;land;marketing
52,R-ORD-2021-908,Revenue,Order,Land Allotment,Land Allotment – Order,Revenue Department Order on Land Allotment,2021,2012-08-04,,Active,Circle-East,23,digital;eco;offence;rules
53,F-CIR-2023-604,Finance,Circular,Land Allotment,Land Allotment – Circular,Finance Department Circular on Land Allotment,2023,2016-06-14,,Active,Circle-East,1,fire;plantation
54,F-CIR-2024-109,Finance,Circular,Fire Management,Fire Management – Circular,Finance Department Circular on Fire Management,2024,2014-12-07,,Active,Circle-East,67,community;offence
55,F-GUI-2012-333,Finance,Guideline,CAMPA Utilisation,CAMPA Utilisation – Guideline,Finance Department Guideline on CAMPA Utilisation,2012,2014-12-15,,Active,Circle-West,22,budget;patrol;wildlife
56,F-GUI-2013-753,Finance,Guideline,Fire Management,Fire Management – Guideline,Finance Department Guideline on Fire Management,2013,2016-07-11,,Active,Circle-East,29,community;plantation;teak
57,F-OM-2014-987,Forest,OM,Fire Management,Fire Management – OM,Forest Department OM on Fire Management,2014,2015-06-06,,Active,Circle-West,77,marketing;plantation
58,R-NOT-2010-795,Revenue,Notification,Teak Plantation,Teak Plantation – Notification,Revenue Department Notification on Teak Plantation,2010,2014-04-27,2018-08-21,Superseded,Statewide,37,rules;teak
59,P-GUI-2013-945,Planning,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Planning Department Guideline on Digital Monitoring,2013,2015-09-12,2019-12-08,Superseded,Circle-North,6,fire;offence;plantation;wildlife
60,P-NOT-2021-982,Planning,Notification,CAMPA Utilisation,CAMPA Utilisation – Notification,Planning Department Notification on CAMPA Utilisation,2021,2012-04-24,,Active,Circle-East,53,community;patrol;wildlife
61,W-NOT-2024-213,Wildlife,Notification,Fire Management,Fire Management – Notification,Wildlife Department Notification on Fire Management,2024,2023-04-23,,Active,Circle-East,6,eco;offence;wildlife
62,R-NOT-2019-279,Revenue,Notification,Digital Monitoring,Digital Monitoring – Notification,Revenue Department Notification on Digital Monitoring,2019,2016-08-05,,Active,Circle-East,86,community;land;plantation
63,W-NOT-2014-419,Wildlife,Notification,Budget Release,Budget Release – Notification,Wildlife Department Notification on Budget Release,2014,2013-04-01,,Active,Circle-East,56,fire;land;patrol
64,R-OM-2015-103,Revenue,OM,Eco Tourism,Eco Tourism – OM,Revenue Department OM on Eco Tourism,2015,2022-08-22,2026-11-19,Superseded,Circle-South,46,marketing;rules;teak;wildlife
65,P-ORD-2017-253,Planning,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Planning Department Order on CAMPA Utilisation,2017,2014-07-06,,Active,Circle-East,47,land;rules;teak
66,F-NOT-2015-027,Forest,Notification,Budget Release,Budget Release – Notification,Forest Department Notification on Budget Release,2015,2017-02-17,,Active,Statewide,43,offence;plantation;rules
67,F-CIR-2020-611,Finance,Circular,Teak Plantation,Teak Plantation – Circular,Finance Department Circular on Teak Plantation,2020,2021-08-13,,Active,Circle-North,114,budget;digital;fire
68,R-GUI-2015-445,Revenue,Guideline,Community Forestry,Community Forestry – Guideline,Revenue Department Guideline on Community Forestry,2015,2012-01-14,,Active,Circle-West,81,community;wildlife
69,W-ORD-2023-689,Wildlife,Order,Wildlife Protection,Wildlife Protection – Order,Wildlife Department Order on Wildlife Protection,2023,2022-05-09,,Active,Circle-West,59,climate;eco;offence;wildlife
70,F-CIR-2020-576,Finance,Circular,Community Forestry,Community Forestry – Circular,Finance Department Circular on Community Forestry,2020,2019-11-27,2021-06-23,Superseded,Statewide,23,budget;digital;patrol
71,F-GUI-2015-661,Forest,Guideline,Teak Plantation,Teak Plantation – Guideline,Forest Department Guideline on Teak Plantation,2015,2023-08-01,,Active,Circle-East,12,teak;wildlife
72,W-OM-2016-021,Wildlife,OM,Fire Management,Fire Management – OM,Wildlife Department OM on Fire Management,2016,2025-09-30,,Active,Circle-East,52,patrol;teak
73,F-CIR-2013-582,Finance,Circular,CAMPA Utilisation,CAMPA Utilisation – Circular,Finance Department Circular on CAMPA Utilisation,2013,2023-11-01,,Active,Circle-North,101,plantation;teak
74,R-GUI-2019-484,Revenue,Guideline,Climate Mission,Climate Mission – Guideline,Revenue Department Guideline on Climate Mission,2019,2022-09-10,,Active,Circle-East,41,land;rules
75,W-GUI-2018-307,Wildlife,Guideline,Teak Plantation,Teak Plantation – Guideline,Wildlife Department Guideline on Teak Plantation,2018,2020-08-23,,Active,Circle-West,114,campa;climate;eco
76,P-OM-2013-779,Planning,OM,CAMPA Utilisation,CAMPA Utilisation – OM,Planning Department OM on CAMPA Utilisation,2013,2022-06-08,,Active,Circle-South,93,eco;patrol;rules;wildlife
77,P-NOT-2013-765,Planning,Notification,Teak Plantation,Teak Plantation – Notification,Planning Department Notification on Teak Plantation,2013,2016-01-07,,Active,Statewide,12,marketing;patrol
78,P-GUI-2017-306,Planning,Guideline,Teak Plantation,Teak Plantation – Guideline,Planning Department Guideline on Teak Plantation,2017,2013-08-15,,Active,Circle-West,21,budget;campa;community
79,P-ORD-2024-029,Planning,Order,Fire Management,Fire Management – Order,Planning Department Order on Fire Management,2024,2021-03-14,,Active,Circle-South,71,campa;rules;wildlife
80,R-OM-2010-332,Revenue,OM,Climate Mission,Climate Mission – OM,Revenue Department OM on Climate Mission,2010,2020-05-04,,Active,Circle-East,35,budget;community
81,F-OM-2014-845,Forest,OM,Digital Monitoring,Digital Monitoring – OM,Forest Department OM on Digital Monitoring,2014,2025-02-19,,Active,Circle-West,15,campa;offence;wildlife
82,F-CIR-2020-278,Finance,Circular,Digital Monitoring,Digital Monitoring – Circular,Finance Department Circular on Digital Monitoring,2020,2014-07-21,,Active,Circle-East,39,offence;teak
83,W-NOT-2014-244,Wildlife,Notification,Digital Monitoring,Digital Monitoring – Notification,Wildlife Department Notification on Digital Monitoring,2014,2019-06-01,,Active,Circle-South,64,climate;marketing
84,R-GUI-2011-532,Revenue,Guideline,Teak Plantation,Teak Plantation – Guideline,Revenue Department Guideline on Teak Plantation,2011,2022-10-08,,Active,Circle-East,97,community;digital;eco;land
85,R-NOT-2010-490,Revenue,Notification,Digital Monitoring,Digital Monitoring – Notification,Revenue Department Notification on Digital Monitoring,2010,2022-06-11,,Active,Circle-West,70,campa;marketing
86,F-NOT-2017-283,Forest,Notification,Eco Tourism,Eco Tourism – Notification,Forest Department Notification on Eco Tourism,2017,2014-07-24,,Active,Statewide,94,digital;patrol;rules
87,R-CIR-2014-728,Revenue,Circular,Community Forestry,Community Forestry – Circular,Revenue Department Circular on Community Forestry,2014,2022-03-19,,Active,Circle-North,66,fire;marketing;offence;wildlife
88,F-ORD-2017-510,Forest,Order,Land Allotment,Land Allotment – Order,Forest Department Order on Land Allotment,2017,2014-12-03,2015-06-17,Superseded,Statewide,72,budget;digital;plantation
89,P-OM-2023-890,Planning,OM,Wildlife Protection,Wildlife Protection – OM,Planning Department OM on Wildlife Protection,2023,2021-10-07,2026-01-13,Superseded,Statewide,107,fire;marketing;rules;wildlife
90,P-GUI-2014-467,Planning,Guideline,CAMPA Utilisation,CAMPA Utilisation – Guideline,Planning Department Guideline on CAMPA Utilisation,2014,2013-06-21,,Active,Circle-East,29,budget;marketing
91,R-GUI-2012-846,Revenue,Guideline,CAMPA Utilisation,CAMPA Utilisation – Guideline,Revenue Department Guideline on CAMPA Utilisation,2012,2021-08-25,,Active,Circle-South,22,eco;fire;land;teak
92,W-CIR-2016-188,Wildlife,Circular,Climate Mission,Climate Mission – Circular,Wildlife Department Circular on Climate Mission,2016,2015-09-12,2019-07-09,Superseded,Circle-East,74,climate;eco
93,W-NOT-2023-390,Wildlife,Notification,Eco Tourism,Eco Tourism – Notification,Wildlife Department Notification on Eco Tourism,2023,2019-05-07,,Active,Circle-West,69,digital;eco;marketing
94,W-NOT-2021-344,Wildlife,Notification,Community Forestry,Community Forestry – Notification,Wildlife Department Notification on Community Forestry,2021,2025-02-26,,Active,Circle-East,64,land;rules
95,F-ORD-2015-916,Finance,Order,Land Allotment,Land Allotment – Order,Finance Department Order on Land Allotment,2015,2016-08-09,,Active,Statewide,34,patrol;rules;teak
96,F-CIR-2014-733,Forest,Circular,Community Forestry,Community Forestry – Circular,Forest Department Circular on Community Forestry,2014,2018-01-30,,Active,Circle-West,36,climate;digital;patrol;wildlife
97,R-OM-2019-741,Revenue,OM,Teak Plantation,Teak Plantation – OM,Revenue Department OM on Teak Plantation,2019,2015-12-12,,Active,Circle-West,115,budget;community;fire
98,R-GUI-2018-388,Revenue,Guideline,Fire Management,Fire Management – Guideline,Revenue Department Guideline on Fire Management,2018,2025-04-11,,Active,Circle-East,120,land;rules
99,P-OM-2024-099,Planning,OM,Teak Plantation,Teak Plantation – OM,Planning Department OM on Teak Plantation,2024,2023-12-26,,Active,Circle-West,88,digital;eco;land;marketing
100,P-CIR-2018-314,Planning,Circular,Teak Plantation,Teak Plantation – Circular,Planning Department Circular on Teak Plantation,2018,2019-05-24,,Active,Circle-East,91,community;offence;patrol;teak
101,W-GUI-2014-328,Wildlife,Guideline,Climate Mission,Climate Mission – Guideline,Wildlife Department Guideline on Climate Mission,2014,2014-09-21,2017-10-06,Superseded,Circle-East,12,land;marketing
102,W-OM-2016-067,Wildlife,OM,Wildlife Protection,Wildlife Protection – OM,Wildlife Department OM on Wildlife Protection,2016,2011-11-03,,Active,Circle-South,78,community;digital
103,F-GUI-2014-875,Finance,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Finance Department Guideline on Digital Monitoring,2014,2010-09-23,,Active,Circle-South,27,campa;teak
104,R-GUI-2024-135,Revenue,Guideline,Wildlife Protection,Wildlife Protection – Guideline,Revenue Department Guideline on Wildlife Protection,2024,2011-09-26,,Active,Circle-North,79,community;offence
105,F-GUI-2016-289,Forest,Guideline,CAMPA Utilisation,CAMPA Utilisation – Guideline,Forest Department Guideline on CAMPA Utilisation,2016,2018-12-29,,Active,Circle-West,113,budget;climate;plantation;teak
106,F-OM-2021-610,Finance,OM,Community Forestry,Community Forestry – OM,Finance Department OM on Community Forestry,2021,2025-03-25,,Active,Circle-West,67,campa;patrol;wildlife
107,P-CIR-2016-927,Planning,Circular,Community Forestry,Community Forestry – Circular,Planning Department Circular on Community Forestry,2016,2018-12-03,,Active,Circle-South,92,fire;plantation;rules;teak
108,F-OM-2021-512,Finance,OM,Climate Mission,Climate Mission – OM,Finance Department OM on Climate Mission,2021,2020-03-27,,Active,Statewide,72,budget;climate;wildlife
109,W-OM-2011-345,Wildlife,OM,Climate Mission,Climate Mission – OM,Wildlife Department OM on Climate Mission,2011,2014-01-12,2014-12-14,Superseded,Circle-South,57,budget;marketing;wildlife
110,R-CIR-2010-813,Revenue,Circular,Digital Monitoring,Digital Monitoring – Circular,Revenue Department Circular on Digital Monitoring,2010,2019-03-22,,Active,Circle-North,119,climate;eco
111,R-ORD-2017-129,Revenue,Order,Fire Management,Fire Management – Order,Revenue Department Order on Fire Management,2017,2016-10-16,,Active,Circle-West,97,climate;plantation;teak
112,R-NOT-2023-954,Revenue,Notification,Budget Release,Budget Release – Notification,Revenue Department Notification on Budget Release,2023,2023-08-07,,Active,Circle-North,90,budget;marketing;offence;teak
113,F-ORD-2020-090,Finance,Order,Wildlife Protection,Wildlife Protection – Order,Finance Department Order on Wildlife Protection,2020,2023-09-14,,Active,Statewide,116,community;digital;fire;marketing
114,F-CIR-2015-337,Finance,Circular,Fire Management,Fire Management – Circular,Finance Department Circular on Fire Management,2015,2020-03-26,2021-06-27,Superseded,Circle-East,96,community;land;offence;wildlife
115,R-ORD-2019-948,Revenue,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Revenue Department Order on CAMPA Utilisation,2019,2018-05-05,,Active,Circle-South,35,campa;climate;fire;land
116,F-GUI-2022-797,Forest,Guideline,Fire Management,Fire Management – Guideline,Forest Department Guideline on Fire Management,2022,2011-10-16,,Active,Circle-South,95,marketing;teak;wildlife
117,F-ORD-2017-096,Finance,Order,Land Allotment,Land Allotment – Order,Finance Department Order on Land Allotment,2017,2015-07-22,,Active,Circle-South,63,campa;land;offence;rules
118,R-ORD-2011-209,Revenue,Order,Eco Tourism,Eco Tourism – Order,Revenue Department Order on Eco Tourism,2011,2014-02-15,,Active,Circle-West,85,eco;wildlife
119,F-CIR-2013-972,Forest,Circular,Fire Management,Fire Management – Circular,Forest Department Circular on Fire Management,2013,2014-07-23,2018-08-19,Superseded,Circle-East,101,fire;marketing;rules;wildlife
120,F-CIR-2025-134,Finance,Circular,Wildlife Protection,Wildlife Protection – Circular,Finance Department Circular on Wildlife Protection,2025,2012-04-12,,Active,Circle-East,50,campa;eco;fire;land
121,R-ORD-2016-055,Revenue,Order,Budget Release,Budget Release – Order,Revenue Department Order on Budget Release,2016,2013-10-13,,Active,Circle-East,27,climate;eco;land;rules
122,R-ORD-2012-683,Revenue,Order,Wildlife Protection,Wildlife Protection – Order,Revenue Department Order on Wildlife Protection,2012,2021-01-12,2024-11-30,Superseded,Circle-South,118,eco;offence
123,R-NOT-2010-990,Revenue,Notification,Fire Management,Fire Management – Notification,Revenue Department Notification on Fire Management,2010,2015-12-30,,Active,Circle-South,104,community;marketing;offence;teak
124,F-OM-2018-709,Finance,OM,CAMPA Utilisation,CAMPA Utilisation – OM,Finance Department OM on CAMPA Utilisation,2018,2017-07-04,,Active,Circle-North,27,eco;fire;offence;teak
125,F-CIR-2021-186,Forest,Circular,Teak Plantation,Teak Plantation – Circular,Forest Department Circular on Teak Plantation,2021,2014-08-07,,Active,Circle-West,47,offence;plantation
126,F-GUI-2019-353,Forest,Guideline,Wildlife Protection,Wildlife Protection – Guideline,Forest Department Guideline on Wildlife Protection,2019,2019-03-10,,Active,Circle-East,29,patrol;wildlife
127,F-CIR-2021-410,Forest,Circular,Climate Mission,Climate Mission – Circular,Forest Department Circular on Climate Mission,2021,2012-06-25,,Active,Circle-North,111,campa;climate;marketing;offence
128,W-ORD-2011-132,Wildlife,Order,Community Forestry,Community Forestry – Order,Wildlife Department Order on Community Forestry,2011,2016-12-12,2021-06-29,Superseded,Circle-North,14,digital;marketing
129,F-ORD-2011-688,Finance,Order,Digital Monitoring,Digital Monitoring – Order,Finance Department Order on Digital Monitoring,2011,2023-10-22,,Active,Circle-East,43,budget;fire
130,W-OM-2017-317,Wildlife,OM,CAMPA Utilisation,CAMPA Utilisation – OM,Wildlife Department OM on CAMPA Utilisation,2017,2011-09-06,,Active,Circle-North,95,fire;plantation;teak
131,P-GUI-2023-568,Planning,Guideline,Budget Release,Budget Release – Guideline,Planning Department Guideline on Budget Release,2023,2018-07-11,,Active,Statewide,76,budget;campa;eco;fire
132,R-NOT-2018-366,Revenue,Notification,Budget Release,Budget Release – Notification,Revenue Department Notification on Budget Release,2018,2016-09-16,,Active,Circle-South,7,budget;climate;land;patrol
133,F-ORD-2016-557,Forest,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Forest Department Order on CAMPA Utilisation,2016,2019-06-27,,Active,Circle-North,79,campa;fire;land;offence
134,F-GUI-2022-108,Forest,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Forest Department Guideline on Digital Monitoring,2022,2018-02-25,,Active,Statewide,31,community;fire;offence
135,P-GUI-2018-834,Planning,Guideline,Teak Plantation,Teak Plantation – Guideline,Planning Department Guideline on Teak Plantation,2018,2020-11-19,,Active,Circle-North,23,campa;eco;offence
136,F-OM-2017-967,Forest,OM,Budget Release,Budget Release – OM,Forest Department OM on Budget Release,2017,2020-04-10,,Active,Circle-South,47,budget;fire
137,P-CIR-2025-674,Planning,Circular,Budget Release,Budget Release – Circular,Planning Department Circular on Budget Release,2025,2011-07-15,,Active,Circle-South,79,offence;plantation;teak
138,R-OM-2020-337,Revenue,OM,Teak Plantation,Teak Plantation – OM,Revenue Department OM on Teak Plantation,2020,2024-07-02,,Active,Circle-East,114,marketing;patrol;rules
139,F-OM-2017-421,Finance,OM,Climate Mission,Climate Mission – OM,Finance Department OM on Climate Mission,2017,2024-02-03,,Active,Circle-South,28,climate;rules
140,R-ORD-2020-452,Revenue,Order,Land Allotment,Land Allotment – Order,Revenue Department Order on Land Allotment,2020,2015-08-29,,Active,Circle-South,47,climate;fire;offence
141,R-OM-2017-472,Revenue,OM,Climate Mission,Climate Mission – OM,Revenue Department OM on Climate Mission,2017,2018-02-07,,Active,Circle-West,68,campa;offence;plantation
142,F-GUI-2013-077,Finance,Guideline,Wildlife Protection,Wildlife Protection – Guideline,Finance Department Guideline on Wildlife Protection,2013,2021-08-19,,Active,Circle-North,46,land;teak
143,R-ORD-2020-158,Revenue,Order,Wildlife Protection,Wildlife Protection – Order,Revenue Department Order on Wildlife Protection,2020,2021-11-07,,Active,Circle-South,98,offence;plantation
144,F-CIR-2013-563,Finance,Circular,CAMPA Utilisation,CAMPA Utilisation – Circular,Finance Department Circular on CAMPA Utilisation,2013,2025-11-08,,Active,Circle-East,116,budget;digital;fire
145,F-OM-2017-666,Finance,OM,Fire Management,Fire Management – OM,Finance Department OM on Fire Management,2017,2021-05-15,,Active,Circle-West,108,climate;plantation
146,R-GUI-2022-045,Revenue,Guideline,Budget Release,Budget Release – Guideline,Revenue Department Guideline on Budget Release,2022,2025-03-31,,Active,Statewide,15,campa;rules
147,P-CIR-2011-207,Planning,Circular,Eco Tourism,Eco Tourism – Circular,Planning Department Circular on Eco Tourism,2011,2022-08-07,2026-03-05,Superseded,Circle-East,77,fire;land;rules
148,F-ORD-2015-532,Finance,Order,Budget Release,Budget Release – Order,Finance Department Order on Budget Release,2015,2020-01-13,,Active,Circle-West,76,community;digital
149,R-ORD-2021-601,Revenue,Order,Digital Monitoring,Digital Monitoring – Order,Revenue Department Order on Digital Monitoring,2021,2013-03-27,2018-02-23,Superseded,Circle-East,5,campa;community;eco;patrol
150,R-CIR-2014-194,Revenue,Circular,CAMPA Utilisation,CAMPA Utilisation – Circular,Revenue Department Circular on CAMPA Utilisation,2014,2019-09-14,,Active,Circle-West,32,community;plantation
151,F-ORD-2010-795,Forest,Order,Wildlife Protection,Wildlife Protection – Order,Forest Department Order on Wildlife Protection,2010,2014-05-11,2018-11-19,Superseded,Circle-East,33,climate;community;eco;patrol
152,F-OM-2019-214,Finance,OM,Climate Mission,Climate Mission – OM,Finance Department OM on Climate Mission,2019,2018-03-05,,Active,Statewide,26,budget;community;land;offence
