Sample_ID,Log_Type,Pattern,Start_Index
S42,STRESS,HHLH,4
S42,STRESS,HHLH,8
S42,STRESS,HHLH,50
S42,STRESS,HHLH,67
S44,STRESS,HHLH,3
S44,STRESS,HHLH,25
S44,STRESS,HHLH,37
S44,STRESS,HHLH,65
S46,STRESS,HHLH,42
S46,STRESS,HHLH,53
S48,STRESS,HHLH,20
S48,STRESS,HHLH,23
S48,STRESS,HHLH,55
S50,STRESS,HHLH,9
S50,STRESS,HHLH,14
S50,STRESS,HHLH,38
S50,STRESS,HHLH,41
S50,STRESS,HHLH,46
S50,STRESS,HHLH,51
S50,STRESS,HHLH,57
S50,STRESS,HHLH,72
S52,STRESS,HHLH,20
S52,STRESS,HHLH,23
S52,STRESS,HHLH,71
S54,STRESS,HHLH,4
S54,STRESS,HHLH,7
S54,STRESS,HHLH,44
S54,STRESS,HHLH,59
S54,STRESS,HHLH,62
S56,STRESS,HHLH,6
S56,STRESS,HHLH,57
S58,STRESS,HHLH,7
S58,STRESS,HHLH,43
S58,STRESS,HHLH,49
S58,STRESS,HHLH,53
S58,STRESS,HHLH,57
S58,STRESS,HHLH,71
S60,STRESS,HHLH,48
S60,STRESS,HHLH,72
S60,STRESS,HHLH,76
S62,STRESS,HHLH,3
S62,STRESS,HHLH,20
S62,STRESS,HHLH,36
S62,STRESS,HHLH,53
S62,STRESS,HHLH,56
S62,STRESS,HHLH,63
S62,STRESS,HHLH,69
S62,STRESS,HHLH,72
S64,STRESS,HHLH,28
S64,STRESS,HHLH,42
S64,STRESS,HHLH,48
S64,STRESS,HHLH,53
S64,STRESS,HHLH,56
S66,STRESS,HHLH,11
S66,STRESS,HHLH,40
S66,STRESS,HHLH,56
S68,STRESS,HHLH,66
S70,STRESS,HHLH,32
S72,STRESS,HHLH,21
S72,STRESS,HHLH,46
S72,STRESS,HHLH,56
S72,STRESS,HHLH,69
S74,STRESS,HHLH,18
S74,STRESS,HHLH,30
S74,STRESS,HHLH,33
S74,STRESS,HHLH,73
S76,STRESS,HHLH,15
S76,STRESS,HHLH,20
S76,STRESS,HHLH,25
S76,STRESS,HHLH,47
S78,STRESS,HHLH,13
S78,STRESS,HHLH,18
S78,STRESS,HHLH,21
S78,STRESS,HHLH,52
S80,STRESS,HHLH,28
S80,STRESS,HHLH,31
S80,STRESS,HHLH,40
S80,STRESS,HHLH,44
S80,STRESS,HHLH,52
S82,STRESS,HHLH,31
S82,STRESS,HHLH,46
S82,STRESS,HHLH,60
S82,STRESS,HHLH,66
S84,STRESS,HHLH,1
S84,STRESS,HHLH,29
S84,STRESS,HHLH,42
S84,STRESS,HHLH,53
S84,STRESS,HHLH,72
S86,STRESS,HHLH,21
S86,STRESS,HHLH,48
S88,STRESS,HHLH,15
S88,STRESS,HHLH,24
S88,STRESS,HHLH,32
S88,STRESS,HHLH,45
S90,STRESS,HHLH,5
S90,STRESS,HHLH,12
S90,STRESS,HHLH,41
S90,STRESS,HHLH,50
S90,STRESS,HHLH,57
S90,STRESS,HHLH,75
S92,STRESS,HHLH,10
S92,STRESS,HHLH,28
S92,STRESS,HHLH,61
S92,STRESS,HHLH,64
S92,STRESS,HHLH,74
S94,STRESS,HHLH,15
S94,STRESS,HHLH,23
S94,STRESS,HHLH,34
S94,STRESS,HHLH,37
S94,STRESS,HHLH,63
S96,STRESS,HHLH,3
S96,STRESS,HHLH,12
S96,STRESS,HHLH,32
S96,STRESS,HHLH,63
S98,STRESS,HHLH,11
S98,STRESS,HHLH,24
S98,STRESS,HHLH,27
S98,STRESS,HHLH,36
S98,STRESS,HHLH,52
S98,STRESS,HHLH,62
S98,STRESS,HHLH,69
S100,STRESS,HHLH,26
S100,STRESS,HHLH,53
S100,STRESS,HHLH,65
S102,STRESS,HHLH,39
S102,STRESS,HHLH,72
S104,STRESS,HHLH,0
S104,STRESS,HHLH,35
S104,STRESS,HHLH,40
S104,STRESS,HHLH,45
S104,STRESS,HHLH,48
S106,STRESS,HHLH,10
S106,STRESS,HHLH,41
S106,STRESS,HHLH,55
S106,STRESS,HHLH,70
S108,STRESS,HHLH,10
S108,STRESS,HHLH,14
S108,STRESS,HHLH,34
S108,STRESS,HHLH,39
S108,STRESS,HHLH,42
S108,STRESS,HHLH,46
S108,STRESS,HHLH,57
S110,STRESS,HHLH,5
S110,STRESS,HHLH,8
S110,STRESS,HHLH,11
S110,STRESS,HHLH,17
S110,STRESS,HHLH,37
S110,STRESS,HHLH,42
S110,STRESS,HHLH,49
S110,STRESS,HHLH,76
S112,STRESS,HHLH,1
S112,STRESS,HHLH,4
S112,STRESS,HHLH,16
S112,STRESS,HHLH,25
S112,STRESS,HHLH,73
S114,STRESS,HHLH,1
S114,STRESS,HHLH,55
S116,STRESS,HHLH,3
S116,STRESS,HHLH,16
S116,STRESS,HHLH,49
S116,STRESS,HHLH,63
S116,STRESS,HHLH,66
S116,STRESS,HHLH,69
S118,STRESS,HHLH,2
S118,STRESS,HHLH,22
S118,STRESS,HHLH,37
S118,STRESS,HHLH,43
S118,STRESS,HHLH,49
S118,STRESS,HHLH,70
S120,STRESS,HHLH,31
S120,STRESS,HHLH,51
S122,STRESS,HHLH,28
S122,STRESS,HHLH,44
S124,STRESS,HHLH,7
S124,STRESS,HHLH,19
S124,STRESS,HHLH,29
S124,STRESS,HHLH,35
S124,STRESS,HHLH,43
S124,STRESS,HHLH,63
S126,STRESS,HHLH,0
S126,STRESS,HHLH,5
S126,STRESS,HHLH,9
S126,STRESS,HHLH,12
S126,STRESS,HHLH,27
S126,STRESS,HHLH,41
S126,STRESS,HHLH,58
S126,STRESS,HHLH,63
S126,STRESS,HHLH,68
S126,STRESS,HHLH,75
S128,STRESS,HHLH,21
S128,STRESS,HHLH,24
S128,STRESS,HHLH,49
S130,STRESS,HHLH,15
S130,STRESS,HHLH,38
S132,STRESS,HHLH,11
S132,STRESS,HHLH,15
S132,STRESS,HHLH,25
S132,STRESS,HHLH,28
S132,STRESS,HHLH,33
S132,STRESS,HHLH,70
S134,STRESS,HHLH,2
S134,STRESS,HHLH,12
S134,STRESS,HHLH,45
S134,STRESS,HHLH,48
S134,STRESS,HHLH,65
S134,STRESS,HHLH,68
S136,STRESS,HHLH,56
S136,STRESS,HHLH,63
S136,STRESS,HHLH,73
S138,STRESS,HHLH,4
S138,STRESS,HHLH,31
S138,STRESS,HHLH,48
S138,STRESS,HHLH,56
S140,STRESS,HHLH,2
S140,STRESS,HHLH,30
S140,STRESS,HHLH,33
S140,STRESS,HHLH,36
S140,STRESS,HHLH,40
S140,STRESS,HHLH,46
S140,STRESS,HHLH,59
S142,STRESS,HHLH,17
S142,STRESS,HHLH,22
S142,STRESS,HHLH,28
S144,STRESS,HHLH,1
S144,STRESS,HHLH,4
S144,STRESS,HHLH,44
S144,STRESS,HHLH,63
S144,STRESS,HHLH,69
S144,STRESS,HHLH,72
S146,STRESS,HHLH,2
S146,STRESS,HHLH,16
S146,STRESS,HHLH,26
S146,STRESS,HHLH,29
S146,STRESS,HHLH,32
S146,STRESS,HHLH,48
S148,STRESS,HHLH,2
S148,STRESS,HHLH,39
S148,STRESS,HHLH,51
S148,STRESS,HHLH,54
S148,STRESS,HHLH,57
S148,STRESS,HHLH,68
S148,STRESS,HHLH,74
S150,STRESS,HHLH,1
S150,STRESS,HHLH,9
S150,STRESS,HHLH,13
S150,STRESS,HHLH,52
S150,STRESS,HHLH,73
S152,STRESS,HHLH,2
S152,STRESS,HHLH,17
S152,STRESS,HHLH,25
S152,STRESS,HHLH,29
S152,STRESS,HHLH,57
S152,STRESS,HHLH,64
S154,STRESS,HHLH,5
S154,STRESS,HHLH,20
S154,STRESS,HHLH,23
S154,STRESS,HHLH,26
S154,STRESS,HHLH,37
S154,STRESS,HHLH,56
S156,STRESS,HHLH,12
S156,STRESS,HHLH,28
S156,STRESS,HHLH,37
S156,STRESS,HHLH,44
S156,STRESS,HHLH,57
S158,STRESS,HHLH,6
S158,STRESS,HHLH,18
S158,STRESS,HHLH,22
S158,STRESS,HHLH,28
S158,STRESS,HHLH,35
S158,STRESS,HHLH,45
S158,STRESS,HHLH,68
S160,STRESS,HHLH,9
S160,STRESS,HHLH,18
S160,STRESS,HHLH,29
S162,STRESS,HHLH,5
S162,STRESS,HHLH,12
S162,STRESS,HHLH,46
S162,STRESS,HHLH,52
S162,STRESS,HHLH,69
S164,STRESS,HHLH,4
S164,STRESS,HHLH,23
S164,STRESS,HHLH,54
S164,STRESS,HHLH,60
S164,STRESS,HHLH,65
S164,STRESS,HHLH,69
S166,STRESS,HHLH,23
S166,STRESS,HHLH,39
S166,STRESS,HHLH,44
S166,STRESS,HHLH,56
S166,STRESS,HHLH,74
S168,STRESS,HHLH,1
S168,STRESS,HHLH,6
S168,STRESS,HHLH,9
S168,STRESS,HHLH,16
S168,STRESS,HHLH,22
S168,STRESS,HHLH,36
S168,STRESS,HHLH,49
S168,STRESS,HHLH,58
S170,STRESS,HHLH,15
S170,STRESS,HHLH,21
S170,STRESS,HHLH,38
S170,STRESS,HHLH,71
S172,STRESS,HHLH,37
S172,STRESS,HHLH,45
S172,STRESS,HHLH,56
S172,STRESS,HHLH,60
S172,STRESS,HHLH,75
S174,STRESS,HHLH,23
S174,STRESS,HHLH,27
S174,STRESS,HHLH,37
S174,STRESS,HHLH,67
S174,STRESS,HHLH,74
S176,STRESS,HHLH,4
S176,STRESS,HHLH,53
S176,STRESS,HHLH,56
S176,STRESS,HHLH,60
S178,STRESS,HHLH,22
S178,STRESS,HHLH,28
S178,STRESS,HHLH,41
S178,STRESS,HHLH,57
S178,STRESS,HHLH,70
S180,STRESS,HHLH,6
S180,STRESS,HHLH,32
S180,STRESS,HHLH,35
S180,STRESS,HHLH,38
S180,STRESS,HHLH,41
S180,STRESS,HHLH,62
S182,STRESS,HHLH,6
S182,STRESS,HHLH,9
S182,STRESS,HHLH,50
S182,STRESS,HHLH,57
S182,STRESS,HHLH,70
S182,STRESS,HHLH,75
S184,STRESS,HHLH,18
S184,STRESS,HHLH,23
S184,STRESS,HHLH,27
S184,STRESS,HHLH,38
S184,STRESS,HHLH,51
S184,STRESS,HHLH,58
S184,STRESS,HHLH,74
S186,STRESS,HHLH,12
S186,STRESS,HHLH,27
S186,STRESS,HHLH,40
S186,STRESS,HHLH,45
S186,STRESS,HHLH,59
S186,STRESS,HHLH,74
S188,STRESS,HHLH,31
S188,STRESS,HHLH,63
S190,STRESS,HHLH,12
S190,STRESS,HHLH,26
S190,STRESS,HHLH,37
S190,STRESS,HHLH,48
S192,STRESS,HHLH,25
S192,STRESS,HHLH,34
S192,STRESS,HHLH,64
S192,STRESS,HHLH,70
S192,STRESS,HHLH,73
S194,STRESS,HHLH,9
S194,STRESS,HHLH,30
S194,STRESS,HHLH,40
S194,STRESS,HHLH,59
S194,STRESS,HHLH,67
S196,STRESS,HHLH,2
S196,STRESS,HHLH,6
S196,STRESS,HHLH,22
S196,STRESS,HHLH,25
S196,STRESS,HHLH,30
S196,STRESS,HHLH,51
S196,STRESS,HHLH,59
S198,STRESS,HHLH,7
S198,STRESS,HHLH,10
S198,STRESS,HHLH,66
S198,STRESS,HHLH,76
S200,STRESS,HHLH,8
S200,STRESS,HHLH,23
S200,STRESS,HHLH,35
S200,STRESS,HHLH,38
S200,STRESS,HHLH,52
S200,STRESS,HHLH,57
S200,STRESS,HHLH,63
S200,STRESS,HHLH,67
S202,STRESS,HHLH,34
S202,STRESS,HHLH,37
S202,STRESS,HHLH,40
S204,STRESS,HHLH,2
S204,STRESS,HHLH,8
S204,STRESS,HHLH,41
S204,STRESS,HHLH,46
S204,STRESS,HHLH,69
S206,STRESS,HHLH,19
S206,STRESS,HHLH,23
S206,STRESS,HHLH,49
S206,STRESS,HHLH,58
S208,STRESS,HHLH,7
S208,STRESS,HHLH,66
S208,STRESS,HHLH,69
S210,STRESS,HHLH,11
S210,STRESS,HHLH,39
S210,STRESS,HHLH,75
S212,STRESS,HHLH,3
S212,STRESS,HHLH,60
S212,STRESS,HHLH,67
S212,STRESS,HHLH,73
S214,STRESS,HHLH,28
S216,STRESS,HHLH,5
S216,STRESS,HHLH,45
S216,STRESS,HHLH,69
S218,STRESS,HHLH,7
S218,STRESS,HHLH,10
S218,STRESS,HHLH,44
S218,STRESS,HHLH,47
S218,STRESS,HHLH,60
S218,STRESS,HHLH,76
S220,STRESS,HHLH,2
S220,STRESS,HHLH,27
S220,STRESS,HHLH,30
S220,STRESS,HHLH,35
S220,STRESS,HHLH,49
S220,STRESS,HHLH,55
S220,STRESS,HHLH,68
S222,STRESS,HHLH,2
S222,STRESS,HHLH,10
S222,STRESS,HHLH,22
S222,STRESS,HHLH,30
S222,STRESS,HHLH,34
S222,STRESS,HHLH,48
S222,STRESS,HHLH,52
S222,STRESS,HHLH,55
S222,STRESS,HHLH,76
S224,STRESS,HHLH,30
S224,STRESS,HHLH,43
S224,STRESS,HHLH,46
S224,STRESS,HHLH,67
S226,STRESS,HHLH,11
S226,STRESS,HHLH,30
S226,STRESS,HHLH,49
S226,STRESS,HHLH,68
S228,STRESS,HHLH,0
S228,STRESS,HHLH,3
S228,STRESS,HHLH,9
S228,STRESS,HHLH,25
S228,STRESS,HHLH,30
S228,STRESS,HHLH,43
S228,STRESS,HHLH,54
S228,STRESS,HHLH,67
S228,STRESS,HHLH,74
S230,STRESS,HHLH,16
S230,STRESS,HHLH,58
S230,STRESS,HHLH,62
S230,STRESS,HHLH,68
S232,STRESS,HHLH,45
S232,STRESS,HHLH,63
S234,STRESS,HHLH,3
S234,STRESS,HHLH,7
S234,STRESS,HHLH,10
S234,STRESS,HHLH,14
S234,STRESS,HHLH,26
S234,STRESS,HHLH,52
S234,STRESS,HHLH,56
S234,STRESS,HHLH,59
S234,STRESS,HHLH,72
S236,STRESS,HHLH,12
S236,STRESS,HHLH,34
S236,STRESS,HHLH,45
S236,STRESS,HHLH,48
S236,STRESS,HHLH,69
S238,STRESS,HHLH,19
S238,STRESS,HHLH,26
S238,STRESS,HHLH,29
S238,STRESS,HHLH,49
S238,STRESS,HHLH,54
S238,STRESS,HHLH,63
S238,STRESS,HHLH,71
S238,STRESS,HHLH,74
S240,STRESS,HHLH,7
S240,STRESS,HHLH,63
S242,STRESS,HHLH,19
S242,STRESS,HHLH,36
S242,STRESS,HHLH,68
S244,STRESS,HHLH,6
S244,STRESS,HHLH,18
S244,STRESS,HHLH,26
S244,STRESS,HHLH,35
S244,STRESS,HHLH,59
S246,STRESS,HHLH,5
S246,STRESS,HHLH,35
S246,STRESS,HHLH,38
S246,STRESS,HHLH,75
S248,STRESS,HHLH,1
S248,STRESS,HHLH,15
S248,STRESS,HHLH,23
S248,STRESS,HHLH,32
S250,STRESS,HHLH,15
S250,STRESS,HHLH,26
S250,STRESS,HHLH,37
S250,STRESS,HHLH,44
S250,STRESS,HHLH,54
S250,STRESS,HHLH,58
S250,STRESS,HHLH,66
S252,STRESS,HHLH,37
S252,STRESS,HHLH,44
S252,STRESS,HHLH,49
S254,STRESS,HHLH,7
S254,STRESS,HHLH,29
S254,STRESS,HHLH,44
S254,STRESS,HHLH,56
S256,STRESS,HHLH,19
S256,STRESS,HHLH,23
S256,STRESS,HHLH,37
S256,STRESS,HHLH,40
S256,STRESS,HHLH,63
S258,STRESS,HHLH,8
S258,STRESS,HHLH,11
S258,STRESS,HHLH,14
S258,STRESS,HHLH,19
S258,STRESS,HHLH,55
S258,STRESS,HHLH,58
S260,STRESS,HHLH,14
S260,STRESS,HHLH,17
S260,STRESS,HHLH,31
S260,STRESS,HHLH,35
S260,STRESS,HHLH,44
S260,STRESS,HHLH,54
S262,STRESS,HHLH,27
S262,STRESS,HHLH,56
S264,STRESS,HHLH,2
S264,STRESS,HHLH,6
S264,STRESS,HHLH,33
S264,STRESS,HHLH,50
S264,STRESS,HHLH,60
S264,STRESS,HHLH,72
S264,STRESS,HHLH,75
S266,STRESS,HHLH,8
S266,STRESS,HHLH,35
S268,STRESS,HHLH,24
S268,STRESS,HHLH,36
S268,STRESS,HHLH,45
S268,STRESS,HHLH,59
S268,STRESS,HHLH,63
S268,STRESS,HHLH,74
S270,STRESS,HHLH,14
S270,STRESS,HHLH,29
S270,STRESS,HHLH,44
S270,STRESS,HHLH,47
S270,STRESS,HHLH,60
S270,STRESS,HHLH,73
S272,STRESS,HHLH,24
S272,STRESS,HHLH,34
S272,STRESS,HHLH,37
S272,STRESS,HHLH,56
S272,STRESS,HHLH,62
S272,STRESS,HHLH,71
S274,STRESS,HHLH,1
S274,STRESS,HHLH,7
S274,STRESS,HHLH,35
S274,STRESS,HHLH,38
S274,STRESS,HHLH,45
S274,STRESS,HHLH,71
S276,STRESS,HHLH,16
S276,STRESS,HHLH,24
S276,STRESS,HHLH,34
S276,STRESS,HHLH,40
S276,STRESS,HHLH,61
S276,STRESS,HHLH,65
S278,STRESS,HHLH,15
S278,STRESS,HHLH,39
S278,STRESS,HHLH,59
S278,STRESS,HHLH,64
S280,STRESS,HHLH,13
S280,STRESS,HHLH,46
S280,STRESS,HHLH,61
S280,STRESS,HHLH,76
S282,STRESS,HHLH,18
S282,STRESS,HHLH,34
S284,STRESS,HHLH,4
S284,STRESS,HHLH,13
S284,STRESS,HHLH,18
S284,STRESS,HHLH,26
S284,STRESS,HHLH,41
S284,STRESS,HHLH,56
S286,STRESS,HHLH,1
S286,STRESS,HHLH,76
S288,STRESS,HHLH,5
S288,STRESS,HHLH,60
S288,STRESS,HHLH,67
S290,STRESS,HHLH,5
S290,STRESS,HHLH,8
S290,STRESS,HHLH,25
S290,STRESS,HHLH,45
S290,STRESS,HHLH,49
S290,STRESS,HHLH,57
S290,STRESS,HHLH,64
S290,STRESS,HHLH,67
S292,STRESS,HHLH,14
S292,STRESS,HHLH,23
S292,STRESS,HHLH,41
S292,STRESS,HHLH,49
S292,STRESS,HHLH,67
S294,STRESS,HHLH,21
S294,STRESS,HHLH,41
S294,STRESS,HHLH,74
S296,STRESS,HHLH,54
S296,STRESS,HHLH,63
S297,GENE,ACGTACG,65
S298,STRESS,HHLH,24
S298,STRESS,HHLH,42
S298,STRESS,HHLH,45
S298,STRESS,HHLH,51
S300,STRESS,HHLH,10
S300,STRESS,HHLH,22
S300,STRESS,HHLH,54
S300,STRESS,HHLH,61
S302,STRESS,HHLH,5
S302,STRESS,HHLH,64
S302,STRESS,HHLH,74
S304,STRESS,HHLH,2
S304,STRESS,HHLH,6
S304,STRESS,HHLH,24
S306,STRESS,HHLH,23
S308,STRESS,HHLH,19
S308,STRESS,HHLH,27
S308,STRESS,HHLH,49
S308,STRESS,HHLH,73
S310,STRESS,HHLH,31
S310,STRESS,HHLH,40
S310,STRESS,HHLH,53
S310,STRESS,HHLH,71
S310,STRESS,HHLH,74
S312,STRESS,HHLH,22
S312,STRESS,HHLH,37
S314,STRESS,HHLH,10
S314,STRESS,HHLH,33
S316,STRESS,HHLH,1
S316,STRESS,HHLH,6
S316,STRESS,HHLH,50
S316,STRESS,HHLH,57
S316,STRESS,HHLH,75
S318,STRESS,HHLH,0
S318,STRESS,HHLH,15
S318,STRESS,HHLH,44
S318,STRESS,HHLH,59
S318,STRESS,HHLH,73
S320,STRESS,HHLH,11
S320,STRESS,HHLH,15
S320,STRESS,HHLH,18
S320,STRESS,HHLH,25
S320,STRESS,HHLH,30
S320,STRESS,HHLH,64
S320,STRESS,HHLH,69
S322,STRESS,HHLH,5
S322,STRESS,HHLH,51
S322,STRESS,HHLH,56
S322,STRESS,HHLH,60
S322,STRESS,HHLH,69
S324,STRESS,HHLH,4
S324,STRESS,HHLH,7
S324,STRESS,HHLH,19
S324,STRESS,HHLH,44
S324,STRESS,HHLH,48
S324,STRESS,HHLH,59
S326,STRESS,HHLH,8
S326,STRESS,HHLH,16
S326,STRESS,HHLH,43
S326,STRESS,HHLH,56
S326,STRESS,HHLH,59
S326,STRESS,HHLH,72
S328,STRESS,HHLH,4
S328,STRESS,HHLH,16
S328,STRESS,HHLH,31
S330,STRESS,HHLH,0
S330,STRESS,HHLH,42
S330,STRESS,HHLH,56
S332,STRESS,HHLH,11
S332,STRESS,HHLH,15
S334,STRESS,HHLH,26
S334,STRESS,HHLH,36
S334,STRESS,HHLH,52
S334,STRESS,HHLH,65
S334,STRESS,HHLH,76
S336,STRESS,HHLH,18
S336,STRESS,HHLH,21
S336,STRESS,HHLH,31
S336,STRESS,HHLH,38
S336,STRESS,HHLH,41
S336,STRESS,HHLH,68
S338,STRESS,HHLH,1
S338,STRESS,HHLH,5
S338,STRESS,HHLH,28
S338,STRESS,HHLH,47
S338,STRESS,HHLH,54
S338,STRESS,HHLH,63
S340,STRESS,HHLH,2
S340,STRESS,HHLH,13
S340,STRESS,HHLH,38
S340,STRESS,HHLH,56
S340,STRESS,HHLH,67
S342,STRESS,HHLH,19
S342,STRESS,HHLH,34
S342,STRESS,HHLH,60
S344,STRESS,HHLH,4
S344,STRESS,HHLH,16
S344,STRESS,HHLH,21
S346,STRESS,HHLH,21
S346,STRESS,HHLH,55
S346,STRESS,HHLH,59
S346,STRESS,HHLH,74
S348,STRESS,HHLH,5
S348,STRESS,HHLH,9
S348,STRESS,HHLH,12
S348,STRESS,HHLH,24
S348,STRESS,HHLH,28
S348,STRESS,HHLH,38
S348,STRESS,HHLH,42
S348,STRESS,HHLH,51
S348,STRESS,HHLH,55
S348,STRESS,HHLH,64
S350,STRESS,HHLH,6
S350,STRESS,HHLH,45
S350,STRESS,HHLH,75
S352,STRESS,HHLH,18
S352,STRESS,HHLH,21
S352,STRESS,HHLH,29
S352,STRESS,HHLH,33
S352,STRESS,HHLH,36
S354,STRESS,HHLH,13
S354,STRESS,HHLH,17
S354,STRESS,HHLH,21
S354,STRESS,HHLH,24
S354,STRESS,HHLH,35
S354,STRESS,HHLH,39
S354,STRESS,HHLH,46
S354,STRESS,HHLH,56
S354,STRESS,HHLH,60
S354,STRESS,HHLH,66
S356,STRESS,HHLH,4
S358,STRESS,HHLH,25
S358,STRESS,HHLH,35
S358,STRESS,HHLH,46
S358,STRESS,HHLH,71
S360,STRESS,HHLH,0
S360,STRESS,HHLH,25
S360,STRESS,HHLH,65
S360,STRESS,HHLH,68
S362,STRESS,HHLH,14
S362,STRESS,HHLH,34
S362,STRESS,HHLH,38
S362,STRESS,HHLH,63
S362,STRESS,HHLH,66
S364,STRESS,HHLH,50
S364,STRESS,HHLH,54
S364,STRESS,HHLH,58
S364,STRESS,HHLH,65
S366,STRESS,HHLH,29
S366,STRESS,HHLH,53
S366,STRESS,HHLH,60
S368,STRESS,HHLH,1
S368,STRESS,HHLH,4
S368,STRESS,HHLH,26
S368,STRESS,HHLH,32
S368,STRESS,HHLH,51
S368,STRESS,HHLH,60
S368,STRESS,HHLH,63
S370,STRESS,HHLH,32
S370,STRESS,HHLH,39
S372,STRESS,HHLH,8
S372,STRESS,HHLH,38
S372,STRESS,HHLH,49
S372,STRESS,HHLH,57
S374,STRESS,HHLH,23
S374,STRESS,HHLH,37
S374,STRESS,HHLH,48
S374,STRESS,HHLH,51
S374,STRESS,HHLH,61
S374,STRESS,HHLH,65
S374,STRESS,HHLH,70
S376,STRESS,HHLH,33
S376,STRESS,HHLH,39
S376,STRESS,HHLH,55
S376,STRESS,HHLH,76
S378,STRESS,HHLH,23
S378,STRESS,HHLH,42
S378,STRESS,HHLH,45
S378,STRESS,HHLH,68
S380,STRESS,HHLH,13
S380,STRESS,HHLH,21
S380,STRESS,HHLH,30
S380,STRESS,HHLH,34
S380,STRESS,HHLH,53
S382,STRESS,HHLH,10
S382,STRESS,HHLH,19
S382,STRESS,HHLH,48
S382,STRESS,HHLH,73
S384,STRESS,HHLH,44
S384,STRESS,HHLH,50
S386,STRESS,HHLH,1
S386,STRESS,HHLH,7
S386,STRESS,HHLH,20
S386,STRESS,HHLH,39
S386,STRESS,HHLH,50
S386,STRESS,HHLH,69
S386,STRESS,HHLH,72
S388,STRESS,HHLH,3
S388,STRESS,HHLH,9
S388,STRESS,HHLH,19
S388,STRESS,HHLH,42
S388,STRESS,HHLH,45
S388,STRESS,HHLH,57
S388,STRESS,HHLH,63
S390,STRESS,HHLH,9
S392,STRESS,HHLH,24
S392,STRESS,HHLH,39
S392,STRESS,HHLH,60
S392,STRESS,HHLH,63
S392,STRESS,HHLH,69
S392,STRESS,HHLH,73
S394,STRESS,HHLH,10
S394,STRESS,HHLH,22
S394,STRESS,HHLH,31
S394,STRESS,HHLH,42
S394,STRESS,HHLH,48
S394,STRESS,HHLH,61
S396,STRESS,HHLH,11
S396,STRESS,HHLH,34
S396,STRESS,HHLH,37
S396,STRESS,HHLH,40
S396,STRESS,HHLH,43
S396,STRESS,HHLH,53
S396,STRESS,HHLH,58
S396,STRESS,HHLH,76
S398,STRESS,HHLH,0
S398,STRESS,HHLH,39
S400,STRESS,HHLH,15
