ruleId,priorityScore,effectiveFrom,effectiveToOrBlank,jurisdiction,minLevel,maxLevel,domain,actionType,minThreshold,maxThreshold,requiresWrittenOrder,requiresLegalVet,primaryApproverRole,secondaryApproverRole,citationCode,shortTitle
16,4,2024-09-06,,Statewide,Circle,HeadOffice,Transport,PermitIssue,100.00,125.00,1,0,CF,,RULE-TR-0016,Transport PermitIssue threshold rule 16
17,94,2018-09-14,,Circle-West,Circle,HeadOffice,Land,LandUseChange,0.00,5000.00,0,1,PCCF,RO,RULE-LA-0017,Land LandUseChange threshold rule 17
18,30,2025-09-26,,Circle-East,Circle,HeadOffice,Timber,OffenceCompounding,25.00,75.00,1,1,DFO,,RULE-TI-0018,Timber OffenceCompounding threshold rule 18
19,44,2022-05-27,,Circle-East,Range,Circle,Land,FireClearance,25.00,75.00,1,0,LegalOfficer,,RULE-LA-0019,Land FireClearance threshold rule 19
20,28,2019-04-24,2022-04-24,Circle-North,Range,Division,Land,OffenceCompounding,0.00,50.00,0,1,DFO,APCCF,RULE-LA-0020,Land OffenceCompounding threshold rule 20
21,36,2025-05-19,2029-05-19,Circle-East,Circle,HeadOffice,Fire,LandUseChange,50.00,150.00,1,1,LegalOfficer,,RULE-FI-0021,Fire LandUseChange threshold rule 21
22,87,2022-12-12,2025-12-12,Circle-South,Beat,Range,Land,BudgetSanction,10.00,35.00,0,1,LegalOfficer,RO,RULE-LA-0022,Land BudgetSanction threshold rule 22
23,81,2016-04-17,,Circle-West,Division,Division,Fire,TransportPass,10.00,510.00,1,0,LegalOfficer,,RULE-FI-0023,Fire TransportPass threshold rule 23
24,92,2015-05-29,2018-05-29,Circle-South,Range,HeadOffice,Fire,TransportPass,0.00,1000.00,0,0,DFO,,RULE-FI-0024,Fire TransportPass threshold rule 24
25,26,2022-01-06,,Statewide,Circle,HeadOffice,Land,OffenceCompounding,500.00,550.00,1,0,LegalOfficer,,RULE-LA-0025,Land OffenceCompounding threshold rule 25
26,92,2016-05-20,2020-05-20,Statewide,Division,HeadOffice,Budget,OffenceCompounding,500.00,525.00,1,1,APCCF,APCCF,RULE-BU-0026,Budget OffenceCompounding threshold rule 26
27,99,2018-02-01,,Statewide,Range,Range,Land,PermitIssue,10.00,1010.00,1,0,DFO,,RULE-LA-0027,Land PermitIssue threshold rule 27
28,67,2025-02-05,,Circle-East,Circle,Circle,Wildlife,BudgetSanction,100.00,1100.00,1,0,FinanceOfficer,PCCF,RULE-WI-0028,Wildlife BudgetSanction threshold rule 28
29,72,2017-11-16,,Circle-East,Range,Circle,Wildlife,LandUseChange,100.00,200.00,1,1,PCCF,RO,RULE-WI-0029,Wildlife LandUseChange threshold rule 29
30,78,2019-03-25,2020-03-25,Circle-West,Circle,Circle,Land,PermitIssue,500.00,550.00,1,0,APCCF,,RULE-LA-0030,Land PermitIssue threshold rule 30
31,52,2018-01-07,2022-01-07,Circle-North,Division,Circle,Land,LandUseChange,25.00,50.00,1,0,CF,LegalOfficer,RULE-LA-0031,Land LandUseChange threshold rule 31
32,3,2015-05-26,2017-05-26,Statewide,Division,Circle,Fire,OffenceCompounding,10.00,1010.00,1,0,PCCF,PCCF,RULE-FI-0032,Fire OffenceCompounding threshold rule 32
33,80,2017-10-23,,Circle-West,Circle,Circle,Land,FireClearance,50.00,1050.00,1,0,LegalOfficer,,RULE-LA-0033,Land FireClearance threshold rule 33
34,82,2017-06-13,,Circle-West,Range,Division,Fire,FireClearance,25.00,75.00,1,0,DFO,DFO,RULE-FI-0034,Fire FireClearance threshold rule 34
35,13,2016-07-02,,Circle-North,Beat,Division,Land,PermitIssue,50.00,550.00,1,0,DFO,,RULE-LA-0035,Land PermitIssue threshold rule 35
36,88,2023-12-17,2025-12-17,Circle-West,Division,Circle,Timber,FireClearance,100.00,200.00,1,0,DFO,,RULE-TI-0036,Timber FireClearance threshold rule 36
37,62,2016-03-10,2023-03-10,Circle-West,Circle,Circle,Wildlife,TransportPass,0.00,100.00,1,1,CF,,RULE-WI-0037,Wildlife TransportPass threshold rule 37
38,13,2021-07-02,2027-07-02,Circle-East,Beat,Beat,Budget,BudgetSanction,50.00,550.00,1,0,PCCF,FinanceOfficer,RULE-BU-0038,Budget BudgetSanction threshold rule 38
39,90,2015-06-17,,Circle-North,Circle,HeadOffice,Budget,FireClearance,25.00,525.00,0,0,RO,,RULE-BU-0039,Budget FireClearance threshold rule 39
40,2,2018-08-18,,Circle-East,Range,Circle,Budget,OffenceCompounding,0.00,100.00,0,0,CF,,RULE-BU-0040,Budget OffenceCompounding threshold rule 40
41,89,2019-02-23,,Circle-North,Circle,Circle,Fire,TransportPass,0.00,250.00,1,1,CF,,RULE-FI-0041,Fire TransportPass threshold rule 41
42,80,2015-07-23,2021-07-23,Circle-South,Division,Division,Fire,BudgetSanction,100.00,150.00,1,0,APCCF,,RULE-FI-0042,Fire BudgetSanction threshold rule 42
43,90,2016-05-04,,Circle-West,Beat,Beat,Transport,PermitIssue,500.00,550.00,1,0,RO,,RULE-TR-0043,Transport PermitIssue threshold rule 43
44,83,2019-03-19,2022-03-19,Circle-South,Division,Circle,Transport,LandUseChange,100.00,600.00,0,0,RO,,RULE-TR-0044,Transport LandUseChange threshold rule 44
45,83,2015-11-09,,Statewide,Circle,Circle,Land,BudgetSanction,10.00,510.00,1,0,APCCF,,RULE-LA-0045,Land BudgetSanction threshold rule 45
46,54,2018-03-11,,Circle-West,Division,Circle,Transport,OffenceCompounding,50.00,150.00,1,1,FinanceOfficer,,RULE-TR-0046,Transport OffenceCompounding threshold rule 46
47,4,2015-02-27,,Circle-West,Beat,Range,Land,FireClearance,50.00,75.00,0,0,RO,,RULE-LA-0047,Land FireClearance threshold rule 47
48,93,2025-08-04,,Circle-North,Circle,HeadOffice,Budget,TransportPass,0.00,5000.00,1,0,APCCF,LegalOfficer,RULE-BU-0048,Budget TransportPass threshold rule 48
49,32,2021-10-08,,Statewide,Circle,HeadOffice,Timber,TransportPass,0.00,250.00,1,1,APCCF,APCCF,RULE-TI-0049,Timber TransportPass threshold rule 49
50,59,2021-09-27,2026-09-27,Circle-East,Division,HeadOffice,Transport,TransportPass,25.00,75.00,1,1,CF,,RULE-TR-0050,Transport TransportPass threshold rule 50
51,80,2024-06-29,,Circle-South,Range,Circle,Wildlife,TransportPass,10.00,1010.00,0,0,FinanceOfficer,RO,RULE-WI-0051,Wildlife TransportPass threshold rule 51
52,2,2018-01-14,2019-01-14,Circle-West,Beat,Beat,Wildlife,LandUseChange,25.00,50.00,0,0,DFO,,RULE-WI-0052,Wildlife LandUseChange threshold rule 52
53,81,2019-03-09,,Circle-South,Range,Circle,Budget,BudgetSanction,500.00,550.00,0,1,RO,,RULE-BU-0053,Budget BudgetSanction threshold rule 53
54,80,2024-05-25,,Circle-North,Circle,HeadOffice,Fire,OffenceCompounding,50.00,100.00,1,0,PCCF,PCCF,RULE-FI-0054,Fire OffenceCompounding threshold rule 54
55,98,2023-05-15,,Circle-North,Circle,HeadOffice,Transport,PermitIssue,50.00,150.00,1,1,PCCF,,RULE-TR-0055,Transport PermitIssue threshold rule 55
56,88,2020-03-13,2027-03-13,Statewide,Beat,Division,Wildlife,FireClearance,100.00,125.00,1,0,LegalOfficer,,RULE-WI-0056,Wildlife FireClearance threshold rule 56
57,37,2024-11-20,2027-11-20,Circle-South,Division,Division,Budget,FireClearance,50.00,1050.00,1,0,FinanceOfficer,,RULE-BU-0057,Budget FireClearance threshold rule 57
58,57,2020-12-11,,Circle-South,Circle,HeadOffice,Wildlife,BudgetSanction,500.00,1500.00,1,0,CF,FinanceOfficer,RULE-WI-0058,Wildlife BudgetSanction threshold rule 58
59,51,2021-07-23,,Circle-North,Division,Circle,Transport,TransportPass,100.00,1100.00,1,1,APCCF,,RULE-TR-0059,Transport TransportPass threshold rule 59
60,37,2024-02-08,2029-02-08,Statewide,Range,Circle,Timber,FireClearance,50.00,75.00,1,0,PCCF,RO,RULE-TI-0060,Timber FireClearance threshold rule 60
61,36,2023-04-07,2026-04-07,Statewide,Beat,Range,Timber,FireClearance,500.00,1000.00,1,1,LegalOfficer,,RULE-TI-0061,Timber FireClearance threshold rule 61
62,44,2023-07-30,,Circle-South,Division,Circle,Fire,TransportPass,50.00,550.00,1,0,FinanceOfficer,,RULE-FI-0062,Fire TransportPass threshold rule 62
63,6,2019-08-09,,Circle-South,Beat,Circle,Timber,BudgetSanction,100.00,125.00,1,0,LegalOfficer,APCCF,RULE-TI-0063,Timber BudgetSanction threshold rule 63
64,19,2017-10-03,,Circle-East,Range,Circle,Wildlife,BudgetSanction,50.00,1050.00,1,0,RO,,RULE-WI-0064,Wildlife BudgetSanction threshold rule 64
65,94,2016-04-15,,Circle-North,Range,Range,Land,PermitIssue,100.00,600.00,0,1,RO,CF,RULE-LA-0065,Land PermitIssue threshold rule 65
66,28,2021-08-06,2027-08-06,Circle-East,Range,HeadOffice,Wildlife,OffenceCompounding,50.00,100.00,0,0,FinanceOfficer,,RULE-WI-0066,Wildlife OffenceCompounding threshold rule 66
67,71,2020-05-17,,Circle-East,Circle,HeadOffice,Fire,LandUseChange,0.00,1000.00,0,0,DFO,,RULE-FI-0067,Fire LandUseChange threshold rule 67
68,50,2025-12-11,,Circle-West,Division,Division,Fire,TransportPass,0.00,1000.00,0,0,DFO,,RULE-FI-0068,Fire TransportPass threshold rule 68
69,78,2024-10-23,2026-10-23,Circle-South,Range,Circle,Transport,TransportPass,500.00,1500.00,1,0,DFO,,RULE-TR-0069,Transport TransportPass threshold rule 69
70,23,2015-01-06,2022-01-06,Circle-North,Range,Range,Budget,OffenceCompounding,100.00,1100.00,1,0,APCCF,FinanceOfficer,RULE-BU-0070,Budget OffenceCompounding threshold rule 70
71,76,2021-02-03,,Circle-South,Beat,Range,Land,TransportPass,500.00,525.00,0,0,RO,,RULE-LA-0071,Land TransportPass threshold rule 71
72,68,2020-07-17,2027-07-17,Circle-South,Division,Circle,Land,PermitIssue,100.00,200.00,0,0,RO,FinanceOfficer,RULE-LA-0072,Land PermitIssue threshold rule 72
73,18,2016-03-09,,Circle-East,Beat,Circle,Timber,BudgetSanction,500.00,1000.00,1,0,APCCF,,RULE-TI-0073,Timber BudgetSanction threshold rule 73
74,93,2017-04-26,,Circle-North,Division,HeadOffice,Land,LandUseChange,500.00,600.00,0,0,PCCF,,RULE-LA-0074,Land LandUseChange threshold rule 74
75,33,2017-02-11,2023-02-11,Statewide,Division,Circle,Budget,LandUseChange,50.00,150.00,1,0,RO,RO,RULE-BU-0075,Budget LandUseChange threshold rule 75
76,17,2022-08-07,,Circle-North,Range,Division,Land,PermitIssue,50.00,1050.00,0,1,RO,RO,RULE-LA-0076,Land PermitIssue threshold rule 76
77,56,2019-07-25,,Circle-South,Circle,Circle,Fire,TransportPass,10.00,510.00,1,0,PCCF,APCCF,RULE-FI-0077,Fire TransportPass threshold rule 77
78,79,2022-11-06,,Circle-North,Beat,Division,Budget,TransportPass,25.00,125.00,1,1,APCCF,CF,RULE-BU-0078,Budget TransportPass threshold rule 78
79,38,2024-04-02,2030-04-02,Circle-North,Division,HeadOffice,Budget,LandUseChange,10.00,110.00,1,0,PCCF,,RULE-BU-0079,Budget LandUseChange threshold rule 79
80,67,2023-01-09,,Circle-North,Beat,Range,Timber,TransportPass,10.00,510.00,1,0,CF,LegalOfficer,RULE-TI-0080,Timber TransportPass threshold rule 80
81,47,2017-12-26,,Statewide,Circle,Circle,Wildlife,LandUseChange,100.00,1100.00,1,0,CF,FinanceOfficer,RULE-WI-0081,Wildlife LandUseChange threshold rule 81
82,43,2021-09-29,2028-09-29,Statewide,Division,HeadOffice,Budget,TransportPass,100.00,200.00,0,1,PCCF,,RULE-BU-0082,Budget TransportPass threshold rule 82
83,59,2015-05-12,,Circle-North,Division,HeadOffice,Fire,BudgetSanction,100.00,1100.00,1,0,DFO,APCCF,RULE-FI-0083,Fire BudgetSanction threshold rule 83
84,5,2016-08-08,,Statewide,Circle,Circle,Budget,LandUseChange,10.00,110.00,1,0,RO,,RULE-BU-0084,Budget LandUseChange threshold rule 84
85,5,2023-02-03,,Circle-North,Circle,HeadOffice,Transport,PermitIssue,50.00,150.00,1,0,FinanceOfficer,,RULE-TR-0085,Transport PermitIssue threshold rule 85
86,53,2023-06-07,2027-06-07,Circle-East,Circle,Circle,Transport,PermitIssue,100.00,200.00,1,0,RO,RO,RULE-TR-0086,Transport PermitIssue threshold rule 86
87,38,2023-02-19,,Circle-East,Circle,HeadOffice,Budget,LandUseChange,0.00,100.00,1,0,PCCF,,RULE-BU-0087,Budget LandUseChange threshold rule 87
88,7,2020-05-02,,Circle-West,Range,Circle,Fire,BudgetSanction,10.00,35.00,0,0,LegalOfficer,,RULE-FI-0088,Fire BudgetSanction threshold rule 88
89,70,2019-09-23,,Circle-North,Range,HeadOffice,Transport,PermitIssue,0.00,50.00,1,1,PCCF,,RULE-TR-0089,Transport PermitIssue threshold rule 89
90,59,2015-01-03,2021-01-03,Circle-South,Beat,Division,Wildlife,PermitIssue,50.00,550.00,0,0,CF,,RULE-WI-0090,Wildlife PermitIssue threshold rule 90
91,30,2015-07-07,,Circle-East,Division,Circle,Budget,BudgetSanction,10.00,510.00,0,1,LegalOfficer,,RULE-BU-0091,Budget BudgetSanction threshold rule 91
92,8,2017-03-11,,Circle-South,Circle,Circle,Wildlife,FireClearance,500.00,1500.00,1,0,DFO,,RULE-WI-0092,Wildlife FireClearance threshold rule 92
93,7,2022-04-16,2028-04-16,Circle-South,Division,Circle,Fire,TransportPass,25.00,525.00,1,1,LegalOfficer,FinanceOfficer,RULE-FI-0093,Fire TransportPass threshold rule 93
94,89,2017-03-15,2023-03-15,Circle-North,Division,Circle,Budget,FireClearance,100.00,125.00,1,1,CF,,RULE-BU-0094,Budget FireClearance threshold rule 94
95,24,2022-06-25,2024-06-25,Statewide,Circle,Circle,Land,LandUseChange,0.00,5000.00,0,1,PCCF,CF,RULE-LA-0095,Land LandUseChange threshold rule 95
96,55,2024-01-03,,Circle-North,Division,Division,Wildlife,TransportPass,25.00,1025.00,1,0,DFO,,RULE-WI-0096,Wildlife TransportPass threshold rule 96
97,5,2021-12-22,,Circle-West,Circle,Circle,Land,PermitIssue,10.00,35.00,1,0,CF,APCCF,RULE-LA-0097,Land PermitIssue threshold rule 97
98,5,2020-10-17,2027-10-17,Circle-West,Range,Division,Timber,LandUseChange,50.00,100.00,1,0,CF,,RULE-TI-0098,Timber LandUseChange threshold rule 98
99,93,2017-08-24,2022-08-24,Circle-North,Circle,HeadOffice,Timber,TransportPass,100.00,125.00,1,0,DFO,PCCF,RULE-TI-0099,Timber TransportPass threshold rule 99
100,3,2021-10-28,,Circle-East,Circle,HeadOffice,Timber,PermitIssue,0.00,100.00,1,0,LegalOfficer,,RULE-TI-0100,Timber PermitIssue threshold rule 100
101,80,2016-08-21,2020-08-21,Statewide,Division,HeadOffice,Fire,LandUseChange,25.00,1025.00,1,0,PCCF,CF,RULE-FI-0101,Fire LandUseChange threshold rule 101
102,32,2016-10-16,,Circle-West,Circle,Circle,Budget,BudgetSanction,50.00,150.00,1,0,RO,LegalOfficer,RULE-BU-0102,Budget BudgetSanction threshold rule 102
103,98,2021-09-26,,Circle-North,Circle,Circle,Timber,TransportPass,50.00,1050.00,1,0,CF,,RULE-TI-0103,Timber TransportPass threshold rule 103
104,10,2025-11-23,2031-11-23,Circle-West,Range,Circle,Budget,PermitIssue,100.00,150.00,1,1,DFO,CF,RULE-BU-0104,Budget PermitIssue threshold rule 104
105,79,2017-06-13,2021-06-13,Circle-West,Beat,Division,Transport,FireClearance,100.00,150.00,1,0,LegalOfficer,APCCF,RULE-TR-0105,Transport FireClearance threshold rule 105
106,7,2017-06-01,,Circle-North,Range,Division,Land,TransportPass,50.00,100.00,1,0,APCCF,,RULE-LA-0106,Land TransportPass threshold rule 106
107,81,2022-08-13,2026-08-13,Circle-North,Circle,HeadOffice,Timber,PermitIssue,500.00,600.00,1,1,RO,,RULE-TI-0107,Timber PermitIssue threshold rule 107
108,95,2017-12-10,,Circle-West,Range,Circle,Timber,OffenceCompounding,0.00,100.00,0,0,DFO,,RULE-TI-0108,Timber OffenceCompounding threshold rule 108
109,93,2024-05-30,,Statewide,Division,Circle,Land,PermitIssue,50.00,150.00,1,0,FinanceOfficer,APCCF,RULE-LA-0109,Land PermitIssue threshold rule 109
110,78,2017-09-03,,Circle-North,Range,Division,Timber,TransportPass,25.00,525.00,1,0,DFO,,RULE-TI-0110,Timber TransportPass threshold rule 110
111,71,2017-12-02,,Circle-East,Circle,Circle,Wildlife,OffenceCompounding,100.00,600.00,1,0,LegalOfficer,RO,RULE-WI-0111,Wildlife OffenceCompounding threshold rule 111
112,38,2019-02-26,,Circle-North,Range,Range,Timber,FireClearance,500.00,1000.00,1,0,FinanceOfficer,FinanceOfficer,RULE-TI-0112,Timber FireClearance threshold rule 112
113,9,2025-04-22,,Circle-West,Division,HeadOffice,Timber,OffenceCompounding,10.00,110.00,1,0,APCCF,,RULE-TI-0113,Timber OffenceCompounding threshold rule 113
114,63,2019-04-20,,Circle-South,Circle,HeadOffice,Wildlife,TransportPass,50.00,100.00,1,1,FinanceOfficer,,RULE-WI-0114,Wildlife TransportPass threshold rule 114
115,67,2016-01-17,,Circle-East,Range,HeadOffice,Transport,OffenceCompounding,500.00,1500.00,1,0,APCCF,RO,RULE-TR-0115,Transport OffenceCompounding threshold rule 115
116,52,2018-01-19,2022-01-19,Circle-West,Division,Circle,Fire,OffenceCompounding,25.00,50.00,1,0,CF,,RULE-FI-0116,Fire OffenceCompounding threshold rule 116
117,34,2024-02-21,,Circle-North,Circle,HeadOffice,Transport,OffenceCompounding,25.00,50.00,1,0,LegalOfficer,RO,RULE-TR-0117,Transport OffenceCompounding threshold rule 117
118,80,2021-02-01,,Circle-East,Beat,Division,Timber,BudgetSanction,50.00,550.00,0,0,LegalOfficer,PCCF,RULE-TI-0118,Timber BudgetSanction threshold rule 118
119,35,2018-06-18,,Circle-East,Beat,Range,Transport,TransportPass,25.00,75.00,1,1,PCCF,PCCF,RULE-TR-0119,Transport TransportPass threshold rule 119
120,51,2015-01-15,2019-01-15,Circle-West,Beat,HeadOffice,Transport,FireClearance,25.00,125.00,1,0,CF,,RULE-TR-0120,Transport FireClearance threshold rule 120
121,27,2022-10-19,,Circle-North,Range,Division,Wildlife,OffenceCompounding,100.00,600.00,0,1,APCCF,FinanceOfficer,RULE-WI-0121,Wildlife OffenceCompounding threshold rule 121
122,86,2020-12-27,,Circle-North,Division,Circle,Fire,TransportPass,100.00,150.00,0,0,LegalOfficer,FinanceOfficer,RULE-FI-0122,Fire TransportPass threshold rule 122
123,40,2016-04-06,,Circle-West,Circle,Circle,Wildlife,LandUseChange,50.00,550.00,1,1,PCCF,,RULE-WI-0123,Wildlife LandUseChange threshold rule 123
124,89,2019-05-26,2025-05-26,Circle-South,Division,HeadOffice,Fire,OffenceCompounding,10.00,110.00,0,1,PCCF,,RULE-FI-0124,Fire OffenceCompounding threshold rule 124
125,73,2019-09-19,,Circle-North,Division,Division,Wildlife,TransportPass,50.00,1050.00,1,1,DFO,,RULE-WI-0125,Wildlife TransportPass threshold rule 125
126,61,2021-07-26,,Circle-North,Division,HeadOffice,Budget,BudgetSanction,25.00,525.00,1,0,DFO,FinanceOfficer,RULE-BU-0126,Budget BudgetSanction threshold rule 126
127,16,2024-10-06,2027-10-06,Circle-South,Beat,Circle,Budget,PermitIssue,100.00,600.00,1,1,APCCF,,RULE-BU-0127,Budget PermitIssue threshold rule 127
128,84,2018-03-08,2024-03-08,Circle-West,Circle,Circle,Transport,BudgetSanction,500.00,550.00,1,0,DFO,,RULE-TR-0128,Transport BudgetSanction threshold rule 128
129,14,2021-03-28,,Circle-South,Circle,HeadOffice,Timber,TransportPass,25.00,50.00,1,0,CF,,RULE-TI-0129,Timber TransportPass threshold rule 129
130,36,2018-08-12,2022-08-12,Circle-North,Division,HeadOffice,Budget,LandUseChange,0.00,100.00,1,0,CF,,RULE-BU-0130,Budget LandUseChange threshold rule 130
131,1,2017-01-17,,Circle-North,Range,HeadOffice,Land,PermitIssue,50.00,150.00,0,0,RO,PCCF,RULE-LA-0131,Land PermitIssue threshold rule 131
132,85,2024-04-10,,Circle-South,Range,Circle,Wildlife,BudgetSanction,100.00,125.00,1,1,DFO,,RULE-WI-0132,Wildlife BudgetSanction threshold rule 132
133,87,2015-11-02,2016-11-02,Circle-West,Division,Division,Transport,BudgetSanction,0.00,100.00,1,0,LegalOfficer,,RULE-TR-0133,Transport BudgetSanction threshold rule 133
134,32,2023-11-20,,Circle-East,Circle,HeadOffice,Transport,FireClearance,0.00,1000.00,1,0,CF,,RULE-TR-0134,Transport FireClearance threshold rule 134
135,80,2015-04-07,2017-04-07,Circle-North,Division,Circle,Fire,OffenceCompounding,100.00,200.00,0,0,FinanceOfficer,,RULE-FI-0135,Fire OffenceCompounding threshold rule 135
136,40,2018-02-17,2024-02-17,Circle-South,Beat,Division,Budget,TransportPass,500.00,550.00,1,0,PCCF,DFO,RULE-BU-0136,Budget TransportPass threshold rule 136
137,23,2018-11-24,2020-11-24,Circle-South,Division,Division,Land,PermitIssue,0.00,1000.00,1,0,CF,,RULE-LA-0137,Land PermitIssue threshold rule 137
138,98,2017-04-18,2019-04-18,Circle-South,Beat,HeadOffice,Timber,LandUseChange,25.00,525.00,1,0,APCCF,,RULE-TI-0138,Timber LandUseChange threshold rule 138
139,91,2024-12-15,2027-12-15,Statewide,Circle,HeadOffice,Wildlife,OffenceCompounding,100.00,125.00,1,0,APCCF,,RULE-WI-0139,Wildlife OffenceCompounding threshold rule 139
140,8,2017-05-19,,Circle-South,Circle,HeadOffice,Transport,LandUseChange,0.00,50.00,0,0,APCCF,,RULE-TR-0140,Transport LandUseChange threshold rule 140
141,60,2019-09-14,,Circle-West,Range,HeadOffice,Transport,LandUseChange,100.00,125.00,1,1,FinanceOfficer,,RULE-TR-0141,Transport LandUseChange threshold rule 141
142,37,2021-08-27,2022-08-27,Circle-South,Range,HeadOffice,Budget,OffenceCompounding,500.00,1500.00,1,0,PCCF,,RULE-BU-0142,Budget OffenceCompounding threshold rule 142
143,17,2023-06-11,,Circle-East,Beat,Range,Wildlife,FireClearance,10.00,35.00,0,0,CF,LegalOfficer,RULE-WI-0143,Wildlife FireClearance threshold rule 143
144,5,2022-12-24,,Circle-West,Division,Circle,Wildlife,LandUseChange,0.00,1000.00,1,1,FinanceOfficer,RO,RULE-WI-0144,Wildlife LandUseChange threshold rule 144
145,72,2019-12-10,,Circle-East,Range,Range,Land,PermitIssue,100.00,125.00,0,1,CF,CF,RULE-LA-0145,Land PermitIssue threshold rule 145
146,5,2025-06-01,,Circle-North,Division,Division,Land,TransportPass,100.00,600.00,1,0,APCCF,,RULE-LA-0146,Land TransportPass threshold rule 146
147,10,2015-12-28,,Circle-North,Division,HeadOffice,Wildlife,LandUseChange,500.00,1000.00,1,0,FinanceOfficer,FinanceOfficer,RULE-WI-0147,Wildlife LandUseChange threshold rule 147
148,36,2022-05-20,,Circle-North,Range,Division,Wildlife,FireClearance,100.00,600.00,1,1,CF,,RULE-WI-0148,Wildlife FireClearance threshold rule 148
149,79,2021-12-26,,Circle-North,Beat,Beat,Fire,TransportPass,500.00,600.00,0,0,DFO,FinanceOfficer,RULE-FI-0149,Fire TransportPass threshold rule 149
150,35,2019-10-06,,Circle-West,Circle,HeadOffice,Land,TransportPass,100.00,125.00,0,0,FinanceOfficer,,RULE-LA-0150,Land TransportPass threshold rule 150
151,64,2021-06-30,2022-06-30,Circle-South,Beat,Circle,Wildlife,BudgetSanction,50.00,100.00,0,0,APCCF,,RULE-WI-0151,Wildlife BudgetSanction threshold rule 151
152,47,2019-09-13,,Circle-West,Circle,HeadOffice,Budget,FireClearance,500.00,525.00,1,1,APCCF,PCCF,RULE-BU-0152,Budget FireClearance threshold rule 152
153,33,2019-05-09,,Circle-South,Beat,HeadOffice,Timber,LandUseChange,500.00,525.00,1,1,LegalOfficer,CF,RULE-TI-0153,Timber LandUseChange threshold rule 153
154,4,2023-02-09,,Circle-South,Beat,Range,Land,PermitIssue,25.00,75.00,1,0,FinanceOfficer,,RULE-LA-0154,Land PermitIssue threshold rule 154
155,8,2025-11-18,2026-11-18,Circle-East,Circle,Circle,Fire,LandUseChange,500.00,525.00,0,1,APCCF,,RULE-FI-0155,Fire LandUseChange threshold rule 155
156,84,2025-06-14,2030-06-14,Circle-North,Circle,HeadOffice,Wildlife,LandUseChange,50.00,75.00,0,1,DFO,,RULE-WI-0156,Wildlife LandUseChange threshold rule 156
157,90,2021-12-26,,Circle-South,Circle,Circle,Land,BudgetSanction,10.00,35.00,1,0,LegalOfficer,,RULE-LA-0157,Land BudgetSanction threshold rule 157
158,4,2016-03-22,,Circle-West,Beat,Beat,Budget,LandUseChange,100.00,125.00,1,1,FinanceOfficer,PCCF,RULE-BU-0158,Budget LandUseChange threshold rule 158
