heap_index,case_id,species,condition,triage_level,age_years,temperature_c,resp_rate_min,heart_rate_bpm,trauma_severity_0_3,infectious_suspect,pregnant,priority_score
66,ANM_0532,CHITAL,TRAUMA,ORANGE_VERY_URGENT,9.7,37.5,50,65,2,YES,NO,72.0
67,ANM_0540,WILD_BOAR,NEURO,ORANGE_VERY_URGENT,8.8,38.6,63,118,3,YES,NO,84.0
68,ANM_0547,WILD_DOG,RESPIRATORY,RED_IMMEDIATE,11.1,40.9,75,185,2,NO,NO,94.0
69,ANM_0139,SLOTH_BEAR,OBSTETRIC,ORANGE_VERY_URGENT,9.2,36.4,80,186,3,NO,NO,82.0
70,ANM_0141,LANGUR,NEURO,ORANGE_VERY_URGENT,3.4,36.3,52,78,2,NO,YES,80.0
71,ANM_0035,GAUR,GI,ORANGE_VERY_URGENT,3.8,40.5,70,70,2,YES,NO,86.0
72,ANM_0580,CROCODILE,TRAUMA,ORANGE_VERY_URGENT,4.3,37.6,29,132,1,YES,NO,60.0
73,ANM_0018,HYENA,RESPIRATORY,RED_IMMEDIATE,0.4,38.8,57,116,0,YES,NO,76.0
74,ANM_0037,SLOTH_BEAR,GI,RED_IMMEDIATE,8.9,37.7,79,165,1,NO,NO,76.0
75,ANM_0151,HORNBILL,RESPIRATORY,YELLOW_URGENT,2.0,36.9,64,102,3,YES,NO,69.0
76,ANM_0305,PEAFOWL,NEURO,RED_IMMEDIATE,5.6,37.8,51,102,2,YES,NO,92.0
77,ANM_0155,CROCODILE,TRAUMA,ORANGE_VERY_URGENT,9.2,37.4,77,191,1,NO,YES,71.0
78,ANM_0624,WILD_BOAR,NEURO,ORANGE_VERY_URGENT,8.4,40.5,60,151,3,YES,NO,90.0
79,ANM_0638,MACAQUE,GI,ORANGE_VERY_URGENT,8.1,36.2,61,153,2,YES,NO,86.0
80,ANM_0642,BLACKBUCK,RESPIRATORY,ORANGE_VERY_URGENT,7.4,36.9,43,94,3,NO,NO,73.0
81,ANM_0327,BARASINGHA,OBSTETRIC,ORANGE_VERY_URGENT,10.8,39.9,23,180,2,NO,NO,61.0
82,ANM_0663,LEOPARD,NEURO,ORANGE_VERY_URGENT,4.3,37.9,54,101,2,YES,YES,82.0
83,ANM_0667,HORNBILL,NEURO,ORANGE_VERY_URGENT,6.4,39.9,69,131,1,YES,NO,73.0
84,ANM_0084,BARASINGHA,NEURO,ORANGE_VERY_URGENT,2.1,38.1,51,133,3,NO,NO,68.0
85,ANM_0682,OTTER,OBSTETRIC,YELLOW_URGENT,11.4,40.2,65,89,3,NO,YES,72.0
86,ANM_0346,SLOTH_BEAR,GI,RED_IMMEDIATE,5.4,37.3,73,128,0,YES,NO,85.0
87,ANM_0698,GAUR,TRAUMA,RED_IMMEDIATE,0.8,36.3,63,66,1,NO,NO,86.0
88,ANM_0707,OTTER,FEVER,RED_IMMEDIATE,8.0,38.1,52,167,2,YES,NO,92.0
89,ANM_0044,CHITAL,OBSTETRIC,ORANGE_VERY_URGENT,5.2,40.7,63,104,2,NO,NO,74.0
90,ANM_0720,GAUR,RESPIRATORY,ORANGE_VERY_URGENT,8.9,40.7,53,194,2,NO,YES,80.0
91,ANM_0730,PEAFOWL,TRAUMA,ORANGE_VERY_URGENT,3.1,39.6,69,93,3,NO,NO,77.0
92,ANM_0023,LANGUR,OBSTETRIC,RED_IMMEDIATE,7.9,38.7,20,83,1,YES,NO,80.0
93,ANM_0002,ELEPHANT,RESPIRATORY,ORANGE_VERY_URGENT,7.3,38.8,65,199,3,YES,NO,84.0
94,ANM_0377,MACAQUE,GI,RED_IMMEDIATE,6.5,39.7,80,63,2,NO,NO,89.0
95,ANM_0190,NILGAI,TRAUMA,RED_IMMEDIATE,6.0,40.4,61,180,2,NO,NO,94.0
96,ANM_0769,BARASINGHA,OBSTETRIC,RED_IMMEDIATE,10.7,38.1,50,89,3,NO,NO,88.0
97,ANM_0781,BLACKBUCK,RESPIRATORY,ORANGE_VERY_URGENT,5.3,40.6,77,177,2,NO,NO,74.0
98,ANM_0394,BLACKBUCK,GI,RED_IMMEDIATE,3.3,37.6,65,194,1,NO,NO,76.0
99,ANM_0099,SLOTH_BEAR,RESPIRATORY,ORANGE_VERY_URGENT,7.4,37.9,63,121,3,NO,YES,82.0
100,ANM_0804,WILD_BOAR,FEVER,RED_IMMEDIATE,11.8,38.7,38,96,1,NO,YES,78.0
101,ANM_0811,SLOTH_BEAR,TRAUMA,RED_IMMEDIATE,11.1,37.4,36,157,2,NO,NO,81.0
102,ANM_0820,WILD_DOG,TRAUMA,ORANGE_VERY_URGENT,9.9,38.0,75,131,3,YES,NO,84.0
103,ANM_0825,LANGUR,FEVER,RED_IMMEDIATE,2.5,36.4,56,66,1,NO,NO,82.0
104,ANM_0208,CHITAL,TRAUMA,RED_IMMEDIATE,6.9,36.5,41,132,3,NO,NO,93.0
105,ANM_0105,CHITAL,GI,RED_IMMEDIATE,4.5,36.7,78,135,2,NO,NO,89.0
106,ANM_0427,HORNBILL,TRAUMA,ORANGE_VERY_URGENT,11.1,37.9,72,67,3,YES,NO,84.0
107,ANM_0863,CROCODILE,TRAUMA,YELLOW_URGENT,4.6,36.1,40,165,3,YES,YES,76.0
108,ANM_0216,PEAFOWL,TRAUMA,RED_IMMEDIATE,6.7,38.5,56,197,1,YES,NO,84.0
109,ANM_0876,LEOPARD,OBSTETRIC,RED_IMMEDIATE,9.3,39.8,79,123,2,NO,NO,89.0
110,ANM_0221,WILD_BOAR,GI,RED_IMMEDIATE,11.6,40.4,28,149,0,YES,NO,82.0
111,ANM_0446,WILD_DOG,OBSTETRIC,ORANGE_VERY_URGENT,10.0,36.1,22,92,1,YES,NO,70.0
112,ANM_0112,OTTER,GI,YELLOW_URGENT,8.8,40.4,61,85,3,NO,NO,62.0
113,ANM_0906,TIGER,NEURO,YELLOW_URGENT,11.9,36.5,53,61,3,NO,NO,53.0
114,ANM_0913,CROCODILE,TRAUMA,ORANGE_VERY_URGENT,9.6,37.5,63,200,3,YES,NO,84.0
115,ANM_0115,HORNBILL,TRAUMA,RED_IMMEDIATE,4.1,40.9,70,112,0,NO,NO,78.0
116,ANM_0932,CROCODILE,RESPIRATORY,RED_IMMEDIATE,7.0,38.9,37,84,1,NO,NO,68.0
117,ANM_0942,CROCODILE,OBSTETRIC,ORANGE_VERY_URGENT,9.9,37.6,70,171,3,YES,NO,84.0
118,ANM_0118,PEAFOWL,FEVER,RED_IMMEDIATE,3.3,36.6,46,194,0,NO,NO,69.0
119,ANM_0238,LEOPARD,OBSTETRIC,RED_IMMEDIATE,10.2,40.7,62,72,0,NO,NO,78.0
120,ANM_0481,SAMBAR_DEER,FEVER,RED_IMMEDIATE,1.6,40.3,58,110,1,NO,NO,82.0
121,ANM_0970,SLOTH_BEAR,TRAUMA,RED_IMMEDIATE,8.0,37.6,38,180,2,NO,YES,86.0
122,ANM_0491,NILGAI,GI,ORANGE_VERY_URGENT,3.8,36.0,72,94,2,NO,NO,74.0
123,ANM_0987,SLOTH_BEAR,NEURO,ORANGE_VERY_URGENT,3.9,40.4,72,160,1,YES,YES,88.0
124,ANM_0124,MACAQUE,TRAUMA,RED_IMMEDIATE,1.2,38.2,67,155,1,NO,NO,76.0
125,ANM_0503,PEAFOWL,TRAUMA,YELLOW_URGENT,3.1,40.8,57,181,1,NO,YES,52.0
126,ANM_0504,SLOTH_BEAR,GI,RED_IMMEDIATE,7.5,40.7,68,75,0,NO,NO,78.0
127,ANM_0127,SAMBAR_DEER,OBSTETRIC,ORANGE_VERY_URGENT,5.3,38.8,69,66,2,YES,NO,76.0
128,ANM_0514,LEOPARD,NEURO,RED_IMMEDIATE,3.8,40.7,53,84,0,NO,NO,74.0
129,ANM_0518,BARASINGHA,OBSTETRIC,ORANGE_VERY_URGENT,6.6,37.9,55,125,2,NO,NO,60.0
130,ANM_0261,BLACKBUCK,OBSTETRIC,RED_IMMEDIATE,11.6,39.5,71,197,0,YES,NO,80.0
131,ANM_0032,OTTER,RESPIRATORY,ORANGE_VERY_URGENT,7.3,39.6,33,127,3,NO,NO,69.0
132,ANM_0529,PEAFOWL,TRAUMA,ORANGE_VERY_URGENT,5.1,37.8,32,142,2,NO,YES,66.0
133,ANM_0267,HYENA,OBSTETRIC,ORANGE_VERY_URGENT,2.1,38.8,49,119,3,NO,NO,68.0
134,ANM_0067,WILD_BOAR,FEVER,RED_IMMEDIATE,10.2,36.9,33,150,2,NO,NO,81.0
135,ANM_0543,RHINO,RESPIRATORY,ORANGE_VERY_URGENT,10.6,39.6,68,141,3,NO,NO,77.0
136,ANM_0546,MACAQUE,RESPIRATORY,ORANGE_VERY_URGENT,2.9,38.0,20,129,3,YES,NO,76.0
137,ANM_0274,LANGUR,OBSTETRIC,RED_IMMEDIATE,4.4,36.0,28,109,3,NO,NO,94.0
138,ANM_0069,MACAQUE,NEURO,GREEN_STANDARD,5.5,36.1,38,116,3,NO,NO,39.0
139,ANM_0034,BLACKBUCK,OBSTETRIC,RED_IMMEDIATE,1.1,40.4,77,98,0,NO,NO,78.0
140,ANM_0561,BLACKBUCK,RESPIRATORY,ORANGE_VERY_URGENT,3.6,39.3,64,105,3,NO,NO,72.0
141,ANM_0070,PEAFOWL,FEVER,YELLOW_URGENT,6.5,38.1,67,200,2,NO,NO,44.0
142,ANM_0071,CHITAL,FEVER,ORANGE_VERY_URGENT,8.7,37.6,67,197,1,YES,NO,68.0
143,ANM_0287,LEOPARD,TRAUMA,RED_IMMEDIATE,9.4,38.3,27,100,3,NO,NO,84.0
144,ANM_0576,CROCODILE,FEVER,GREEN_STANDARD,1.9,40.4,72,192,1,YES,YES,53.0
145,ANM_0145,NILGAI,FEVER,GREEN_STANDARD,4.8,39.9,63,73,2,YES,YES,56.0
146,ANM_0584,LANGUR,GI,ORANGE_VERY_URGENT,2.8,40.3,59,126,2,NO,NO,70.0
147,ANM_0295,HYENA,OBSTETRIC,YELLOW_URGENT,8.7,37.4,80,66,2,YES,NO,61.0
148,ANM_0593,ELEPHANT,OBSTETRIC,RED_IMMEDIATE,11.8,38.0,28,135,0,NO,NO,60.0
149,ANM_0149,NILGAI,TRAUMA,YELLOW_URGENT,2.3,37.1,80,184,1,YES,YES,63.0
150,ANM_0602,PEAFOWL,FEVER,YELLOW_URGENT,10.9,38.7,20,180,3,NO,NO,44.0
151,ANM_0606,GAUR,NEURO,YELLOW_URGENT,9.7,37.3,64,120,3,YES,NO,69.0
152,ANM_0610,MACAQUE,FEVER,ORANGE_VERY_URGENT,10.5,36.1,79,174,3,NO,NO,82.0
153,ANM_0613,BARASINGHA,OBSTETRIC,RED_IMMEDIATE,0.3,36.3,46,85,0,NO,NO,74.0
154,ANM_0077,PEAFOWL,GI,ORANGE_VERY_URGENT,7.5,39.0,67,85,1,NO,NO,56.0
155,ANM_0622,MACAQUE,TRAUMA,YELLOW_URGENT,11.2,37.8,63,137,3,YES,NO,64.0
156,ANM_0312,TIGER,FEVER,RED_IMMEDIATE,8.0,40.2,66,138,0,YES,NO,90.0
157,ANM_0039,HYENA,RESPIRATORY,RED_IMMEDIATE,2.5,37.6,75,77,2,NO,NO,84.0
158,ANM_0317,BARASINGHA,GI,ORANGE_VERY_URGENT,4.4,39.9,48,138,3,NO,YES,83.0
159,ANM_0639,HORNBILL,GI,RED_IMMEDIATE,8.9,40.6,31,100,0,NO,YES,80.0
160,ANM_0320,OTTER,RESPIRATORY,RED_IMMEDIATE,1.4,40.0,27,63,0,NO,NO,65.0
161,ANM_0644,SLOTH_BEAR,FEVER,ORANGE_VERY_URGENT,3.7,36.8,70,103,1,YES,NO,73.0
162,ANM_0650,NILGAI,NEURO,YELLOW_URGENT,7.7,40.3,24,158,2,NO,NO,46.0
163,ANM_0081,WILD_BOAR,FEVER,YELLOW_URGENT,6.0,36.4,22,170,2,NO,YES,56.0
164,ANM_0164,BARASINGHA,NEURO,ORANGE_VERY_URGENT,9.4,38.3,64,182,1,NO,YES,66.0
165,ANM_0330,NILGAI,OBSTETRIC,YELLOW_URGENT,6.8,36.9,71,186,2,YES,YES,71.0
166,ANM_0333,WILD_BOAR,OBSTETRIC,ORANGE_VERY_URGENT,3.8,36.7,30,171,3,NO,NO,69.0
167,ANM_0669,LEOPARD,NEURO,YELLOW_URGENT,1.9,40.3,43,158,2,YES,NO,62.0
168,ANM_0673,SLOTH_BEAR,OBSTETRIC,YELLOW_URGENT,6.9,40.6,32,107,3,NO,NO,54.0
169,ANM_0339,OTTER,GI,ORANGE_VERY_URGENT,5.9,40.3,61,117,1,NO,NO,66.0
170,ANM_0042,CROCODILE,OBSTETRIC,YELLOW_URGENT,11.3,39.7,32,153,3,YES,NO,61.0
171,ANM_0684,RHINO,RESPIRATORY,ORANGE_VERY_URGENT,8.4,39.4,39,92,1,YES,YES,70.0
172,ANM_0344,HORNBILL,GI,ORANGE_VERY_URGENT,0.5,36.9,38,80,3,NO,NO,69.0
173,ANM_0086,BLACKBUCK,TRAUMA,ORANGE_VERY_URGENT,4.5,39.8,60,173,0,YES,NO,61.0
174,ANM_0699,GAUR,FEVER,YELLOW_URGENT,1.3,36.4,68,193,3,NO,NO,62.0
175,ANM_0175,ELEPHANT,GI,ORANGE_VERY_URGENT,8.6,41.0,71,141,2,NO,NO,74.0
176,ANM_0706,HYENA,RESPIRATORY,ORANGE_VERY_URGENT,3.9,36.4,64,76,2,YES,NO,86.0
177,ANM_0177,WILD_DOG,RESPIRATORY,ORANGE_VERY_URGENT,6.0,37.8,56,154,3,NO,NO,68.0
178,ANM_0715,GAUR,RESPIRATORY,ORANGE_VERY_URGENT,8.3,37.5,47,165,2,NO,NO,60.0
179,ANM_0089,CROCODILE,NEURO,ORANGE_VERY_URGENT,10.0,40.9,35,176,1,NO,NO,58.0
180,ANM_0722,RHINO,RESPIRATORY,ORANGE_VERY_URGENT,3.4,38.0,75,74,3,NO,NO,72.0
181,ANM_0725,NILGAI,NEURO,ORANGE_VERY_URGENT,10.4,40.3,44,62,3,NO,NO,78.0
182,ANM_0364,TIGER,RESPIRATORY,ORANGE_VERY_URGENT,9.7,37.5,65,130,3,NO,NO,72.0
183,ANM_0735,WILD_DOG,FEVER,ORANGE_VERY_URGENT,6.0,36.7,74,112,1,NO,NO,61.0
184,ANM_0737,LANGUR,TRAUMA,RED_IMMEDIATE,1.8,37.6,64,161,1,NO,NO,76.0
185,ANM_0370,MACAQUE,NEURO,YELLOW_URGENT,3.7,36.8,62,106,2,YES,YES,71.0
186,ANM_0093,BLACKBUCK,TRAUMA,ORANGE_VERY_URGENT,5.8,40.6,44,158,1,NO,YES,72.0
187,ANM_0375,ELEPHANT,GI,ORANGE_VERY_URGENT,11.8,37.6,23,61,3,NO,NO,64.0
188,ANM_0754,PEAFOWL,OBSTETRIC,YELLOW_URGENT,9.1,40.1,59,107,3,NO,YES,68.0
189,ANM_0189,CROCODILE,GI,YELLOW_URGENT,3.8,36.1,80,160,3,NO,NO,62.0
190,ANM_0762,LANGUR,NEURO,YELLOW_URGENT,8.0,39.7,66,184,2,NO,NO,49.0
191,ANM_0765,OTTER,RESPIRATORY,RED_IMMEDIATE,9.3,36.7,47,65,0,YES,NO,81.0
192,ANM_0192,NILGAI,OBSTETRIC,ORANGE_VERY_URGENT,4.8,38.3,55,131,0,YES,YES,66.0
193,ANM_0193,NILGAI,FEVER,YELLOW_URGENT,4.5,36.7,58,190,3,NO,YES,63.0
194,ANM_0778,WILD_DOG,FEVER,ORANGE_VERY_URGENT,3.6,38.2,52,187,0,YES,NO,56.0
195,ANM_0780,CHITAL,OBSTETRIC,ORANGE_VERY_URGENT,3.3,39.6,46,152,1,YES,NO,69.0
196,ANM_0196,TIGER,FEVER,ORANGE_VERY_URGENT,1.5,38.1,39,66,3,NO,NO,64.0
197,ANM_0788,BLACKBUCK,OBSTETRIC,ORANGE_VERY_URGENT,0.9,37.9,60,189,2,YES,NO,72.0
198,ANM_0397,MACAQUE,RESPIRATORY,RED_IMMEDIATE,6.0,37.2,37,72,1,NO,NO,73.0
199,ANM_0797,TIGER,TRAUMA,YELLOW_URGENT,1.0,36.2,50,139,3,NO,NO,58.0
200,ANM_0100,LANGUR,NEURO,ORANGE_VERY_URGENT,3.2,36.0,71,179,2,NO,NO,74.0
201,ANM_0402,SLOTH_BEAR,GI,ORANGE_VERY_URGENT,8.7,39.6,26,125,1,YES,NO,65.0
202,ANM_0012,LANGUR,OBSTETRIC,ORANGE_VERY_URGENT,6.7,40.7,63,89,2,NO,NO,74.0
203,ANM_0814,LANGUR,FEVER,ORANGE_VERY_URGENT,11.8,37.7,49,144,0,NO,YES,54.0
204,ANM_0819,CHITAL,NEURO,ORANGE_VERY_URGENT,11.8,40.8,22,131,3,NO,NO,74.0
205,ANM_0411,GAUR,TRAUMA,YELLOW_URGENT,2.6,39.8,30,133,2,YES,YES,63.0
206,ANM_0826,ELEPHANT,RESPIRATORY,ORANGE_VERY_URGENT,4.1,36.3,60,84,0,NO,NO,54.0
207,ANM_0207,LEOPARD,RESPIRATORY,YELLOW_URGENT,10.1,40.7,22,161,3,YES,NO,66.0
208,ANM_0834,HORNBILL,GI,ORANGE_VERY_URGENT,1.8,36.2,28,139,3,NO,NO,74.0
209,ANM_0419,WILD_DOG,NEURO,ORANGE_VERY_URGENT,4.5,37.1,68,195,3,NO,NO,77.0
210,ANM_0843,BARASINGHA,RESPIRATORY,ORANGE_VERY_URGENT,3.0,40.0,62,103,3,NO,YES,87.0
211,ANM_0847,CROCODILE,FEVER,YELLOW_URGENT,5.7,37.6,43,194,3,NO,NO,48.0
212,ANM_0212,SAMBAR_DEER,GI,ORANGE_VERY_URGENT,9.1,40.8,39,62,2,NO,NO,66.0
213,ANM_0855,TIGER,GI,YELLOW_URGENT,11.9,40.8,75,161,1,YES,NO,58.0
214,ANM_0214,NILGAI,OBSTETRIC,ORANGE_VERY_URGENT,11.5,38.4,49,155,3,NO,NO,68.0
215,ANM_0431,RHINO,RESPIRATORY,YELLOW_URGENT,6.9,36.3,68,200,3,NO,YES,72.0
216,ANM_0432,ELEPHANT,FEVER,RED_IMMEDIATE,8.8,38.4,41,151,1,NO,NO,72.0
217,ANM_0434,BARASINGHA,GI,ORANGE_VERY_URGENT,3.9,39.9,65,171,2,NO,YES,79.0
218,ANM_0873,OTTER,NEURO,ORANGE_VERY_URGENT,11.4,36.7,72,131,1,YES,YES,83.0
219,ANM_0879,WILD_BOAR,GI,ORANGE_VERY_URGENT,2.7,37.8,31,63,3,NO,YES,74.0
220,ANM_0220,CHITAL,GI,ORANGE_VERY_URGENT,1.8,39.2,66,167,2,NO,NO,64.0
221,ANM_0885,GAUR,GI,ORANGE_VERY_URGENT,0.6,40.6,58,173,2,YES,NO,82.0
222,ANM_0889,OTTER,RESPIRATORY,ORANGE_VERY_URGENT,1.1,39.6,39,102,1,YES,NO,65.0
223,ANM_0111,LEOPARD,TRAUMA,ORANGE_VERY_URGENT,6.0,36.5,76,197,1,NO,NO,61.0
224,ANM_0899,WILD_BOAR,GI,GREEN_STANDARD,11.7,36.4,78,108,3,YES,NO,59.0
225,ANM_0225,HYENA,OBSTETRIC,ORANGE_VERY_URGENT,10.4,36.3,52,134,1,NO,NO,62.0
226,ANM_0452,BLACKBUCK,OBSTETRIC,YELLOW_URGENT,10.5,39.5,47,118,3,NO,NO,48.0
227,ANM_0909,GAUR,TRAUMA,YELLOW_URGENT,10.5,37.4,64,123,2,NO,NO,49.0
228,ANM_0456,NILGAI,OBSTETRIC,ORANGE_VERY_URGENT,8.2,39.8,46,183,1,NO,NO,57.0
229,ANM_0918,RHINO,TRAUMA,ORANGE_VERY_URGENT,7.2,36.9,80,89,2,YES,NO,81.0
230,ANM_0230,BARASINGHA,NEURO,RED_IMMEDIATE,5.5,37.9,54,108,0,NO,NO,64.0
231,ANM_0926,RHINO,RESPIRATORY,ORANGE_VERY_URGENT,9.5,40.3,23,137,3,NO,NO,74.0
